date,open,high,low,close,volume
2015-01-02,27.33,27.5795,27.035,27.245,3612048
2015-01-05,27.155,27.18,26.745,26.76,5594610
2015-01-06,26.72,26.72,26.03745,26.13,12135734
2015-01-07,26.255,26.575,26.1875,26.47,8044578
2015-01-08,26.805,27.21,26.69,27.13,6162054
2015-01-09,27.2,27.235,26.735,27.05,3346632
2015-01-12,27.01,27.06,26.54,26.705,6240846
2015-01-13,26.755,27.245,26.415,26.555,7038822
2015-01-14,26.35,26.665,26.19055,26.455,7464250
2015-01-15,26.8,27.015,26.53,26.6,7772886
2015-01-16,26.435,26.85,26.275,26.815,7306080
2015-01-20,26.895,27.16,26.745,27.08,5092088
2015-01-21,27.045,27.49495,26.96,27.43,5385060
2015-01-22,27.39,27.675,26.965,27.675,6108008
2015-01-23,27.565,27.7675,27.495,27.555,3742900
2015-01-26,27.51,27.595,27.28925,27.56,3602322
2015-01-27,27.17,27.27,26.815,27.01,10021880
2015-01-28,27.35,27.47,26.775,26.78,7021098
2015-01-29,26.86,27.06,26.45,26.93,6044558
2015-01-30,26.73,26.935,26.325,26.365,7182540
2015-02-02,26.37,26.49,25.92,26.415,13757366
2015-02-03,26.62,26.825,26.445,26.79,6067630
2015-02-04,26.78,27.16,26.78,26.98,7655776
2015-02-05,27.155,27.25,26.925,27.25,5047232
2015-02-06,27.25,27.42,26.9,26.96,5105770
2015-02-09,26.865,26.865,26.465,26.605,5815310
2015-02-10,27.08,27.4875,26.915,27.48,7357612
2015-02-11,27.495,27.72665,27.4,27.64,5740410
2015-02-12,27.75,28.03,27.74,28.03,5937394
2015-02-13,28.065,28.25,27.93,28.195,5912286
2015-02-17,28.145,28.325,28.07,28.315,3562540
2015-02-18,28.295,28.31,28.11,28.22,5212750
2015-02-19,28.145,28.31,28.085,28.235,4733922
2015-02-20,28.25,28.385,28.07,28.365,4190728
2015-02-23,28.315,28.345,28.08,28.16,2701492
2015-02-24,28.18,28.745,28.075,28.74,5209632
2015-02-25,28.665,28.715,28.48,28.545,3616632
2015-02-26,28.57,28.755,28.52,28.65,4028898
2015-02-27,28.64,28.69,28.465,28.485,7038910
2015-03-02,28.725,29.235,28.725,29.235,9773704
2015-03-03,29.075,29.135,28.7,28.755,9878050
2015-03-04,28.755,28.755,28.42,28.71,4061880
2015-03-05,28.86,28.88,28.5775,28.7,2515628
2015-03-06,28.555,28.63,28.275,28.34,3590584
2015-03-09,28.305,28.37,28.125,28.24,3771216
2015-03-10,28.01,28.06,27.66,27.665,9557714
2015-03-11,27.855,28.15,27.8525,27.87,7273172
2015-03-12,27.395,27.795,27.395,27.715,9198580
2015-03-13,27.685,27.955,27.585,27.945,6343002
2015-03-16,28.01,28.345,28.01,28.315,5881970
2015-03-17,28.095,28.165,27.945,28.125,2674118
2015-03-18,28.075,28.53015,27.77,28.385,10024170
2015-03-19,28.355,28.48,28.3275,28.42,4733284
2015-03-20,28.575,28.94,28.575,28.87,6201398
2015-03-23,28.805,28.915,28.615,28.615,5507108
2015-03-24,28.58,28.66,28.355,28.355,5225882
2015-03-25,28.365,28.365,26.985,27.03,20870628
2015-03-26,26.48,27.06,26.31,26.835,23673314
