date,open,high,low,close,volume
2015-01-02,2.287167,2.322013,2.182252,2.247167,15980100
2015-01-05,2.1855,2.225,2.114833,2.12,12647700
2015-01-06,2.1175,2.124983,1.957167,1.975667,13383120
2015-01-07,2.010333,2.063667,1.977,2.0355,8576400
2015-01-08,2.116667,2.261833,2.1,2.218667,13881900
2015-01-09,2.245833,2.2525,2.137548,2.224167,11072520
2015-01-12,2.193667,2.193667,2.055667,2.0905,10962660
2015-01-13,2.137,2.2135,1.996333,2.028167,12705960
2015-01-14,1.962,2.056167,1.9335,1.995667,9325200
2015-01-15,2.034333,2.0749,1.941667,1.947,6772620
2015-01-16,1.929,2.020998,1.903333,2.0135,8617140
2015-01-20,2.03,2.099,1.997167,2.077167,9438360
2015-01-21,2.060167,2.1715,2.035667,2.145333,9641340
2015-01-22,2.151667,2.190833,2.018333,2.185667,12338520
2015-01-23,2.161167,2.2,2.129333,2.1665,9593400
2015-01-26,2.164167,2.192603,2.103502,2.189167,6575460
2015-01-27,2.1,2.125,2.020333,2.063333,15488640
2015-01-28,2.133333,2.198167,2.029833,2.0325,13220940
2015-01-29,2.002,2.060667,1.924167,2.038333,15474960
2015-01-30,1.984333,2.048333,1.908333,1.913,10232100
2015-02-02,1.932,1.943333,1.806,1.9305,14559360
2015-02-03,1.9595,2.037833,1.945333,2.034667,10797540
2015-02-04,2.020333,2.100987,2.003833,2.059,8946660
2015-02-05,2.069167,2.1175,2.052393,2.115333,6325320
2015-02-06,2.1285,2.178498,2.065167,2.083333,11218500
2015-02-09,2.047833,2.073833,2.0,2.015167,6338160
2015-02-10,2.089,2.220833,2.0755,2.219333,10445340
2015-02-11,2.216333,2.26665,2.1538,2.241667,9229500
2015-02-12,2.283167,2.35,2.266108,2.349833,8822940
2015-02-13,2.389,2.418998,2.336002,2.399883,8973780
2015-02-17,2.400667,2.4295,2.373667,2.423833,5857740
2015-02-18,2.416667,2.421667,2.373333,2.4,5649540
2015-02-19,2.383833,2.443,2.376833,2.422,5125800
2015-02-20,2.403833,2.468,2.38235,2.465165,6200520
2015-02-23,2.463167,2.464833,2.3905,2.416167,5009940
2015-02-24,2.4075,2.517333,2.368667,2.514,8377380
2015-02-25,2.513333,2.518167,2.452363,2.471833,5765280
2015-02-26,2.505167,2.545817,2.483333,2.522,6090060
2015-02-27,2.5275,2.544667,2.480667,2.503833,4234800
2015-03-02,2.558667,2.713133,2.558667,2.711833,10604940
2015-03-03,2.686167,2.686167,2.55,2.555167,11422020
2015-03-04,2.534667,2.554333,2.459333,2.551,7705620
2015-03-05,2.588667,2.597167,2.520833,2.553333,5169420
2015-03-06,2.521833,2.542667,2.452847,2.476333,6400860
2015-03-09,2.47,2.514,2.462667,2.498,3821760
2015-03-10,2.442833,2.462333,2.348,2.357,10948140
2015-03-11,2.387667,2.448498,2.373167,2.376833,5814480
2015-03-12,2.3055,2.374133,2.295,2.373833,5211840
2015-03-13,2.389167,2.434,2.342167,2.422833,5982000
2015-03-16,2.440167,2.533667,2.440167,2.5295,6323100
2015-03-17,2.481833,2.4895,2.429517,2.475667,6147180
2015-03-18,2.475833,2.5675,2.378498,2.53,8147100
2015-03-19,2.53,2.567333,2.509667,2.5485,4703640
