date,open,high,low,close,volume
2015-01-02,2.059375,2.086042,1.9825,2.013542,122227968
2015-01-05,1.984375,1.991667,1.90625,1.922917,127017984
2015-01-06,1.929792,1.94104,1.820208,1.846667,168643340
2015-01-07,1.881875,1.93,1.869167,1.917708,137466050
2015-01-08,1.967083,2.038542,1.960417,2.027083,144937920
2015-01-09,2.046042,2.048333,1.952292,1.986042,181421180
2015-01-12,1.999375,2.004583,1.909167,1.925,165252140
2015-01-13,1.979375,2.04125,1.877083,1.923333,199707650
2015-01-14,1.862292,1.919375,1.840417,1.89375,216149810
2015-01-15,1.915417,1.926042,1.810625,1.818542,196011550
2015-01-16,1.809583,1.887831,1.800625,1.883333,141798290
2015-01-20,1.915,1.938958,1.850854,1.925,141894000
2015-01-21,1.9075,1.980833,1.888335,1.954479,133531920
2015-01-22,1.979167,2.06875,1.926667,2.063333,162656880
2015-01-23,2.063333,2.095625,2.044583,2.077083,142358210
2015-01-26,2.070833,2.081242,2.037917,2.0725,100806096
2015-01-27,1.973958,1.975208,1.888333,1.912083,223987100
2015-01-28,1.999792,2.00625,1.877917,1.879167,188928960
2015-01-29,1.874167,1.942904,1.825,1.933542,176558160
2015-01-30,1.926875,1.971875,1.880417,1.889167,218220190
2015-02-02,1.899375,1.941667,1.812104,1.93875,198843980
2015-02-03,1.955,1.996458,1.920383,1.991667,182330640
2015-02-04,1.966667,2.026667,1.954583,1.986458,124631280
2015-02-05,2.000625,2.041875,1.988333,2.039167,100326720
2015-02-06,2.047917,2.061458,1.979794,2.002083,123527808
2015-02-09,1.978125,2.009583,1.967708,1.98,95793456
2015-02-10,2.016458,2.082292,2.005417,2.074792,119253888
2015-02-11,2.082292,2.110833,2.069583,2.098125,121853184
2015-02-12,2.135833,2.172292,2.128542,2.171458,153098540
2015-02-13,2.18875,2.226715,2.177083,2.22625,120898320
2015-02-17,2.225833,2.236042,2.209792,2.232292,82725792
2015-02-18,2.224792,2.244583,2.214583,2.241875,70479600
2015-02-19,2.236458,2.278958,2.235417,2.275625,75589584
2015-02-20,2.270208,2.323958,2.248719,2.319375,90773856
2015-02-23,2.317917,2.32875,2.301458,2.328542,78973296
2015-02-24,2.318333,2.340206,2.297292,2.333333,104602896
2015-02-25,2.321042,2.348542,2.299375,2.314583,112550832
2015-02-26,2.32125,2.3528,2.302083,2.349792,116337024
2015-02-27,2.347083,2.35125,2.307462,2.31875,88788816
2015-03-02,2.33125,2.383125,2.330208,2.38125,89046576
2015-03-03,2.360417,2.366875,2.302867,2.347083,128388768
2015-03-04,2.324792,2.334344,2.281875,2.321042,116638800
2015-03-05,2.33875,2.353125,2.304229,2.33125,92344800
2015-03-06,2.324583,2.33725,2.235158,2.251042,149726450
2015-03-09,2.267083,2.28875,2.238542,2.272708,113269296
2015-03-10,2.222708,2.223958,2.145833,2.146875,191965300
2015-03-11,2.152708,2.162708,2.10625,2.109167,223152960
2015-03-12,2.103125,2.157292,2.099375,2.149583,122388480
2015-03-13,2.143958,2.169373,2.081667,2.121875,198116350
2015-03-16,2.145417,2.204167,2.138335,2.203125,114957792
2015-03-17,2.184167,2.223956,2.169792,2.215417,97360896
2015-03-18,2.196458,2.30875,2.161458,2.279167,167823940
2015-03-19,2.287083,2.307292,2.276042,2.290208,111385200
2015-03-20,2.344792,2.367292,2.332708,2.337708,104813616
2015-03-23,2.330312,2.348958,2.317917,2.318125,99235968
2015-03-24,2.317708,2.350833,2.293333,2.294583,92982432
2015-03-25,2.306458,2.310117,2.134375,2.134375,175884000
2015-03-26,2.084167,2.150625,2.062625,2.116875,196557790
2015-03-27,2.112708,2.154583,2.103958,2.137292,98543616
2015-03-30,2.180417,2.218333,2.178958,2.214167,151214210
2015-03-31,2.193958,2.208125,2.14145,2.145625,124507968
2015-04-01,2.142708,2.142708,2.067708,2.109375,175875700
2015-04-02,2.113542,2.133333,2.092708,2.112917,110576544
2015-04-06,2.074792,2.182081,2.066144,2.16375,150946800
2015-04-07,2.161042,2.208333,2.153542,2.15375,114689808
2015-04-08,2.155417,2.213542,2.154583,2.205,169141150
2015-04-09,2.202917,2.247708,2.178958,2.246042,110927664
2015-04-10,2.245625,2.27375,2.228958,2.272917,113383920
2015-04-13,2.278958,2.312917,2.248125,2.256042,115200528
2015-04-14,2.251042,2.267923,2.198542,2.236667,168973920
2015-04-15,2.255833,2.2925,2.245833,2.27625,95357472
2015-04-16,2.260833,2.280417,2.250208,2.268333,90888240
2015-04-17,2.20375,2.222262,2.13375,2.162292,186428020
2015-04-20,2.195625,2.270625,2.192083,2.258958,142194720
2015-04-21,2.299167,2.31,2.280417,2.287917,127387248
2015-04-22,2.305625,2.336458,2.261875,2.325,121915536
2015-04-23,2.302917,2.382917,2.300625,2.352917,131002848
2015-04-24,2.425417,2.456875,2.414979,2.445,142416000
2015-04-27,2.475,2.488125,2.413125,2.429375,161157740
2015-04-28,2.434167,2.447917,2.353125,2.413542,171751820
2015-04-29,2.373125,2.415415,2.329375,2.3675,193951390
2015-04-30,2.328125,2.357292,2.221042,2.25625,308169980
2015-05-01,2.282083,2.349583,2.28125,2.3475,190011740
2015-05-04,2.366875,2.400625,2.353125,2.355833,131970096
2015-05-05,2.329375,2.342292,2.238542,2.244167,280692620
2015-05-06,2.253542,2.272917,2.150208,2.19625,213398500
2015-05-07,2.193958,2.2525,2.188333,2.233958,168618960
2015-05-08,2.303333,2.332292,2.292917,2.315833,178377360
2015-05-11,2.322292,2.336665,2.285833,2.290417,139027870
2015-05-12,2.249375,2.293958,2.198125,2.260833,190334690
2015-05-13,2.290208,2.324167,2.263125,2.2725,132500160
2015-05-14,2.329375,2.377917,2.303342,2.373125,176830990
2015-05-15,2.391875,2.400417,2.355,2.372917,146505220
2015-05-18,2.36125,2.416917,2.355417,2.402083,110587392
2015-05-19,2.411458,2.421667,2.383958,2.395208,98578512
2015-05-20,2.400625,2.442292,2.361875,2.399167,111263760
2015-05-21,2.3875,2.446042,2.376667,2.436875,92223936
2015-05-22,2.428542,2.455625,2.42375,2.430208,79817904
2015-05-26,2.412917,2.422917,2.317083,2.346042,140457020
2015-05-27,2.366458,2.46625,2.351875,2.458958,134287870
2015-05-28,2.443958,2.46125,2.419375,2.440833,90645264
2015-05-29,2.436667,2.447292,2.381667,2.399583,106059552
2015-06-01,2.437292,2.441458,2.363333,2.420625,137157650
2015-06-02,2.395208,2.434375,2.359794,2.398542,131460912
2015-06-03,2.432708,2.4475,2.402917,2.419583,117066432
2015-06-04,2.38,2.425327,2.342917,2.366875,185704700
2015-06-05,2.356458,2.373125,2.305625,2.348958,138590500
2015-06-08,2.344375,2.35,2.262708,2.277083,144421440
2015-06-09,2.260417,2.289583,2.213958,2.265833,152998560
2015-06-10,2.287917,2.3775,2.280833,2.355625,154767600
