,equity
2025-01-02,100000.0
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,100000.0
2025-01-08,100000.0
2025-01-10,100000.0
2025-01-13,100000.0
2025-01-14,100000.0
2025-01-15,100000.0
2025-01-16,100000.0
2025-01-17,100000.0
2025-01-21,100000.0
2025-01-22,100000.0
2025-01-23,100000.0
2025-01-24,100000.0
2025-01-27,100000.0
2025-01-28,100000.0
2025-01-29,100000.0
2025-01-30,100000.0
2025-01-31,100000.0
2025-02-03,100000.0
2025-02-04,100000.0
2025-02-05,100000.0
2025-02-06,100000.0
2025-02-07,100000.0
2025-02-10,100000.0
2025-02-11,100000.0
2025-02-12,100000.0
2025-02-13,100000.0
2025-02-14,100000.0
2025-02-18,100000.0
2025-02-19,100000.0
2025-02-20,100000.0
2025-02-21,100000.0
2025-02-24,100000.0
2025-02-25,100000.0
2025-02-26,100000.0
2025-02-27,100000.0
2025-02-28,100000.0
2025-03-03,100000.0
2025-03-04,100000.0
2025-03-05,100000.0
2025-03-06,100000.0
2025-03-07,103538.46153846153
2025-03-10,99589.7435897436
2025-03-11,99589.7435897436
2025-03-12,99589.7435897436
2025-03-13,99589.7435897436
2025-03-14,99589.7435897436
2025-03-17,99589.7435897436
2025-03-18,99589.7435897436
2025-03-19,99589.7435897436
2025-03-20,99589.7435897436
2025-03-21,99589.7435897436
2025-03-24,99589.7435897436
2025-03-25,99589.7435897436
2025-03-26,99589.7435897436
2025-03-27,99589.7435897436
2025-03-28,99589.7435897436
2025-03-31,99589.7435897436
2025-04-01,99589.7435897436
2025-04-02,99589.7435897436
2025-04-03,99589.7435897436
2025-04-04,93049.52162265596
2025-04-07,95130.50133945656
2025-04-08,90671.25908916953
2025-04-09,113066.56461283326
2025-04-10,103875.57086363056
2025-04-11,103875.57086363056
2025-04-14,103875.57086363056
2025-04-15,103875.57086363056
2025-04-16,103875.57086363056
2025-04-17,103875.57086363056
2025-04-21,103875.57086363056
2025-04-22,103875.57086363056
2025-04-23,103875.57086363056
2025-04-24,103875.57086363056
2025-04-25,103875.57086363056
2025-04-28,103875.57086363056
2025-04-29,103875.57086363056
2025-04-30,103875.57086363056
2025-05-01,103875.57086363056
2025-05-02,103875.57086363056
2025-05-05,103875.57086363056
2025-05-06,103875.57086363056
2025-05-07,103875.57086363056
2025-05-08,103875.57086363056
2025-05-09,103875.57086363056
2025-05-12,103875.57086363056
2025-05-13,103875.57086363056
2025-05-14,103875.57086363056
2025-05-15,103875.57086363056
2025-05-16,103875.57086363056
2025-05-19,103875.57086363056
2025-05-20,103875.57086363056
2025-05-21,103875.57086363056
2025-05-22,103875.57086363056
2025-05-23,107426.87243161793
2025-05-27,118080.77713558002
2025-05-28,119036.89678849971
2025-05-29,119036.89678849971
2025-05-30,119036.89678849971
2025-06-02,119036.89678849971
2025-06-03,119036.89678849971
2025-06-04,119036.89678849971
2025-06-05,119036.89678849971
2025-06-06,119036.89678849971
2025-06-09,119036.89678849971
2025-06-10,119036.89678849971
2025-06-11,119036.89678849971
2025-06-12,119036.89678849971
2025-06-13,119036.89678849971
2025-06-16,125151.61016169676
2025-06-17,123494.3513969985
2025-06-18,123494.3513969985
2025-06-20,123494.3513969985
2025-06-23,123494.3513969985
2025-06-24,123494.3513969985
2025-06-25,123494.3513969985
2025-06-26,123494.3513969985
2025-06-27,123494.3513969985
2025-06-30,123494.3513969985
2025-07-01,123494.3513969985
2025-07-02,123494.3513969985
2025-07-03,123494.3513969985
2025-07-07,123494.3513969985
2025-07-08,123494.3513969985
2025-07-09,123494.3513969985
2025-07-10,123494.3513969985
2025-07-11,123494.3513969985
2025-07-14,123494.3513969985
2025-07-15,123494.3513969985
2025-07-16,123494.3513969985
2025-07-17,123494.3513969985
2025-07-18,123494.3513969985
2025-07-21,123494.3513969985
2025-07-22,123494.3513969985
2025-07-23,123494.3513969985
2025-07-24,123494.3513969985
2025-07-25,123494.3513969985
2025-07-28,123494.3513969985
2025-07-29,123494.3513969985
2025-07-30,123494.3513969985
2025-07-31,123494.3513969985
2025-08-01,123494.3513969985
2025-08-04,123494.3513969985
2025-08-05,123494.3513969985
2025-08-06,123494.3513969985
2025-08-07,123494.3513969985
2025-08-08,123494.3513969985
2025-08-11,123494.3513969985
2025-08-12,123494.3513969985
2025-08-13,123494.3513969985
2025-08-14,123494.3513969985
2025-08-15,123494.3513969985
