date,period,tactical_weight,equity
2016-09-06,IS,0.0,100000.0
2016-09-07,IS,0.0,99990.50361866914
2016-09-08,IS,0.0,99762.22522129308
2016-09-09,IS,0.0,97374.43318473932
2016-09-12,IS,0.0,98771.49697668091
2016-09-13,IS,0.0,97351.6053450017
2016-09-14,IS,0.0,97315.08080142154
2016-09-15,IS,0.0,97789.89986796377
2016-09-16,IS,0.0,97415.52329626701
2016-09-19,IS,0.0,97433.7855680571
2016-09-20,IS,0.0,97438.35113600461
2016-09-21,IS,0.0,98534.08744340978
2016-09-22,IS,0.0,99155.00468427272
2016-09-23,IS,0.0,98611.70209851765
2016-09-26,IS,0.0,97812.72770770139
2016-09-27,IS,0.0,98419.94824472175
2016-09-28,IS,0.0,98908.46401510654
2016-09-29,IS,0.0,98013.61269739234
2016-09-30,IS,0.0,98753.23470489083
2016-10-03,IS,0.0,98515.8251716197
2016-10-04,IS,0.0,98013.61269739234
2016-10-05,IS,0.0,98447.34165240687
2016-10-06,IS,0.0,98515.8251716197
2016-10-07,IS,0.0,98177.9731435031
2016-10-10,IS,0.0,98689.3167536255
2016-10-11,IS,0.0,97442.91670395214
2016-10-12,IS,0.0,97570.75260648274
2016-10-13,IS,0.0,97251.16285015622
2016-10-14,IS,0.0,97301.38409757896
2016-10-17,IS,0.0,96963.53206946238
2016-10-18,IS,0.0,97570.75260648274
2016-10-19,IS,0.0,97830.98997949147
2016-10-20,IS,0.0,97648.36726159061
2016-10-21,IS,0.0,97694.02294106582
2016-10-24,IS,0.0,98109.48962429028
2016-10-25,IS,0.0,97780.76873206873
2016-10-26,IS,0.0,97584.4493103253
2016-10-27,IS,0.0,97324.21193731658
2016-10-28,IS,0.0,97036.58115662272
2016-10-31,IS,0.0,97041.14672457025
2016-11-01,IS,0.0,96338.04926065193
2016-11-02,IS,0.0,95758.2221313167
2016-11-03,IS,0.0,95319.92760835463
2016-11-04,IS,0.0,95214.91954556164
2016-11-07,IS,0.0,97315.08080142154
2016-11-08,IS,0.0,97753.37532438361
2016-11-09,IS,0.0,98789.3940030352
2016-11-10,IS,0.0,99036.29991763715
2016-11-11,IS,0.0,98808.02152026107
2016-11-14,IS,0.0,98885.63617536894
2016-11-15,IS,0.0,99657.21715850009
2016-11-16,IS,0.0,99470.0288726517
2016-11-17,IS,0.0,99981.37248277411
2016-11-18,IS,0.0,99757.65965334556
2016-11-21,IS,0.0,100510.97836468661
2016-11-22,IS,0.0,100707.29778643003
2016-11-23,IS,0.0,100762.08460180029
2016-11-25,IS,0.0,101136.46117349707
2016-11-28,IS,0.0,100661.64210695481
2016-11-29,IS,0.0,100857.96152869823
2016-11-30,IS,0.0,100615.9864274796
2016-12-01,IS,0.0,100246.17542373035
2016-12-02,IS,0.0,100296.39667115311
2016-12-05,IS,0.0,100899.05164022594
2016-12-06,IS,0.0,101218.64139655243
2016-12-07,IS,0.0,102542.65610133369
2016-12-08,IS,0.0,102793.7623384474
2016-12-09,IS,0.0,103414.6795793103
2016-12-12,IS,0.0,103295.97481267474
2016-12-13,IS,0.0,103985.37557275049
2016-12-14,IS,0.0,103127.04879861645
2016-12-15,IS,0.0,102944.4260807156
2016-12-16,IS,0.0,102743.54109102464
2016-12-19,IS,0.0,102967.25392045321
2016-12-20,IS,0.0,103364.45833188757
2016-12-21,IS,0.0,103076.82755119371
