entry_signal_date,entry_date,entry_price,exit_signal_date,exit_date,exit_price,return,exit_reason
2016-09-09,2016-09-09,213.28,2016-09-12,2016-09-12,216.34,0.014347336834208635,wr>-30
2016-09-23,2016-09-23,215.99,2016-09-27,2016-09-27,215.57,-0.0019445344691884081,close>prev_high+wr>-30
2016-10-17,2016-10-17,212.38,2016-10-18,2016-10-18,213.71,0.006262359920896632,close>prev_high+wr>-30
2016-11-04,2016-11-04,208.55,2016-11-07,2016-11-07,213.15,0.022057060656916816,close>prev_high+wr>-30
2016-11-28,2016-11-28,220.48,2016-12-05,2016-12-05,221.0,0.002358490566037874,close>prev_high+wr>-30
2016-12-15,2016-12-15,225.48,2016-12-20,2016-12-20,226.4,0.0040801844952989,close>prev_high+wr>-30
2016-12-21,2016-12-21,225.77,2016-12-23,2016-12-23,225.71,-0.0002657571865172237,wr>-30
2016-12-28,2016-12-28,224.4,2017-01-03,2017-01-03,225.24,0.0037433155080213165,close>prev_high+wr>-30
2017-03-02,2017-03-02,238.27,2017-03-10,2017-03-10,237.69,-0.0024342132874470845,close>prev_high+wr>-30
2017-03-16,2017-03-16,237.44,2017-03-28,2017-03-28,235.32,-0.008928571428571397,close>prev_high+wr>-30
2017-04-05,2017-04-05,234.78,2017-04-17,2017-04-17,234.57,-0.0008944543828265372,close>prev_high+wr>-30
2017-05-17,2017-05-17,235.82,2017-05-19,2017-05-19,238.31,0.010558900856585618,close>prev_high+wr>-30
2017-06-06,2017-06-06,243.21,2017-06-07,2017-06-07,243.66,0.0018502528678918662,wr>-30
2017-06-15,2017-06-15,242.58689,2017-06-19,2017-06-19,244.66,0.008545845160882193,close>prev_high+wr>-30
2017-06-20,2017-06-20,243.01,2017-06-28,2017-06-28,243.49,0.001975227356898923,close>prev_high+wr>-30
2017-07-06,2017-07-06,240.55,2017-07-07,2017-07-07,242.11,0.006485138224901377,close>prev_high+wr>-30
2017-08-10,2017-08-10,243.76,2017-08-14,2017-08-14,246.54,0.01140466032162779,close>prev_high+wr>-30
2017-08-17,2017-08-17,243.09,2017-08-22,2017-08-22,245.44,0.009667201448023244,close>prev_high+wr>-30
2017-09-14,2017-09-14,248.85543,2017-09-18,2017-09-18,249.72,0.0034741857953430877,close>prev_high+wr>-30
2017-12-05,2017-12-05,263.285,2017-12-07,2017-12-07,264.07,0.0029815599065650122,close>prev_high+wr>-30
