entry_signal_date,entry_date,entry_price,exit_signal_date,exit_date,exit_price,return,exit_reason
2024-09-06,2024-09-09,546.41,2024-09-10,2024-09-11,554.42,0.014659321754726395,close>prev_high+wr>-30
2024-09-18,2024-09-19,569.23447,2024-09-19,2024-09-20,568.25,-0.0017294630804771671,close>prev_high
2024-10-31,2024-11-01,571.04,2024-11-05,2024-11-06,591.04,0.035023816195012714,close>prev_high+wr>-30
2024-12-12,2024-12-13,604.21,2024-12-16,2024-12-17,604.29,0.000132404296519395,wr>-30
2024-12-18,2024-12-19,584.13445,2024-12-23,2024-12-24,601.3,0.02938629967809625,wr>-30
2025-02-07,2025-02-10,604.85,2025-02-11,2025-02-12,603.36,-0.0024634206828139105,wr>-30
2025-02-21,2025-02-24,597.21,2025-02-28,2025-03-03,583.77,-0.022504646606721357,wr>-30
2025-03-28,2025-03-31,559.39,2025-04-01,2025-04-02,564.52,0.009170703802356073,close>prev_high+wr>-30
2025-04-03,2025-04-04,505.28,2025-04-09,2025-04-10,524.58,0.03819664344521856,close>prev_high+wr>-30
2025-05-21,2025-05-22,583.09,2025-05-27,2025-05-28,587.73,0.00795760517244326,close>prev_high+wr>-30
2025-06-18,2025-06-20,594.28,2025-06-23,2025-06-24,606.78,0.021033856094770043,close>prev_high+wr>-30
2025-07-15,2025-07-16,624.22,2025-07-17,2025-07-18,627.58,0.005382717631604361,close>prev_high+wr>-30
2025-10-10,2025-10-13,663.04,2025-10-14,2025-10-15,665.17,0.0032124758687259725,wr>-30
2025-10-30,2025-10-31,682.06,2025-11-10,2025-11-11,683.0,0.0013781778729144989,close>prev_high+wr>-30
2025-11-20,2025-11-21,659.03,2025-11-24,2025-11-25,675.02,0.024262931884739602,close>prev_high+wr>-30
2025-12-17,2025-12-18,674.47663,2025-12-19,2025-12-22,684.83,0.015350227924131321,wr>-30
2025-12-31,2026-01-02,683.17,2026-01-05,2026-01-06,691.81,0.012646925362647554,close>prev_high+wr>-30
2026-01-20,2026-01-21,685.4,2026-01-21,2026-01-22,688.98,0.0052232273125183415,close>prev_high+wr>-30
2026-02-12,2026-02-13,681.75,2026-02-18,2026-02-19,684.48,0.004004400440044131,close>prev_high+wr>-30
2026-03-12,2026-03-13,662.29,2026-03-31,2026-04-01,655.24,-0.010644883661235949,close>prev_high+wr>-30
2026-06-03,2026-06-04,757.09,2026-06-04,2026-06-05,737.55,-0.025809348954549782,wr>-30
2026-06-05,2026-06-08,739.22,2026-06-11,2026-06-12,741.75,0.0034225264467953043,wr>-30
2026-06-16,2026-06-17,739.05648,2026-06-29,2026-06-30,746.77,0.010436983111223208,close>prev_high+wr>-30
2026-07-29,2026-07-30,741.69,2026-07-30,2026-07-31,747.03,0.00719977349027201,wr>-30
2026-08-17,2026-08-18,767.45,2026-08-25,2026-08-26,766.08,-0.0017851325819271402,close>prev_high+wr>-30
