dt,open,high,low,close,volume
2026-07-27 09:30:00-04:00,140.65,142.1899,131.77,132.435,9028356
2026-07-27 10:00:00-04:00,132.39,132.95,120.73,120.9899,10089452
2026-07-27 10:30:00-04:00,120.9,124.88,115.45,124.435,15431956
2026-07-27 11:00:00-04:00,124.5,125.3799,117.25,118.06,8609570
2026-07-27 11:30:00-04:00,118.1,119.95,116.155,119.7601,5277075
2026-07-27 12:00:00-04:00,119.82,124.64,119.27,123.32,4698765
2026-07-27 12:30:00-04:00,123.3999,124.99,120.0,120.695,3352692
2026-07-27 13:00:00-04:00,120.76,121.0,118.6,119.0107,2437359
2026-07-27 13:30:00-04:00,119.11,122.2,118.97,122.0,2001874
2026-07-27 14:00:00-04:00,122.14,122.7,120.72,122.14,1887220
2026-07-27 14:30:00-04:00,122.13,125.2486,120.32,125.08,2355532
2026-07-27 15:00:00-04:00,125.1,129.7,124.77,129.6964,5528511
2026-07-27 15:30:00-04:00,129.7,130.2,126.6,128.09,10744239
2026-07-28 09:30:00-04:00,113.15,114.57,104.04,105.52,21597551
2026-07-28 10:00:00-04:00,105.485,109.5,101.53,104.4095,16004823
2026-07-28 10:30:00-04:00,104.3,110.4699,103.13,107.1,11030830
2026-07-28 11:00:00-04:00,107.145,111.51,105.69,109.335,8003072
2026-07-28 11:30:00-04:00,109.35,114.75,109.0,113.28,7232559
2026-07-28 12:00:00-04:00,113.3,114.78,110.35,111.15,4937556
2026-07-28 12:30:00-04:00,111.1501,113.7,108.705,112.5217,5150261
2026-07-28 13:00:00-04:00,112.5,113.13,110.34,110.9637,2363156
2026-07-28 13:30:00-04:00,110.9795,112.18,108.5,109.54,2438392
2026-07-28 14:00:00-04:00,109.555,110.3912,108.34,108.6008,1886093
2026-07-28 14:30:00-04:00,108.65,110.3299,108.55,110.085,2243743
2026-07-28 15:00:00-04:00,110.04,114.65,110.02,114.52,5828413
2026-07-28 15:30:00-04:00,114.53,114.95,109.28,109.51,13315309
2026-07-29 09:30:00-04:00,107.8,112.6685,100.59,102.3,13684163
2026-07-29 10:00:00-04:00,102.32,105.11,97.07,98.1697,12834436
2026-07-29 10:30:00-04:00,98.229,100.0,95.51,99.0,11080449
2026-07-29 11:00:00-04:00,99.0088,100.93,96.9,97.04,7404161
2026-07-29 11:30:00-04:00,97.0,97.49,93.72,95.63,6546944
2026-07-29 12:00:00-04:00,95.63,96.4,92.4101,95.25,7688745
2026-07-29 12:30:00-04:00,95.21,96.05,93.66,95.715,3904951
2026-07-29 13:00:00-04:00,95.73,99.5,95.47,97.05,5963660
2026-07-29 13:30:00-04:00,97.025,99.0947,96.72,98.2995,2675115
2026-07-29 14:00:00-04:00,98.32,103.2999,98.32,99.6,9874567
2026-07-29 14:30:00-04:00,99.59,107.8802,98.15,107.67,9877875
2026-07-29 15:00:00-04:00,107.7,109.25,99.0,101.35,9101041
2026-07-29 15:30:00-04:00,101.44,102.85,91.5,92.0,18091938
2026-07-30 09:30:00-04:00,107.34,113.88,105.12,113.6001,18227659
2026-07-30 10:00:00-04:00,113.665,117.33,110.84,117.24,12157081
2026-07-30 10:30:00-04:00,117.2401,118.0,111.68,113.0101,10207289
2026-07-30 11:00:00-04:00,113.07,115.57,112.0,113.0,5407558
2026-07-30 11:30:00-04:00,113.04,114.49,112.66,113.52,3318304
2026-07-30 12:00:00-04:00,113.43,116.31,113.06,114.89,3308877
2026-07-30 12:30:00-04:00,114.86,115.02,112.519,114.415,2835788
2026-07-30 13:00:00-04:00,114.4413,115.96,114.44,114.96,2181610
