wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
2,-80,-30,5,-80,0,106,0.7358490566037735,2.8928721403322584,0.04090798060431497,0.05927116367812901,3.9056603773584904,36.59845441119064,0.8326035090923238,1.3829921305324286,-0.3257011937607833,2.5563415948172525,0.18609271523178808,3759845.4411190636
2,-80,-30,5,-80,50,106,0.7358490566037735,2.8928721403322584,0.04090798060431497,0.05927116367812901,3.9056603773584904,36.59845441119064,0.8326035090923238,1.3829921305324286,-0.3257011937607833,2.5563415948172525,0.18609271523178808,3759845.4411190636
2,-80,-30,5,-80,100,106,0.7358490566037735,2.8928721403322584,0.04090798060431497,0.05927116367812901,3.9056603773584904,36.59845441119064,0.8326035090923238,1.3829921305324286,-0.3257011937607833,2.5563415948172525,0.18609271523178808,3759845.4411190636
2,-90,-30,5,-50,0,82,0.7560975609756098,3.2245315793152827,0.0492858458178036,0.061515648364696585,3.902439024390244,26.13138640352622,0.7354159562284432,1.3367184358157147,-0.3257011937607832,2.2579467632181354,0.147682119205298,2713138.640352622
2,-90,-30,5,-50,50,82,0.7560975609756098,3.2245315793152827,0.0492858458178036,0.061515648364696585,3.902439024390244,26.13138640352622,0.7354159562284432,1.3367184358157147,-0.3257011937607832,2.2579467632181354,0.147682119205298,2713138.640352622
2,-90,-30,5,-50,100,82,0.7560975609756098,3.2245315793152827,0.0492858458178036,0.061515648364696585,3.902439024390244,26.13138640352622,0.7354159562284432,1.3367184358157147,-0.3257011937607832,2.2579467632181354,0.147682119205298,2713138.640352622
2,-80,-30,5,-80,-50,107,0.7289719626168224,2.6143657150864765,0.036427565439490744,0.05115689219787978,3.7009345794392523,23.402867937611862,0.7049668828454696,1.2873308288321397,-0.3257011937607833,2.1644590082873454,0.17880794701986755,2440286.7937611863
2,-80,-40,5,-80,-50,110,0.7272727272727273,2.5929482967437183,0.034350337526332306,0.05050704361979341,3.3181818181818183,21.672927581427913,0.684157816171161,1.3269383888406368,-0.3257011937607833,2.100568954849002,0.16622516556291392,2267292.758142791
2,-90,-30,5,-80,0,71,0.7464788732394366,3.390027479005758,0.05290494377397881,0.06346153846153846,3.943661971830986,21.560588692716756,0.6827613038637204,1.3047336085075965,-0.3257011937607833,2.096281244720232,0.1291390728476821,2256058.8692716756
2,-90,-30,5,-80,50,71,0.7464788732394366,3.390027479005758,0.05290494377397881,0.06346153846153846,3.943661971830986,21.560588692716756,0.6827613038637204,1.3047336085075965,-0.3257011937607833,2.096281244720232,0.1291390728476821,2256058.8692716756
2,-90,-30,5,-80,100,71,0.7464788732394366,3.390027479005758,0.05290494377397881,0.06346153846153846,3.943661971830986,21.560588692716756,0.6827613038637204,1.3047336085075965,-0.3257011937607833,2.096281244720232,0.1291390728476821,2256058.8692716756
2,-80,-40,5,-80,0,109,0.7247706422018348,2.5408646976562315,0.03458992627313723,0.05115689219787978,3.3944954128440368,21.213802156314884,0.6784134641960902,1.3119423637040484,-0.3257011937607833,2.0829320775973645,0.16821192052980133,2221380.2156314882
2,-80,-40,5,-80,50,109,0.7247706422018348,2.5408646976562315,0.03458992627313723,0.05115689219787978,3.3944954128440368,21.213802156314884,0.6784134641960902,1.3119423637040484,-0.3257011937607833,2.0829320775973645,0.16821192052980133,2221380.2156314882
2,-80,-40,5,-80,100,109,0.7247706422018348,2.5408646976562315,0.03458992627313723,0.05115689219787978,3.3944954128440368,21.213802156314884,0.6784134641960902,1.3119423637040484,-0.3257011937607833,2.0829320775973645,0.16821192052980133,2221380.2156314882
2,-90,-30,8,-50,0,76,0.75,3.283048880534092,0.049858210325911076,0.06317731011127237,3.973684210526316,20.6472328724968,0.6711868966003778,1.2775878361647885,-0.3257011937607833,2.060744355433165,0.13841059602649006,2164723.28724968
2,-90,-30,8,-50,50,76,0.75,3.283048880534092,0.049858210325911076,0.06317731011127237,3.973684210526316,20.6472328724968,0.6711868966003778,1.2775878361647885,-0.3257011937607833,2.060744355433165,0.13841059602649006,2164723.28724968
2,-90,-30,8,-50,100,76,0.75,3.283048880534092,0.049858210325911076,0.06317731011127237,3.973684210526316,20.6472328724968,0.6711868966003778,1.2775878361647885,-0.3257011937607833,2.060744355433165,0.13841059602649006,2164723.28724968
2,-90,-30,8,-50,-50,76,0.75,3.2665231759714994,0.04949731483178007,0.06317731011127237,3.960526315789474,20.121354256319062,0.6643369469884384,1.2694006705640206,-0.3257011937607833,2.0397129630306843,0.13774834437086092,2112135.4256319064
2,-85,-30,5,-80,0,90,0.7222222222222222,2.858223503515348,0.04248050017262423,0.05440474651513416,4.033333333333333,22.230199194036334,0.6910013606561378,1.273465335990718,-0.34082704290138366,2.027425273457761,0.16158940397350993,2323019.9194036336
2,-85,-30,5,-80,50,90,0.7222222222222222,2.858223503515348,0.04248050017262423,0.05440474651513416,4.033333333333333,22.230199194036334,0.6910013606561378,1.273465335990718,-0.34082704290138366,2.027425273457761,0.16158940397350993,2323019.9194036336
2,-85,-30,5,-80,100,90,0.7222222222222222,2.858223503515348,0.04248050017262423,0.05440474651513416,4.033333333333333,22.230199194036334,0.6910013606561378,1.273465335990718,-0.34082704290138366,2.027425273457761,0.16158940397350993,2323019.9194036336
2,-85,-40,20,-80,0,68,0.7058823529411765,3.3507162782877344,0.045043143936705096,0.051136614463109575,3.2941176470588234,11.451806723113048,0.5237521190200525,1.2620145135945293,-0.2589214604333292,2.0228223575732365,0.10529801324503311,1245180.6723113048
2,-85,-40,20,-80,50,68,0.7058823529411765,3.3507162782877344,0.045043143936705096,0.051136614463109575,3.2941176470588234,11.451806723113048,0.5237521190200525,1.2620145135945293,-0.2589214604333292,2.0228223575732365,0.10529801324503311,1245180.6723113048
2,-85,-40,20,-80,100,68,0.7058823529411765,3.3507162782877344,0.045043143936705096,0.051136614463109575,3.2941176470588234,11.451806723113048,0.5237521190200525,1.2620145135945293,-0.2589214604333292,2.0228223575732365,0.10529801324503311,1245180.6723113048
2,-90,-40,5,-50,0,85,0.7529411764705882,2.9726589414162587,0.04352637072683471,0.05111633672833937,3.376470588235294,19.168743869639417,0.6515582504235327,1.336642033852732,-0.3257011937607832,2.0004785456883547,0.1357615894039735,2016874.3869639419
2,-90,-40,5,-50,50,85,0.7529411764705882,2.9726589414162587,0.04352637072683471,0.05111633672833937,3.376470588235294,19.168743869639417,0.6515582504235327,1.336642033852732,-0.3257011937607832,2.0004785456883547,0.1357615894039735,2016874.3869639419
2,-90,-40,5,-50,100,85,0.7529411764705882,2.9726589414162587,0.04352637072683471,0.05111633672833937,3.376470588235294,19.168743869639417,0.6515582504235327,1.336642033852732,-0.3257011937607832,2.0004785456883547,0.1357615894039735,2016874.3869639419
2,-85,-30,3,-80,100,105,0.7238095238095238,2.391228224851536,0.035703512543207826,0.048788773853024825,4.171428571428572,19.089147646333696,0.6504679054212639,1.1948324166243536,-0.3257011937607833,1.9971308606839522,0.1966887417218543,2008914.7646333696
2,-85,-30,20,-80,0,65,0.7230769230769231,3.468271830676271,0.047140012855900706,0.05702085326272743,3.8615384615384616,11.551705149875506,0.5257869836899487,1.1802267726051587,-0.27089273007027304,1.9409416544827647,0.1152317880794702,1255170.5149875507
2,-85,-30,20,-80,50,65,0.7230769230769231,3.468271830676271,0.047140012855900706,0.05702085326272743,3.8615384615384616,11.551705149875506,0.5257869836899487,1.1802267726051587,-0.27089273007027304,1.9409416544827647,0.1152317880794702,1255170.5149875507
2,-85,-30,20,-80,100,65,0.7230769230769231,3.468271830676271,0.047140012855900706,0.05702085326272743,3.8615384615384616,11.551705149875506,0.5257869836899487,1.1802267726051587,-0.27089273007027304,1.9409416544827647,0.1152317880794702,1255170.5149875507
2,-90,-40,20,-80,0,58,0.7413793103448276,3.800506481106603,0.050989328406320075,0.05744058656017337,3.2413793103448274,10.441353233318122,0.5023664911137269,1.258657266943183,-0.2589214604333292,1.9402273194078612,0.09006622516556291,1144135.3233318122
2,-90,-40,20,-80,50,58,0.7413793103448276,3.800506481106603,0.050989328406320075,0.05744058656017337,3.2413793103448274,10.441353233318122,0.5023664911137269,1.258657266943183,-0.2589214604333292,1.9402273194078612,0.09006622516556291,1144135.3233318122
2,-90,-40,20,-80,100,58,0.7413793103448276,3.800506481106603,0.050989328406320075,0.05744058656017337,3.2413793103448274,10.441353233318122,0.5023664911137269,1.258657266943183,-0.2589214604333292,1.9402273194078612,0.09006622516556291,1144135.3233318122
2,-85,-40,20,-80,-50,68,0.7058823529411765,3.269257474631623,0.04348227474467031,0.05076449331280053,3.2794117647058822,10.307751490860253,0.4994222441814824,1.2256910887636772,-0.2589214604333293,1.9288561224150849,0.10463576158940398,1130775.1490860253
2,-85,-30,5,-50,0,104,0.7115384615384616,2.7110802829406753,0.03911556065467145,0.05076449331280053,4.019230769230769,25.718747782038744,0.7309797581630537,1.2875655134554305,-0.37918942400912536,1.9277430009373424,0.18675496688741722,2671874.7782038744
2,-85,-30,5,-50,50,104,0.7115384615384616,2.7110802829406753,0.03911556065467145,0.05076449331280053,4.019230769230769,25.718747782038744,0.7309797581630537,1.2875655134554305,-0.37918942400912536,1.9277430009373424,0.18675496688741722,2671874.7782038744
2,-85,-30,5,-50,100,104,0.7115384615384616,2.7110802829406753,0.03911556065467145,0.05076449331280053,4.019230769230769,25.718747782038744,0.7309797581630537,1.2875655134554305,-0.37918942400912536,1.9277430009373424,0.18675496688741722,2671874.7782038744
