date,soxl_open,soxl_high,soxl_low,soxl_close,qqq_close
2015-09-04,1.3713333,1.4192667,1.348,1.3646667,102.16
2015-09-08,1.46,1.5484667,1.4566667,1.5433333,105.04
2015-09-09,1.5886667,1.6206667,1.452,1.462,103.86
2015-09-10,1.46,1.522,1.4173333,1.4826667,104.99
2015-09-11,1.438,1.4866667,1.4214667,1.482,105.57
2015-09-14,1.502,1.5173333,1.4774,1.4966667,105.25
2015-09-15,1.51,1.5625333,1.51,1.548,106.49
2015-09-16,1.5466667,1.5653333,1.5113333,1.5606667,107.09
2015-09-17,1.5606667,1.5973333,1.5126667,1.5186667,107.13
2015-09-18,1.456,1.5013333,1.4246667,1.4426667,105.35
2015-09-21,1.4666667,1.48466,1.4093333,1.428,105.68
2015-09-22,1.352,1.3706,1.3170467,1.3346667,104.1
2015-09-23,1.3386667,1.358,1.3006667,1.304,104.18
2015-09-24,1.27,1.324,1.1959733,1.2986667,103.8
2015-09-25,1.3526667,1.3778133,1.282,1.3186667,102.92
2015-09-28,1.2906667,1.3173333,1.2086667,1.2086667,99.99
2015-09-29,1.2246667,1.2686667,1.18934,1.2353333,99.47
2015-09-30,1.2913333,1.38,1.2906667,1.3733333,101.76
2015-10-01,1.3706667,1.3706667,1.2566667,1.328,102.22
2015-10-02,1.2826667,1.4133333,1.2713333,1.4133333,104.01
2015-10-05,1.452,1.514,1.4360333,1.492,105.5
2015-10-06,1.5073333,1.52,1.4264933,1.5073333,105.0
2015-10-07,1.5426667,1.5953333,1.49,1.5753333,105.63
2015-10-08,1.558,1.6053333,1.5213333,1.6046667,106.05
2015-10-09,1.596,1.612,1.5386667,1.562,106.53
2015-10-12,1.562,1.5766667,1.544,1.5686667,106.79
2015-10-13,1.5313333,1.56,1.5046667,1.5053333,106.1
2015-10-14,1.5333333,1.714667,1.5186667,1.6753333,105.93
2015-10-15,1.712667,1.758933,1.678,1.725333,107.67
2015-10-16,1.733333,1.738733,1.69,1.732,108.12
2015-10-19,1.707333,1.764667,1.692667,1.731333,108.74
2015-10-20,1.721333,1.743333,1.698,1.723333,108.18
2015-10-21,1.78,1.8318,1.732,1.732667,107.52
2015-10-22,1.807333,1.922,1.807333,1.908667,109.71
2015-10-23,1.968667,1.998667,1.904667,1.983333,112.78
2015-10-26,1.956667,1.959333,1.846673,1.864667,112.85
2015-10-27,1.826667,1.864667,1.812667,1.826,113.08
2015-10-28,1.860667,1.9218,1.842,1.920667,114.02
2015-10-29,1.805333,1.811333,1.736733,1.752,113.84
2015-10-30,1.763333,1.813333,1.763333,1.796667,113.33
2015-11-02,1.814,1.85,1.804507,1.842,114.61
2015-11-03,1.836667,1.892,1.82926,1.869333,115.01
2015-11-04,1.875333,1.9,1.846667,1.889333,115.02
2015-11-05,1.867333,1.867333,1.758673,1.771333,114.71
2015-11-06,1.799333,1.91,1.799333,1.904667,114.79
