entry_date,entry_price,exit_date,exit_price,return
2024-09-04,30.3,2024-09-10,28.35,-0.0643564356435643
2024-09-18,31.14,2024-09-19,35.12,0.12780989081567107
2024-10-15,34.47,2024-10-24,34.29,-0.005221932114882533
2024-10-30,34.01,2024-11-05,31.38,-0.07733019700088206
2024-11-13,29.69,2024-11-19,27.85,-0.061973728528123995
2024-12-05,29.12,2024-12-11,29.12,0.0
2024-12-18,27.83,2024-12-23,29.59,0.06324110671936767
2025-01-07,31.15,2025-01-14,28.12,-0.09727126805778485
2025-01-24,32.65,2025-01-29,25.68,-0.21347626339969372
2025-02-21,28.81,2025-02-26,26.29,-0.08746962860118013
2025-02-27,21.75,2025-03-05,21.95,0.009195402298850519
2025-03-06,19.23,2025-03-07,20.88,0.08580343213728536
2025-03-25,20.55,2025-04-01,15.95,-0.22384428223844288
2025-04-03,11.41,2025-04-09,12.77,0.119193689745837
2025-05-21,17.0,2025-05-27,17.29,0.017058823529411793
2025-06-13,20.04,2025-06-16,21.9,0.09281437125748493
2025-07-07,24.97,2025-07-08,26.37,0.05606728073688427
2025-07-31,24.98,2025-08-04,25.0,0.0008006405124099114
2025-08-15,27.37,2025-08-21,25.35,-0.07380343441724513
2025-08-29,26.04,2025-09-03,24.91,-0.04339477726574492
2025-10-07,38.83,2025-10-08,42.78,0.10172546999742482
2025-10-10,34.21,2025-10-15,39.98,0.16866413329435836
2025-10-30,47.39,2025-11-05,46.83,-0.011816838995568735
2025-11-06,43.01,2025-11-10,44.96,0.045338293420134956
2025-11-11,41.81,2025-11-12,43.71,0.045443673762257886
2025-11-13,39.22,2025-11-19,35.96,-0.0831208567057623
2025-11-20,30.81,2025-11-24,35.86,0.16390782213567023
2025-12-12,41.71,2025-12-19,41.72,0.0002397506593143639
2025-12-31,42.03,2026-01-02,47.24,0.12395907684986907
2026-01-20,57.94,2026-01-21,63.48,0.09561615464273387
2026-01-30,61.79,2026-02-06,61.75,-0.0006473539407670925
2026-02-12,63.1,2026-02-17,64.35,0.019809825673533954
2026-03-03,53.42,2026-03-04,56.62,0.0599026581804567
2026-03-06,47.89,2026-03-09,53.32,0.11338484025892659
2026-03-12,50.28,2026-03-17,54.95,0.0928798727128084
2026-03-26,48.97,2026-03-31,47.91,-0.021645905656524467
2026-05-15,164.18,2026-05-20,173.2,0.05493970032890716
2026-06-05,182.54,2026-06-11,223.99,0.22707351813301213
2026-06-16,226.19,2026-06-18,279.29,0.23475838896502954
2026-06-23,231.42,2026-06-25,252.61,0.0915651196957914
2026-06-26,215.6,2026-06-29,236.52,0.09703153988868274
2026-07-01,217.55,2026-07-08,174.82,-0.19641461732934962
2026-07-13,165.37,2026-07-21,158.54,-0.04130132430307798
2026-07-24,136.81,2026-07-30,114.72,-0.16146480520429796
2026-08-05,132.07,2026-08-07,140.25,0.061936851669569304
2026-08-10,130.0,2026-08-12,142.16,0.09353846153846157
2026-08-18,129.1,2026-08-25,115.67,-0.10402788536018581
2026-08-28,111.34,2026-09-02,106.35,-0.0448176755882882
