date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,106731.10936770354,1
2016-09-13,105303.28410027894,0
2016-09-14,105303.28410027894,0
2016-09-15,105303.28410027894,0
2016-09-16,105303.28410027894,0
2016-09-19,105303.28410027894,0
2016-09-20,105303.28410027894,0
2016-09-21,105303.28410027894,0
2016-09-22,105303.28410027894,0
2016-09-23,105303.28410027894,0
2016-09-26,105303.28410027894,0
2016-09-27,105303.28410027894,0
2016-09-28,105303.28410027894,0
2016-09-29,105303.28410027894,0
2016-09-30,105303.28410027894,0
2016-10-03,105303.28410027894,0
2016-10-04,105303.28410027894,0
2016-10-05,105303.28410027894,0
2016-10-06,105303.28410027894,0
2016-10-07,105303.28410027894,0
2016-10-10,105303.28410027894,0
2016-10-11,105303.28410027894,0
2016-10-12,105303.28410027894,0
2016-10-13,105303.28410027894,0
2016-10-14,105303.28410027894,0
2016-10-17,105303.28410027894,0
2016-10-18,105303.28410027894,0
2016-10-19,105303.28410027894,0
2016-10-20,105303.28410027894,0
2016-10-21,105303.28410027894,0
2016-10-24,105303.28410027894,0
2016-10-25,105303.28410027894,0
2016-10-26,105303.28410027894,0
2016-10-27,105303.28410027894,0
2016-10-28,105303.28410027894,0
2016-10-31,105303.28410027894,0
2016-11-01,105303.28410027894,0
2016-11-02,105303.28410027894,0
2016-11-03,105303.28410027894,0
2016-11-04,105303.28410027894,0
2016-11-07,107636.6027931631,1
2016-11-08,107279.02036249086,0
2016-11-09,107279.02036249086,0
2016-11-10,107279.02036249086,0
2016-11-11,107279.02036249086,0
2016-11-14,107279.02036249086,0
2016-11-15,107279.02036249086,0
2016-11-16,107279.02036249086,0
2016-11-17,107279.02036249086,0
2016-11-18,107279.02036249086,0
2016-11-21,107279.02036249086,0
2016-11-22,107279.02036249086,0
2016-11-23,107279.02036249086,0
2016-11-25,107279.02036249086,0
2016-11-28,107279.02036249086,0
2016-11-29,107279.02036249086,0
2016-11-30,107279.02036249086,0
2016-12-01,107279.02036249086,0
2016-12-02,107279.02036249086,0
2016-12-05,107279.02036249086,0
2016-12-06,107279.02036249086,0
2016-12-07,107279.02036249086,0
2016-12-08,107279.02036249086,0
2016-12-09,107279.02036249086,0
2016-12-12,107279.02036249086,0
2016-12-13,107279.02036249086,0
2016-12-14,107279.02036249086,0
2016-12-15,107279.02036249086,0
2016-12-16,107279.02036249086,0
2016-12-19,107279.02036249086,0
2016-12-20,107279.02036249086,0
2016-12-21,107279.02036249086,0
2016-12-22,107279.02036249086,0
2016-12-23,107279.02036249086,0
2016-12-27,107279.02036249086,0
2016-12-28,107279.02036249086,0
2016-12-29,107279.02036249086,0
2016-12-30,107279.02036249086,0
2017-01-03,107279.02036249086,0
2017-01-04,107279.02036249086,0
2017-01-05,107279.02036249086,0
2017-01-06,107279.02036249086,0
2017-01-09,107279.02036249086,0
2017-01-10,107279.02036249086,0
2017-01-11,107279.02036249086,0
2017-01-12,107279.02036249086,0
2017-01-13,107279.02036249086,0
2017-01-17,107279.02036249086,0
2017-01-18,107279.02036249086,0
2017-01-19,107279.02036249086,0
2017-01-20,107279.02036249086,0
2017-01-23,107279.02036249086,0
2017-01-24,107279.02036249086,0
2017-01-25,107279.02036249086,0
2017-01-26,107279.02036249086,0
2017-01-27,107279.02036249086,0
2017-01-30,107279.02036249086,0
2017-01-31,107279.02036249086,0
2017-02-01,107279.02036249086,0
2017-02-02,107279.02036249086,0
2017-02-03,107279.02036249086,0
2017-02-06,107279.02036249086,0
2017-02-07,107279.02036249086,0
2017-02-08,107279.02036249086,0
2017-02-09,107279.02036249086,0
2017-02-10,107279.02036249086,0
2017-02-13,107279.02036249086,0
2017-02-14,107279.02036249086,0
2017-02-15,107279.02036249086,0
2017-02-16,107279.02036249086,0
2017-02-17,107279.02036249086,0
2017-02-21,107279.02036249086,0
2017-02-22,107279.02036249086,0
2017-02-23,107279.02036249086,0
2017-02-24,107279.02036249086,0
2017-02-27,107279.02036249086,0
2017-02-28,107279.02036249086,0
2017-03-01,107279.02036249086,0
2017-03-02,107279.02036249086,0
2017-03-03,107279.02036249086,0
2017-03-06,107279.02036249086,0
2017-03-07,107279.02036249086,0
2017-03-08,107279.02036249086,0
2017-03-09,107279.02036249086,0
2017-03-10,107279.02036249086,0
2017-03-13,107279.02036249086,0
2017-03-14,107279.02036249086,0
2017-03-15,107279.02036249086,0
2017-03-16,107279.02036249086,0
2017-03-17,107279.02036249086,0
2017-03-20,107279.02036249086,0
2017-03-21,107279.02036249086,0
2017-03-22,109324.02247274554,1
2017-03-23,108449.40979664054,1
2017-03-24,109041.05591659906,1
2017-03-27,109619.8300987466,1
2017-03-28,109606.95816093565,0
2017-03-29,109606.95816093565,0
2017-03-30,109606.95816093565,0
2017-03-31,109606.95816093565,0
2017-04-03,109606.95816093565,0
2017-04-04,109606.95816093565,0
2017-04-05,109606.95816093565,0
2017-04-06,109606.95816093565,0
2017-04-07,109606.95816093565,0
2017-04-10,109606.95816093565,0
2017-04-11,109606.95816093565,0
2017-04-12,109606.95816093565,0
2017-04-13,109606.95816093565,0
2017-04-17,111271.5798081058,1
2017-04-18,110239.23565951476,0
2017-04-19,110239.23565951476,0
2017-04-20,110239.23565951476,0
2017-04-21,110239.23565951476,0
2017-04-24,110239.23565951476,0
2017-04-25,110239.23565951476,0
2017-04-26,110239.23565951476,0
2017-04-27,110239.23565951476,0
2017-04-28,110239.23565951476,0
2017-05-01,110239.23565951476,0
2017-05-02,110239.23565951476,0
2017-05-03,110239.23565951476,0
2017-05-04,110239.23565951476,0
2017-05-05,110239.23565951476,0
2017-05-08,110239.23565951476,0
2017-05-09,110239.23565951476,0
2017-05-10,110239.23565951476,0
2017-05-11,110239.23565951476,0
2017-05-12,110239.23565951476,0
2017-05-15,110239.23565951476,0
2017-05-16,110239.23565951476,0
2017-05-17,110239.23565951476,0
2017-05-18,113197.04343447018,1
2017-05-19,114565.76376267002,1
2017-05-22,115366.11174883442,0
2017-05-23,115366.11174883442,0
2017-05-24,115366.11174883442,0
2017-05-25,115366.11174883442,0
2017-05-26,115366.11174883442,0
2017-05-30,115366.11174883442,0
2017-05-31,115366.11174883442,0
2017-06-01,115366.11174883442,0
2017-06-02,115366.11174883442,0
2017-06-05,115366.11174883442,0
2017-06-06,115366.11174883442,0
2017-06-07,115366.11174883442,0
2017-06-08,115366.11174883442,0
2017-06-09,115366.11174883442,0
2017-06-12,115366.11174883442,0
2017-06-13,115366.11174883442,0
2017-06-14,115366.11174883442,0
2017-06-15,115366.11174883442,0
2017-06-16,115366.11174883442,0
2017-06-19,115366.11174883442,0
2017-06-20,115366.11174883442,0
2017-06-21,115366.11174883442,0
2017-06-22,115366.11174883442,0
2017-06-23,115366.11174883442,0
2017-06-26,115366.11174883442,0
2017-06-27,115366.11174883442,0
2017-06-28,118960.50228864231,1
2017-06-29,117497.3917948345,0
2017-06-30,117497.3917948345,0
2017-07-03,117497.3917948345,0
2017-07-05,119927.61049068504,1
2017-07-06,116760.961887001,1
2017-07-07,120259.0039492101,1
2017-07-10,120713.14554477288,0
2017-07-11,120713.14554477288,0
2017-07-12,120713.14554477288,0
2017-07-13,120713.14554477288,0
2017-07-14,120713.14554477288,0
2017-07-17,120713.14554477288,0
2017-07-18,120713.14554477288,0
2017-07-19,120713.14554477288,0
2017-07-20,120713.14554477288,0
2017-07-21,120713.14554477288,0
2017-07-24,120713.14554477288,0
2017-07-25,120713.14554477288,0
2017-07-26,120713.14554477288,0
2017-07-27,120713.14554477288,0
2017-07-28,120713.14554477288,0
2017-07-31,120713.14554477288,0
2017-08-01,120713.14554477288,0
2017-08-02,120713.14554477288,0
2017-08-03,120713.14554477288,0
2017-08-04,120713.14554477288,0
2017-08-07,120713.14554477288,0
2017-08-08,120713.14554477288,0
2017-08-09,120713.14554477288,0
2017-08-10,120713.14554477288,0
2017-08-11,122872.85873769457,1
2017-08-14,127651.74870716741,1
2017-08-15,128363.97929558046,0
2017-08-16,128363.97929558046,0
2017-08-17,128363.97929558046,0
2017-08-18,128363.97929558046,0
2017-08-21,128363.97929558046,0
2017-08-22,128363.97929558046,0
2017-08-23,128363.97929558046,0
2017-08-24,128363.97929558046,0
2017-08-25,128363.97929558046,0
2017-08-28,128363.97929558046,0
2017-08-29,128363.97929558046,0
2017-08-30,128363.97929558046,0
2017-08-31,128363.97929558046,0
2017-09-01,128363.97929558046,0
2017-09-05,128363.97929558046,0
2017-09-06,128363.97929558046,0
2017-09-07,128363.97929558046,0
2017-09-08,128363.97929558046,0
2017-09-11,128363.97929558046,0
2017-09-12,128363.97929558046,0
2017-09-13,128363.97929558046,0
2017-09-14,128363.97929558046,0
2017-09-15,128363.97929558046,0
2017-09-18,128363.97929558046,0
2017-09-19,128363.97929558046,0
2017-09-20,128363.97929558046,0
2017-09-21,128363.97929558046,0
2017-09-22,128363.97929558046,0
2017-09-25,128363.97929558046,0
2017-09-26,128363.97929558046,0
2017-09-27,128363.97929558046,0
2017-09-28,128363.97929558046,0
2017-09-29,128363.97929558046,0
