entry_signal_date,entry_date,entry_price,exit_date,exit_price,return,holding_days
2016-09-09,2016-09-12,2.349167,2016-09-13,2.47375,0.05303284100278938,1
2016-11-04,2016-11-07,2.453958,2016-11-08,2.5,0.018762342305777002,1
2017-03-21,2017-03-22,3.475417,2017-03-28,3.550833,0.021699842062117947,6
2017-04-13,2017-04-17,3.539167,2017-04-18,3.559583,0.005768589049344186,1
2017-05-17,2017-05-18,3.96,2017-05-22,4.144167,0.04650681818181823,4
2017-06-27,2017-06-28,4.1725,2017-06-29,4.249583,0.01847405632115029,1
2017-07-03,2017-07-05,3.98875,2017-07-10,4.097917,0.027368724537762512,5
2017-08-10,2017-08-11,4.378333,2017-08-15,4.655833,0.06338028651543892,4
2018-02-02,2018-02-05,6.572917,2018-02-13,5.884583,-0.10472275855605662,8
2018-03-22,2018-03-23,6.341667,2018-03-27,6.662083,0.050525516398133075,4
2018-10-24,2018-10-25,6.38625,2018-11-01,6.58375,0.030925817185359028,7
2018-11-12,2018-11-13,6.18375,2018-11-16,6.095,-0.014352132605619627,3
2018-11-19,2018-11-20,5.215,2018-11-27,5.5775,0.06951102588686475,7
2018-12-07,2018-12-10,5.395,2018-12-27,4.325,-0.19833178869323442,17
2019-01-03,2019-01-04,4.44375,2019-01-07,4.80875,0.08213783403656816,3
2019-05-13,2019-05-14,6.9525,2019-05-16,7.375,0.06076950737144915,2
2019-05-31,2019-06-03,6.2275,2019-06-05,6.53625,0.049578482537133706,2
2019-06-25,2019-06-26,7.6525,2019-07-02,8.02,0.04802352172492652,6
2019-07-19,2019-07-22,8.28,2019-07-24,8.48,0.024154589371980784,2
2019-08-14,2019-08-15,7.1125,2019-08-19,7.68375,0.08031634446397184,4
2019-08-23,2019-08-26,7.18625,2019-08-30,7.739875,0.0770394851278482,4
2020-02-25,2020-02-26,11.16,2020-03-03,11.04625,-0.010192652329749086,6
2020-03-09,2020-03-10,8.4975,2020-03-11,8.2225,-0.032362459546925626,1
2020-03-12,2020-03-13,6.53,2020-03-16,5.0575,-0.22549770290964777,3
2020-03-16,2020-03-17,4.9225,2020-03-25,5.525,0.12239715591670897,8
2020-04-21,2020-04-22,7.62875,2020-04-23,7.90375,0.036047845321972805,1
2020-06-11,2020-06-12,11.0362,2020-06-16,11.67375,0.05776897845272844,4
2020-08-11,2020-08-12,15.1375,2020-08-13,16.01,0.05763831544178388,1
2020-09-08,2020-09-09,16.12875,2020-09-10,17.064938,0.05804467178175621,1
2021-03-03,2021-03-04,20.9925,2021-03-08,20.82,-0.00821722043586992,4
2021-03-18,2021-03-19,21.3125,2021-03-23,23.0125,0.07976539589442821,4
2021-07-16,2021-07-19,30.4525,2021-07-21,31.5775,0.03694277973893767,2
2021-09-28,2021-09-29,31.99,2021-10-06,30.065,-0.060175054704595055,7
2021-12-01,2021-12-02,38.355,2021-12-08,41.9725,0.0943162560292008,6
2021-12-13,2021-12-14,38.53,2021-12-16,41.7525,0.0836361276927069,2
2022-01-19,2022-01-20,33.01,2022-01-31,28.5225,-0.1359436534383519,11
