date,equity
2016-09-06,101247.45899429101
2016-09-07,101432.58251169964
2016-09-08,99694.1521520609
2016-09-09,92136.80906085356
2016-09-12,96861.16740620782
2016-09-13,94575.44053756903
2016-09-14,95790.71925431382
2016-09-15,100233.37461783507
2016-09-16,100120.72433053047
2016-09-19,98808.82751757553
2016-09-20,99356.12402657558
2016-09-21,102245.47254786672
2016-09-22,104635.81429236999
2016-09-23,102752.51473609469
2016-09-26,100201.19434028886
2016-09-27,103042.25312936782
2016-09-28,103605.62046124808
2016-09-29,101408.43764559354
2016-09-30,103492.9315421577
2016-10-03,103259.55692432266
2016-10-04,102672.00609455052
2016-10-05,103742.45424644453
2016-10-06,103581.47559514198
2016-10-07,102905.41934417136
2016-10-10,104748.46457967458
2016-10-11,100418.49813524372
2016-10-12,100209.22975172897
2016-10-13,99034.20535575626
2016-10-14,99259.5445621512
2016-10-17,98575.45289974049
2016-10-18,101102.58979765444
2016-10-19,101142.84411842651
2016-10-20,100716.27193995693
2016-10-21,101810.86495795703
2016-10-24,105521.10029506958
2016-10-25,104466.80022962735
2016-10-26,102462.77634282157
2016-10-27,101030.15519933615
2016-10-28,99283.68942825729
2016-10-31,98720.32209637703
2016-11-01,96692.15334346516
2016-11-02,94173.01322520555
2016-11-03,91460.75280988295
2016-11-04,90422.52356732092
2016-11-07,96901.38309519413
2016-11-08,98800.79210613543
2016-11-09,100185.08488562287
2016-11-10,95420.51085128232
2016-11-11,95340.0408415239
2016-11-14,92120.69960618758
2016-11-15,96386.30549552606
2016-11-16,97955.72179242215
2016-11-17,100225.33920639496
2016-11-18,99098.56591084867
2016-11-21,102076.45848512407
2016-11-22,102993.96339715563
2016-11-23,101754.50118251896
2016-11-25,102736.4052814287
2016-11-28,102164.96390632255
2016-11-29,103146.86800523229
2016-11-30,99806.84107115126
2016-12-01,94325.95646506798
2016-12-02,94704.20027953961
2016-12-05,96893.34768375404
2016-12-06,97593.54880083074
2016-12-07,101215.2787167448
2016-12-08,101835.00982406313
2016-12-09,104217.27752534051
2016-12-12,102768.5855589749
2016-12-13,106784.70737581234
2016-12-14,106003.99761719146
2016-12-15,106647.87359061588
2016-12-16,105352.08623232692
2016-12-19,106639.83817917577
2016-12-20,107927.55149423884
2016-12-21,107549.26904798145
2016-12-22,106615.69331306969
2016-12-23,106945.64739532911
2016-12-27,108507.02828078509
2016-12-28,105995.96220575135
2016-12-29,105480.88460608327
2016-12-30,102398.3771559434
2017-01-03,104877.26295343094
2017-01-04,106663.98304528187
2017-01-05,108555.31801299728
2017-01-06,111307.83274909196
2017-01-09,112434.60604463825
2017-01-10,113078.44338627691
2017-01-11,113947.65856609629
2017-01-12,113368.18177955004
2017-01-13,114672.0045492791
2017-01-17,113593.55961773076
2017-01-18,114366.19533312575
2017-01-19,114060.34748518665
2017-01-20,114800.80292303544
2017-01-23,115058.32240697659
2017-01-24,117456.73819470576
2017-01-25,120885.30918177104
2017-01-26,121384.27732677314
2017-01-27,121963.75411331939
2017-01-30,119195.1685543445
2017-01-31,118535.18312625408
2017-02-01,120788.72971734668
2017-02-02,120482.88186940757
2017-02-03,121529.1465234097
2017-02-06,121979.86356798538
2017-02-07,123235.39660550225
2017-02-08,123927.56231113887
2017-02-09,125215.27562620194
2017-02-10,126454.69920905282
2017-02-13,128676.02689081345
2017-02-14,129883.27019611813
2017-02-15,132120.70733254473
2017-02-16,132008.01841345438
2017-02-17,133665.97876333474
2017-02-21,135790.72698067097
2017-02-22,135806.83643533694
2017-02-23,134342.03501430535
2017-02-24,135066.38099748816
2017-02-27,135468.80830985165
2017-02-28,134406.43420118353
2017-03-01,138752.5101002804
2017-03-02,136563.36269606597
