date,equity
2024-09-04,101277.8505897772
2024-09-05,101605.50458715597
2024-09-06,93365.00655307995
2024-09-09,96838.13892529489
2024-09-10,99442.9882044561
2024-09-11,105783.09305373524
2024-09-12,108912.18872870249
2024-09-13,110337.48361730012
2024-09-16,108863.04062909567
2024-09-17,108928.57142857142
2024-09-18,107503.27653997378
2024-09-19,115629.09567496723
2024-09-20,114891.87418086501
2024-09-23,115743.77457404982
2024-09-24,117382.04456094366
2024-09-25,117414.80996068152
2024-09-26,119904.98034076016
2024-09-27,117840.76015727394
2024-09-30,118758.19134993445
2024-10-01,113728.70249017038
2024-10-02,114154.6526867628
2024-10-03,113892.52948885977
2024-10-04,117906.29095674967
2024-10-07,114023.59108781126
2024-10-08,118971.16644823067
2024-10-09,121838.13892529489
2024-10-10,121412.18872870249
2024-10-11,121723.46002621233
2024-10-14,124836.17300131061
2024-10-15,119855.83224115334
2024-10-16,119790.30144167758
2024-10-17,120150.72083879424
2024-10-18,122280.47182175623
2024-10-21,122952.1625163827
2024-10-22,123312.58191349935
2024-10-23,117611.4023591088
2024-10-24,120412.84403669725
2024-10-25,122444.29882044559
2024-10-28,122558.97771952818
2024-10-29,125950.19659239842
2024-10-30,123148.75491480996
2024-10-31,113777.8505897772
2024-11-01,116202.4901703801
2024-11-04,115121.23197903014
2024-11-05,119495.4128440367
2024-11-06,129193.97116644823
2024-11-07,135239.1874180865
2024-11-08,135566.84141546526
2024-11-11,135321.10091743118
2024-11-12,134583.879423329
2024-11-13,133994.1022280472
2024-11-14,131159.89515072084
2024-11-15,121674.3119266055
2024-11-18,124131.71690694627
2024-11-19,126621.88728702492
2024-11-20,126474.44298820446
2024-11-21,127719.52817824377
2024-11-22,128194.626474443
2024-11-25,128784.40366972478
2024-11-26,130783.09305373525
2024-11-27,127621.23197903016
2024-11-29,130881.3892529489
2024-12-02,135124.50851900392
2024-12-03,136320.44560943643
2024-12-04,141300.7863695937
2024-12-05,140137.6146788991
2024-12-06,143741.80865006553
2024-12-09,140383.35517693317
2024-12-10,138859.7640891219
2024-12-11,146281.127129751
2024-12-12,143381.3892529489
2024-12-13,146461.33682830932
2024-12-16,152834.20707732634
2024-12-17,150786.36959370904
2024-12-18,134485.58322411534
2024-12-19,132585.1900393185
2024-12-20,136025.55701179555
2024-12-23,139351.24508519005
2024-12-24,144888.5976408912
2024-12-26,144577.3263433814
2024-12-27,138695.9370904325
2024-12-30,133125.81913499345
2024-12-31,129636.30406290956
2025-01-02,128817.16906946264
2025-01-03,134993.44692005243
2025-01-06,139596.98558322413
2025-01-07,132077.3263433814
2025-01-08,132175.62254259503
2025-01-10,125868.28309305373
2025-01-13,124557.66710353867
2025-01-14,124115.33420707735
2025-01-15,132503.2765399738
2025-01-16,129800.13106159895
2025-01-17,136205.76671035387
2025-01-21,138466.57929226736
2025-01-22,143840.10484927916
2025-01-23,144724.77064220182
2025-01-24,142119.92136304063
