strategy,period,trade_id,entry_signal_date,entry_date,entry_price,entry_wr3,entry_cci4,entry_adx30,exit_signal_date,exit_date,exit_price,exit_reason,terminal_close,shares,return_fraction,pnl_dollars,equity_before,equity_after,holding_calendar_days,holding_trading_sessions
FROZEN_WR3_CCI4_BASELINE,OOS,1,2024-09-04,2024-09-05,30.57,-85.76642335766422,-90.6899301158483,17.889780700118827,2024-09-10,2024-09-11,30.59,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3271.1808963035655,0.0006542361792607476,65.42361792606243,100000.0,100065.42361792606,6,4
FROZEN_WR3_CCI4_BASELINE,OOS,2,2024-10-01,2024-10-02,34.505,-71.14093959731542,-130.55091819699467,13.360308253876756,2024-10-04,2024-10-07,35.525,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2900.0267676547182,0.029560933198087058,2958.027303007795,100065.42361792606,103023.45092093386,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,3,2024-10-16,2024-10-17,37.79,-71.84466019417465,-102.93855743544091,10.793186854761105,2024-10-18,2024-10-21,37.03,WR3_GT_MINUS30,False,2726.2093390032774,-0.020111140513363268,-2071.919097642487,103023.45092093386,100951.53182329137,4,2
FROZEN_WR3_CCI4_BASELINE,OOS,4,2024-10-23,2024-10-24,36.71,-73.36860670193995,-133.33333333333383,10.036773675062705,2024-10-25,2024-10-28,38.095,CLOSE_GT_PRIOR_HIGH,False,2749.9736263495333,0.03772813947153364,3808.713472494099,100951.53182329137,104760.24529578547,4,2
FROZEN_WR3_CCI4_BASELINE,OOS,5,2024-10-31,2024-11-01,35.04,-99.74953583132921,-133.33333333333334,9.342098438136254,2024-11-05,2024-11-06,38.33,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2989.733027847759,0.09389269406392686,9836.221661619129,104760.24529578547,114596.4669574046,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,6,2024-11-14,2024-11-15,38.635,-87.32025013688374,-133.33333333333331,10.216619373731978,2024-11-19,2024-11-20,38.575,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2966.130890576022,-0.0015529959880935529,-177.96785343454394,114596.4669574046,114418.49910397005,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,7,2024-12-10,2024-12-11,43.44,-81.43621485522434,-100.2431855188312,9.607608435945359,2024-12-11,2024-12-12,44.065,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2633.9433495389057,0.014387661141804786,1646.2145934618165,114418.49910397005,116064.71369743187,1,1
FROZEN_WR3_CCI4_BASELINE,OOS,8,2024-12-18,2024-12-19,42.135,-93.59959037378395,-120.4993233406233,11.566305370892191,2024-12-23,2024-12-24,42.975,WR3_GT_MINUS30,False,2754.59152005297,0.019935920256318962,2313.856876844511,116064.71369743187,118378.57057427638,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,9,2024-12-30,2024-12-31,40.9,-80.8895784846133,-111.34532140229632,9.996284911024032,2025-01-03,2025-01-06,42.485,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2894.3415788331636,0.03875305623471892,4587.531402450564,118378.57057427638,122966.10197672695,6,3
FROZEN_WR3_CCI4_BASELINE,OOS,10,2025-01-08,2025-01-10,39.4,-73.36504161712236,-93.43717265564536,9.918808606989504,2025-01-15,2025-01-16,41.005,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3120.967055246877,0.04073604060913705,5009.152123671258,122966.10197672695,127975.2541003982,6,4
FROZEN_WR3_CCI4_BASELINE,OOS,11,2025-01-27,2025-01-28,39.79,-83.17596566523609,-133.33333333333334,9.47378787391612,2025-01-28,2025-01-29,41.455,CLOSE_GT_PRIOR_HIGH,False,3216.266752963011,0.041844684594119164,5355.084143683416,127975.2541003982,133330.33824408162,1,1
FROZEN_WR3_CCI4_BASELINE,OOS,12,2025-02-21,2025-02-24,42.25,-96.8627450980393,-133.33333333333303,6.704154399511072,2025-03-14,2025-03-17,30.94,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3155.747650747494,-0.2676923076923077,-35691.50592995416,133330.33824408162,97638.83231412746,21,15
FROZEN_WR3_CCI4_BASELINE,OOS,13,2025-03-27,2025-03-28,30.77,-90.21369726517325,-105.07847691232361,18.316941103189233,2025-04-01,2025-04-02,28.095,CLOSE_GT_PRIOR_HIGH,False,3173.1827206411263,-0.08693532661683456,-8488.263777715023,97638.83231412746,89150.56853641244,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,14,2025-04-03,2025-04-04,22.995,-98.2867448151488,-131.47771117114794,20.400473700073185,2025-04-09,2025-04-10,24.34,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3876.9544916900386,0.05849097629919542,5214.503791323106,89150.56853641244,94365.07232773554,6,4
FROZEN_WR3_CCI4_BASELINE,OOS,15,2025-04-16,2025-04-17,23.045,-76.04588394062077,-103.23134870812127,24.553124180266327,2025-04-22,2025-04-23,24.62,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,4094.8176319260374,0.06834454328487727,6449.337770283499,94365.07232773554,100814.41009801904,6,3
FROZEN_WR3_CCI4_BASELINE,OOS,16,2025-05-06,2025-05-07,28.48,-74.65722269153288,-90.97945349629823,23.466862643074155,2025-05-08,2025-05-09,29.9,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3539.8318152394327,0.04985955056179758,5026.561177639989,100814.41009801904,105840.97127565903,2,2
FROZEN_WR3_CCI4_BASELINE,OOS,17,2025-05-21,2025-05-22,34.08,-84.19958419958435,-133.3333333333341,17.94929415095418,2025-05-27,2025-05-28,35.67,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3105.662302689526,0.046654929577464976,4938.003061276366,105840.97127565903,110778.9743369354,6,3
FROZEN_WR3_CCI4_BASELINE,OOS,18,2025-06-13,2025-06-16,37.11,-88.34547346514044,-133.33333333333394,12.225168410202429,2025-06-16,2025-06-17,37.34,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2985.1515585269576,0.006197790353004606,686.5848584612104,110778.9743369354,111465.5591953966,1,1
FROZEN_WR3_CCI4_BASELINE,OOS,19,2025-06-20,2025-06-23,36.365,-79.94542974079124,-92.01179926285734,11.026953151887646,2025-06-23,2025-06-24,38.455,WR3_GT_MINUS30,False,3065.1879333259067,0.05747284476832104,6406.242780651126,111465.5591953966,117871.80197604773,1,1
FROZEN_WR3_CCI4_BASELINE,OOS,20,2025-07-31,2025-08-01,42.625,-89.19449901768179,-83.23471400393855,13.821004021462713,2025-08-04,2025-08-05,44.025,CLOSE_GT_PRIOR_HIGH,False,2765.3208674732605,0.03284457478005853,3871.4492144625547,117871.80197604773,121743.25119051029,4,2
FROZEN_WR3_CCI4_BASELINE,OOS,21,2025-08-15,2025-08-18,46.4,-78.44946931241323,-75.55986349225762,15.805171832742866,2025-08-22,2025-08-25,44.81,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2623.7769653127216,-0.034267241379310254,-4171.80537484723,121743.25119051029,117571.44581566306,7,5
FROZEN_WR3_CCI4_BASELINE,OOS,22,2025-08-29,2025-09-02,42.555,-81.16883116883109,-78.89978842085011,14.026528895590651,2025-09-03,2025-09-04,44.7,CLOSE_GT_PRIOR_HIGH,False,2762.8115571769017,0.05040535777229471,5926.230790144458,117571.44581566306,123497.67660580752,2,2
FROZEN_WR3_CCI4_BASELINE,OOS,23,2025-09-24,2025-09-25,49.7,-72.07857325441924,-103.8992759937173,14.949215230420181,2025-09-26,2025-09-29,51.3925,CLOSE_GT_PRIOR_HIGH,False,2484.862708366348,0.03405432595573421,4205.630133910032,123497.67660580752,127703.30673971755,4,2
FROZEN_WR3_CCI4_BASELINE,OOS,24,2025-10-10,2025-10-13,51.03,-98.13091396592318,-133.33333333333312,15.431561649467747,2025-10-15,2025-10-16,52.34,WR3_GT_MINUS30,False,2502.5143394026563,0.025671173819322046,3278.29378461749,127703.30673971755,130981.60052433504,3,3
FROZEN_WR3_CCI4_BASELINE,OOS,25,2025-11-04,2025-11-05,55.34,-95.5321608708552,-133.33333333333283,12.144098682403971,2025-11-10,2025-11-11,55.635,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2366.852195958349,0.0053306830502348745,698.2213978077198,130981.60052433504,131679.82192214276,6,4
FROZEN_WR3_CCI4_BASELINE,OOS,26,2025-11-13,2025-11-14,49.99,-87.5739644970415,-133.33333333333357,10.736925456960838,2025-11-24,2025-11-25,50.64,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2634.123263095474,0.013002600520104046,1712.1801210120611,131679.82192214276,133392.00204315482,11,7
FROZEN_WR3_CCI4_BASELINE,OOS,27,2025-12-12,2025-12-15,54.06,-87.8600823045267,-133.33333333333388,10.39399893433153,2025-12-19,2025-12-22,54.81,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2467.4806149307215,0.013873473917868973,1850.6104611980263,133392.00204315482,135242.61250435284,7,5
FROZEN_WR3_CCI4_BASELINE,OOS,28,2025-12-30,2025-12-31,54.13,-90.13698630136986,-77.60089450632258,10.357052237656593,2026-01-06,2026-01-07,54.89,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2498.477969782982,0.01404027341585068,1898.8432570350415,135242.61250435284,137141.4557613879,7,4
FROZEN_WR3_CCI4_BASELINE,OOS,29,2026-01-20,2026-01-21,51.07,-95.23809523809531,-133.33333333333292,11.203488316661803,2026-01-21,2026-01-22,54.32,CLOSE_GT_PRIOR_HIGH,False,2685.3623607085938,0.06363814372429988,8727.427672302932,137141.4557613879,145868.88343369082,1,1
FROZEN_WR3_CCI4_BASELINE,OOS,30,2026-01-30,2026-02-02,53.16,-81.01010101010104,-105.15517145279442,11.024474198929333,2026-02-06,2026-02-09,50.06,CLOSE_GT_PRIOR_HIGH,False,2743.9594325374496,-0.05831452219714062,-8506.27424086607,145868.88343369082,137362.60919282475,7,5
FROZEN_WR3_CCI4_BASELINE,OOS,31,2026-02-12,2026-02-13,48.15,-94.01330376940142,-133.333333333333,13.589435365933717,2026-02-18,2026-02-19,48.67,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2852.806006081511,0.010799584631360437,1483.4591231624072,137362.60919282475,138846.06831598716,6,3
FROZEN_WR3_CCI4_BASELINE,OOS,32,2026-02-23,2026-02-24,48.45,-79.2107243987238,-86.747979523645,15.277377881764238,2026-02-24,2026-02-25,50.55,WR3_GT_MINUS30,False,2865.759923962583,0.04334365325077383,6018.095840321388,138846.06831598716,144864.16415630854,1,1
FROZEN_WR3_CCI4_BASELINE,OOS,33,2026-03-12,2026-03-13,47.35,-97.99498746867171,-98.54206251114509,16.73416255442415,2026-03-17,2026-03-18,47.72,WR3_GT_MINUS30,False,3059.4332451173927,0.007814149947201532,1131.9903006934328,144864.16415630854,145996.15445700198,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,34,2026-03-20,2026-03-23,45.11,-86.57487091222029,-108.82623917449787,19.22424588796818,2026-03-31,2026-04-01,42.63,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,3236.4476714032803,-0.0549767235646198,-8026.390225080133,145996.15445700198,137969.76423192184,9,7
FROZEN_WR3_CCI4_BASELINE,OOS,35,2026-05-18,2026-05-19,72.41,-70.71240105540903,-103.08234776887667,21.10817028331589,2026-05-20,2026-05-21,75.18,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,1905.3965506410973,0.0382543847534873,5277.9484452758625,137969.76423192184,143247.7126771977,2,2
FROZEN_WR3_CCI4_BASELINE,OOS,36,2026-06-05,2026-06-08,76.86,-97.59896171317332,-133.3333333333331,23.10421426048931,2026-06-11,2026-06-12,76.34,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,1863.7485386052265,-0.006765547749154277,-969.1492400747084,143247.7126771977,142278.563437123,4,4
FROZEN_WR3_CCI4_BASELINE,OOS,37,2026-06-23,2026-06-24,74.79,-95.26870775631927,-106.87752429635255,17.539336744512553,2026-06-29,2026-06-30,77.24,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,1902.3741601433746,0.03275839015911197,4660.816692351247,142278.563437123,146939.38012947424,6,4
FROZEN_WR3_CCI4_BASELINE,OOS,38,2026-07-02,2026-07-06,75.54,-83.40122199592673,-76.80672268907549,15.04395355732975,2026-07-09,2026-07-10,75.529,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,1945.1863930298416,-0.00014561821551506426,-21.397050323343137,146939.38012947424,146917.9830791509,4,4
FROZEN_WR3_CCI4_BASELINE,OOS,39,2026-07-16,2026-07-17,66.38,-84.51304591513151,-123.5782258978129,13.606921745763405,2026-07-21,2026-07-22,69.77,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2213.286879770276,0.05106959927689059,7503.042522421223,146917.9830791509,154421.02560157212,5,3
FROZEN_WR3_CCI4_BASELINE,OOS,40,2026-07-23,2026-07-24,65.78,-80.89523724234688,-109.0165436844395,14.232489947994099,2026-07-30,2026-07-31,65.74,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2347.5376345632735,-0.0006080875646093942,-93.90150538252783,154421.02560157212,154327.1240961896,7,5
FROZEN_WR3_CCI4_BASELINE,OOS,41,2026-08-18,2026-08-19,73.37,-91.17147707979633,-133.33333333333334,13.21311657898261,2026-08-25,2026-08-26,69.56,CLOSE_GT_PRIOR_HIGH,False,2103.409078590563,-0.05192858116396348,-8013.988589430053,154327.1240961896,146313.13550675954,7,5
FROZEN_WR3_CCI4_BASELINE,OOS,42,2026-09-01,2026-09-02,68.969,-84.82293423271493,-133.33333333333334,12.584073453303285,2026-09-03,2026-09-04,72.49,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,2121.433332464724,0.05105192187794527,7469.566763608309,146313.13550675954,153782.70227036785,2,2
