entry_signal_date,entry_date,entry_price,exit_signal_date,exit_date,exit_price,return,exit_reason
1994-11-21,1994-11-21,46.0,1994-11-25,1994-11-25,45.46875,-0.01154891304347827,close>prev_high+wr>-30
1994-12-30,1994-12-30,45.5625,1995-01-04,1995-01-04,46.0,0.009602194787379892,close>prev_high+wr>-30
1995-01-19,1995-01-19,46.71875,1995-01-23,1995-01-23,46.6875,-0.0006688963210702559,close>prev_high+wr>-30
1995-02-17,1995-02-17,48.45313,1995-02-22,1995-02-22,48.79688,0.007094484917692601,close>prev_high+wr>-30
1995-04-11,1995-04-11,50.625,1995-04-13,1995-04-13,51.07813,0.00895071604938269,close>prev_high+wr>-30
1995-05-18,1995-05-18,52.0625,1995-05-22,1995-05-22,52.67188,0.011704777911164532,close>prev_high+wr>-30
1995-06-08,1995-06-08,53.375,1995-06-12,1995-06-12,53.35938,-0.0002926463700233528,close>prev_high+wr>-30
1995-06-21,1995-06-21,54.40625,1995-06-22,1995-06-22,55.125,0.013210798391728895,close>prev_high+wr>-30
1995-06-26,1995-06-26,54.35938,1995-07-03,1995-07-03,54.60938,0.004599022284654364,wr>-30
1995-07-18,1995-07-18,55.875,1995-07-20,1995-07-20,55.46875,-0.007270693512304249,wr>-30
1995-08-21,1995-08-21,56.01563,1995-08-25,1995-08-25,56.29688,0.00502092005392063,close>prev_high+wr>-30
1995-10-16,1995-10-16,58.34375,1995-10-17,1995-10-17,58.73438,0.0066953186930904796,close>prev_high+wr>-30
1995-10-20,1995-10-20,58.82813,1995-10-24,1995-10-24,58.76563,-0.001062416908373609,wr>-30
1995-10-25,1995-10-25,58.28125,1995-10-27,1995-10-27,58.1875,-0.0016085790884718953,wr>-30
1995-10-31,1995-10-31,58.3125,1995-11-01,1995-11-01,58.78125,0.008038585209003246,wr>-30
1995-11-06,1995-11-06,59.03125,1995-11-08,1995-11-08,59.34375,0.0052938062466914015,close>prev_high+wr>-30
1995-11-14,1995-11-14,59.07813,1995-11-15,1995-11-15,59.67188,0.01005025040569163,close>prev_high+wr>-30
1995-11-20,1995-11-20,59.875,1995-11-21,1995-11-21,60.35938,0.008089853862212948,close>prev_high+wr>-30
1995-12-07,1995-12-07,61.95313,1995-12-08,1995-12-08,62.15625,0.0032786075538071557,wr>-30
1995-12-18,1995-12-18,60.625,1995-12-19,1995-12-19,61.26563,0.010567092783505094,wr>-30
1996-01-09,1996-01-09,60.76563,1996-01-16,1996-01-16,60.84375,0.0012855951629235918,close>prev_high+wr>-30
1996-02-14,1996-02-14,65.60938,1996-02-21,1996-02-21,65.09375,-0.007859089660655294,close>prev_high+wr>-30
1996-02-26,1996-02-26,65.0,1996-03-01,1996-03-01,64.89063,-0.001682615384615338,wr>-30
1996-03-27,1996-03-27,64.75,1996-04-01,1996-04-01,65.4375,0.010617760617760652,close>prev_high+wr>-30
1996-06-11,1996-06-11,67.34375,1996-06-21,1996-06-21,66.8125,-0.007888631090487208,wr>-30
1996-06-26,1996-06-26,66.40625,1996-06-27,1996-06-27,66.875,0.007058823529411784,wr>-30
1996-07-05,1996-07-05,65.57813,1996-07-10,1996-07-10,65.84375,0.00405043571690733,close>prev_high+wr>-30
1996-07-15,1996-07-15,62.65625,1996-07-17,1996-07-17,63.5625,0.014463840399002503,close>prev_high+wr>-30
1996-07-23,1996-07-23,62.6875,1996-07-25,1996-07-25,63.375,0.010967098703888345,close>prev_high+wr>-30
1996-07-29,1996-07-29,63.01563,1996-07-30,1996-07-30,63.625,0.009670140566713448,wr>-30
