date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,100000.0,0
2016-09-14,100000.0,0
2016-09-15,100000.0,0
2016-09-16,100000.0,0
2016-09-19,100000.0,0
2016-09-20,100000.0,0
2016-09-21,100000.0,0
2016-09-22,100110.25662969131,1
2016-09-23,99471.38478943503,1
2016-09-26,98639.15952255152,1
2016-09-27,99614.28982632332,1
2016-09-28,99782.41264460668,1
2016-09-29,99059.47298173432,1
2016-09-30,99799.22877451967,1
2016-10-03,99656.32373763138,1
2016-10-04,99505.01063578659,1
2016-10-05,99858.07240226628,1
2016-10-06,99807.63683947615,1
2016-10-07,99589.07204492827,1
2016-10-10,100219.54223370246,1
2016-10-11,98790.4726243963,1
2016-10-12,98706.41121525463,1
2016-10-13,98353.34944877493,1
2016-10-14,98471.03670426816,1
2016-10-17,98202.03634693015,1
2016-10-18,99076.2891116473,1
2016-10-19,99067.8810466908,1
2016-10-20,98950.19379119757,1
2016-10-21,99320.07168759026,1
2016-10-24,100513.76037243554,1
2016-10-25,100194.3244523074,1
2016-10-26,99513.41228726867,1
2016-10-27,99059.47298173432,1
2016-10-28,98437.4108579166,1
2016-10-31,98344.94138381844,1
2016-11-01,97605.19200450751,1
2016-11-02,96823.40871388852,1
2016-11-03,95873.50260498618,1
2016-11-04,95542.48355884477,0
2016-11-07,95542.48355884477,0
2016-11-08,95542.48355884477,0
2016-11-09,95542.48355884477,0
2016-11-10,95542.48355884477,0
2016-11-11,95542.48355884477,0
2016-11-14,95542.48355884477,0
2016-11-15,95542.48355884477,0
2016-11-16,95542.48355884477,0
2016-11-17,95542.48355884477,0
2016-11-18,95542.48355884477,0
2016-11-21,95542.48355884477,0
2016-11-22,95542.48355884477,0
2016-11-23,95542.48355884477,0
2016-11-25,95542.48355884477,0
2016-11-28,95542.48355884477,0
2016-11-29,95542.48355884477,0
2016-11-30,95542.48355884477,0
2016-12-01,95542.48355884477,0
2016-12-02,95542.48355884477,0
2016-12-05,95542.48355884477,0
2016-12-06,95542.48355884477,0
2016-12-07,95542.48355884477,0
2016-12-08,95542.48355884477,0
2016-12-09,95542.48355884477,0
2016-12-12,95542.48355884477,0
2016-12-13,95542.48355884477,0
2016-12-14,95130.48764531109,1
2016-12-15,95280.8497203667,1
2016-12-16,94647.75196634395,1
2016-12-19,95035.52117090738,1
2016-12-20,95399.55630395444,1
2016-12-21,95328.32993873474,1
2016-12-22,95059.26731775903,1
2016-12-23,95122.57226302719,1
2016-12-27,95613.22332427822,1
2016-12-28,94869.33436895162,1
2016-12-29,94734.80305846377,1
2016-12-30,93761.42235591327,1
2017-01-03,94600.27174797592,1
2017-01-04,95114.66291841096,1
2017-01-05,95652.79419803001,1
2017-01-06,96491.64359009267,1
2017-01-09,96808.19246710405,1
2017-01-10,97021.85948742784,1
2017-01-11,97283.0127637873,1
2017-01-12,97132.65068873166,1
2017-01-13,97410.45511355123,1
2017-01-17,97264.05072963756,1
2017-01-18,97362.97187634939,1
2017-01-19,97339.23176716537,1
2017-01-20,97446.06527732726,1
2017-01-23,97485.63313224523,1
2017-01-24,97814.05206384862,1
2017-01-25,98308.65779740777,1
2017-01-26,98360.09570691772,1
2017-01-27,98455.06218132144,1
2017-01-30,98067.2899579242,1
2017-01-31,97968.36881121236,1
2017-02-01,98308.65779740777,1
2017-02-02,98265.13225134785,1
2017-02-03,98407.5789441196,1
2017-02-06,98466.93223591344,1
2017-02-07,98648.94678360315,1
2017-02-08,98732.04018458104,1
2017-02-09,98914.05473227074,1
2017-02-10,99080.24153422649,1
2017-02-13,99365.13793860379,1
2017-02-14,99535.27941286768,1
2017-02-15,99835.99752531128,1
2017-02-16,99820.17279841113,1
2017-02-17,100041.75520101882,1
2017-02-21,100294.9930950944,1
2017-02-22,100314.77853197028,1
2017-02-23,100120.89091085475,1
2017-02-24,100219.81205756658,1
2017-02-27,100283.12304050238,1
2017-02-28,100124.85162083051,1
2017-03-01,100686.72300963358,1
2017-03-02,100425.56973327413,1
2017-03-03,100520.53620767783,1
2017-03-06,100405.78429639823,1
2017-03-07,100318.73320427841,1
2017-03-08,100409.745006374,1
2017-03-09,100449.30984245814,1
2017-03-10,100666.93757275768,1
2017-03-13,100753.98866487751,1
2017-03-14,100627.3666990059,1
2017-03-15,100947.87628599306,1
2017-03-16,100912.26008454937,1
2017-03-17,100785.64415634541,1
2017-03-20,100833.12437471344,1
2017-03-21,100041.75520101882,1
2017-03-22,100389.95956949811,1
2017-03-23,100259.38293131837,1
2017-03-24,100366.21946031408,1
2017-03-27,100449.30984245814,1
2017-03-28,100765.85871946951,1
2017-03-29,101007.22655895309,1
2017-03-30,101094.27765107292,1
2017-03-31,101058.66748729689,1
2017-04-03,101027.01199582897,1
2017-04-04,101110.10237797303,1
2017-04-05,100896.43535764926,1
2017-04-06,100924.13013914139,1
2017-04-07,100896.43535764926,1
2017-04-10,100916.22079452514,1
2017-04-11,100690.67768194171,1
2017-04-12,100480.96533392604,1
2017-04-13,100275.2076582185,1
2017-04-17,100702.54773653371,1
2017-04-18,100623.41202669777,1
2017-04-19,100706.50844650948,1
2017-04-20,101141.75786944095,1
2017-04-21,101129.88781484893,1
2017-04-24,101762.98556887169,1
2017-04-25,102146.800101127,1
2017-04-26,102071.61906359918,1
2017-04-27,102392.12261291868,1
2017-04-28,102487.08908732238,1
2017-05-01,102965.86405631376,1
2017-05-02,103056.8698207417,1
2017-05-03,102882.7736741697,1
2017-05-04,102902.55307337796,1
2017-05-05,103100.39536680162,1
2017-05-08,103219.10195038933,1
2017-05-09,103409.03489919676,1
2017-05-10,103440.684352997,1
2017-05-11,103397.1588069371,1
2017-05-12,103519.82610050059,1
2017-05-15,103693.9222470726,1
2017-05-16,103923.42003196414,1
2017-05-17,102518.7445787903,1
2017-05-18,102989.60416549777,1
2017-05-19,103219.10195038933,1
2017-05-22,103678.09752017245,1
2017-05-23,103733.49312082437,1
2017-05-24,103986.73101489994,1
2017-05-25,104457.59663927509,1
2017-05-26,104556.51778598691,1
2017-05-30,104603.99800435494,1
2017-05-31,104584.21256747903,1
2017-06-01,104801.84029777859,1
2017-06-02,105442.85343408523,1
2017-06-05,105430.97734182558,1
2017-06-06,105205.44026690979,1
2017-06-07,105427.02266951746,1
2017-06-08,105486.37898014515,1
2017-06-09,104065.86672473588,1
2017-06-12,103769.1032846004,1
2017-06-13,104216.22879979151,1
2017-06-14,103974.86096030794,1
2017-06-15,103729.53844851625,1
2017-06-16,103341.76320628518,1
2017-06-19,104255.7996735433,1
2017-06-20,103820.5442129442,1
2017-06-21,104366.59087484714,1
2017-06-22,104350.76011027937,1
2017-06-23,104564.4331682708,1
2017-06-26,104303.27989191133,1
2017-06-27,103294.28298791715,1
2017-06-28,104081.69748930365,1
2017-06-29,103120.1808036775,1
2017-06-30,103139.9662405534,1
2017-07-03,102566.22479715833,1
2017-07-05,102682.30784509916,0
2017-07-06,102682.30784509916,0
2017-07-07,102682.30784509916,0
2017-07-10,102682.30784509916,0
2017-07-11,102682.30784509916,0
2017-07-12,102682.30784509916,0
2017-07-13,102682.30784509916,0
2017-07-14,102682.30784509916,0
2017-07-17,102682.30784509916,0
2017-07-18,102682.30784509916,0
2017-07-19,102682.30784509916,0
2017-07-20,102451.80872518194,1
2017-07-21,102409.17254237627,1
2017-07-24,102878.19224000511,1
2017-07-25,102615.25104039809,1
2017-07-26,102949.24893022016,1
2017-07-27,102302.58208536208,1
2017-07-28,102217.29887636752,1
2017-07-31,101783.81294553781,1
2017-08-01,102018.32279435224,1
2017-08-02,102295.46882597232,1
2017-08-03,101897.51666194174,1
2017-08-04,102082.27706856074,1
2017-08-07,102728.95475680204,1
2017-08-08,102551.29676618958,1
2017-08-09,102416.27495838281,1
2017-08-10,100220.42479682488,1
2017-08-11,100980.80620147011,1
2017-08-14,102281.25315057603,1
2017-08-15,102352.3206841743,1
2017-08-16,102529.97867478675,1
2017-08-17,100433.61655423648,1
2017-08-18,100362.54902063821,1
2017-08-21,100234.64047222119,1
2017-08-22,101762.49485413497,1
2017-08-23,101400.07645690354,1
2017-08-24,101101.6123338806,1
2017-08-25,100888.42057646901,1
2017-08-28,101201.10037488825,1
2017-08-29,101599.05253891883,1
2017-08-30,102792.90903101054,1
2017-08-31,103894.39074148439,1
2017-09-01,103752.26651767106,1
2017-09-05,102821.34038180314,1
2017-09-06,103134.02018022236,1
2017-09-07,103375.63244504332,1
2017-09-08,102480.24007597454,1
2017-09-11,103659.88089266996,1
2017-09-12,103908.60641688068,1
2017-09-13,104050.73064069399,1
2017-09-14,103439.58671925183,1
2017-09-15,103794.90270047674,1
2017-09-18,103432.48430324529,1
2017-09-19,103610.14229385775,1
2017-09-20,103290.36007943198,1
2017-09-21,102657.89806658697,1
2017-09-22,102558.41002557933,1
2017-09-25,101478.24640650833,1
2017-09-26,101741.17676273214,1
2017-09-27,102657.89806658697,1
2017-09-28,102622.36429978785,1
2017-09-29,103361.41676964702,1
2017-10-02,103453.80239464813,1
2017-10-03,103674.09656806625,1
