date,equity,position
2024-09-04,100000.0,0
2024-09-05,100000.0,0
2024-09-06,100000.0,0
2024-09-09,100000.0,0
2024-09-10,100000.0,0
2024-09-11,100000.0,0
2024-09-12,100000.0,0
2024-09-13,100000.0,0
2024-09-16,100000.0,0
2024-09-17,100000.0,0
2024-09-18,100000.0,0
2024-09-19,100000.0,0
2024-09-20,100000.0,0
2024-09-23,100000.0,0
2024-09-24,100000.0,0
2024-09-25,100000.0,0
2024-09-26,100000.0,0
2024-09-27,99136.33766844777,1
2024-09-30,99405.18346571243,1
2024-10-01,98020.22422300877,1
2024-10-02,98158.72449813821,1
2024-10-03,98085.40009183287,1
2024-10-04,99252.431019382,1
2024-10-07,98189.27374430171,1
2024-10-08,99655.69349976604,1
2024-10-09,100439.82396736483,1
2024-10-10,100325.76930467914,1
2024-10-11,100482.59291199372,1
2024-10-14,101325.78939918391,1
2024-10-15,99971.3856181567,1
2024-10-16,99983.6053166221,1
2024-10-17,100052.85234643033,1
2024-10-18,100708.66976462949,1
2024-10-21,100902.15868285322,1
2024-10-22,101012.1359690418,1
2024-10-23,99464.24326979087,1
2024-10-24,100270.78066158485,1
2024-10-25,100881.79044690657,1
2024-10-28,100898.0813063561,1
2024-10-29,101882.77607734868,1
2024-10-30,101497.84003690627,1
2024-10-31,100221.84805953635,1
2024-11-01,100586.41586403213,1
2024-11-04,100441.81195518294,1
2024-11-05,101073.18686869483,1
2024-11-06,102434.71984307902,1
2024-11-07,103245.32528810066,1
2024-11-08,103306.4299959406,1
2024-11-11,103275.8807497771,1
2024-11-12,103181.16876340084,1
2024-11-13,103113.96042184116,1
2024-11-14,102751.42819783746,1
2024-11-15,101517.18892872863,1
2024-11-18,101868.51769063473,1
2024-11-19,102218.83021617304,1
2024-11-20,102189.30031413381,1
2024-11-21,102373.62135075202,1
2024-11-22,102456.10742314992,1
2024-11-25,102537.57415142357,1
2024-11-26,102814.56537841301,1
2024-11-27,102406.20617740758,1
2024-11-29,102858.35366716617,1
2024-12-02,103423.53647548617,1
2024-12-03,103584.43745929784,1
2024-12-04,104235.16437238856,1
2024-12-05,104087.50243116656,1
2024-12-06,104563.06997373168,1
2024-12-09,104145.54910663368,1
2024-12-10,103964.27988687536,1
2024-12-11,104913.38249926997,1
2024-12-12,104565.10866198022,1
2024-12-13,104975.5065512342,1
2024-12-16,105753.52095408732,1
2024-12-17,105512.17258612628,1
2024-12-18,103543.70098740455,1
2024-12-19,103309.48181280048,1
2024-12-20,103766.71980766748,1
2024-12-23,104195.44724461954,1
2024-12-24,104917.45987576708,1
2024-12-26,104880.79456485793,1
2024-12-27,104163.87865433178,1
2024-12-30,103456.12440989821,1
2024-12-31,103010.0898771288,1
2025-01-02,102908.25491290851,1
2025-01-03,103758.57748569919,1
2025-01-06,104365.5098945238,1
2025-01-07,103412.33612114504,1
2025-01-08,103421.50400275056,1
2025-01-10,102598.67575150703,1
2025-01-13,102432.68426258693,1
2025-01-14,102383.80236096887,1
2025-01-15,103567.12725572402,1
2025-01-16,103198.48518248762,1
2025-01-17,104080.3732378096,1
2025-01-21,104391.98797970315,1
2025-01-22,105075.30282720593,1
2025-01-23,105190.37683401589,1
2025-01-24,104883.85259723075,1
2025-01-27,103313.55918929758,1
2025-01-28,104087.50243116656,1
2025-01-29,103987.70615519484,1
2025-01-30,104213.77679231766,1
2025-01-31,104136.38122502816,1
2025-02-03,103710.71182044892,1
2025-02-04,104358.38070116684,1
2025-02-05,104600.74841325215,1
2025-02-06,104880.79456485793,1
2025-02-07,104200.53774972798,1
2025-02-10,104845.154813586,1
2025-02-11,104716.84176418638,1
2025-02-12,104748.41035447415,1
2025-02-13,105522.35981185609,1
2025-02-14,105751.48848135173,1
2025-02-18,105875.72415425426,1
2025-02-19,105891.00188509248,1
2025-02-20,105657.79583909974,1
2025-02-21,104522.33971735134,1
2025-02-24,103889.9423519587,1
2025-02-25,103222.92457941841,1
2025-02-26,103349.1989405695,1
2025-02-27,101893.9764316898,1
2025-02-28,101828.7904315796,0
2025-03-03,101828.7904315796,0
2025-03-04,101828.7904315796,0
2025-03-05,101828.7904315796,0
2025-03-06,101828.7904315796,0
2025-03-07,101828.7904315796,0
2025-03-10,101828.7904315796,0
2025-03-11,101828.7904315796,0
2025-03-12,101828.7904315796,0
2025-03-13,101828.7904315796,0
2025-03-14,101828.7904315796,0
2025-03-17,101828.7904315796,0
2025-03-18,101828.7904315796,0
2025-03-19,101828.7904315796,0
2025-03-20,101828.7904315796,0
2025-03-21,101828.7904315796,0
2025-03-24,101828.7904315796,0
2025-03-25,101828.7904315796,0
2025-03-26,101828.7904315796,0
2025-03-27,101828.7904315796,0
2025-03-28,101828.7904315796,0
2025-03-31,101828.7904315796,0
2025-04-01,101828.7904315796,0
2025-04-02,101828.7904315796,0
2025-04-03,101828.7904315796,0
2025-04-04,101828.7904315796,0
2025-04-07,101828.7904315796,0
2025-04-08,101828.7904315796,0
2025-04-09,101828.7904315796,0
2025-04-10,101828.7904315796,0
2025-04-11,101828.7904315796,0
2025-04-14,101828.7904315796,0
2025-04-15,101828.7904315796,0
2025-04-16,101828.7904315796,0
2025-04-17,101828.7904315796,0
2025-04-21,101828.7904315796,0
2025-04-22,101828.7904315796,0
2025-04-23,101828.7904315796,0
2025-04-24,101828.7904315796,0
2025-04-25,101828.7904315796,0
2025-04-28,101828.7904315796,0
2025-04-29,101828.7904315796,0
2025-04-30,101828.7904315796,0
2025-05-01,101828.7904315796,0
2025-05-02,101828.7904315796,0
2025-05-05,101828.7904315796,0
2025-05-06,101828.7904315796,0
2025-05-07,101828.7904315796,0
2025-05-08,101828.7904315796,0
2025-05-09,101828.7904315796,0
2025-05-12,101828.7904315796,0
2025-05-13,101828.7904315796,0
2025-05-14,102103.04485274402,1
2025-05-15,102215.2517707145,1
2025-05-16,102660.13856358427,1
2025-05-19,102758.56441988732,1
2025-05-20,102416.04436233273,1
2025-05-21,100992.79831007564,1
2025-05-22,101181.78027953251,1
2025-05-23,100244.76420514748,1
2025-05-27,102603.04387740849,1
2025-05-28,102148.31690188342,1
2025-05-29,102349.10949350164,1
2025-05-30,102187.68964737964,1
2025-06-02,102994.78887798965,1
2025-06-03,103780.70326409477,1
2025-06-04,103925.39239672775,1
2025-06-05,103533.65340358412,1
2025-06-06,104038.57852701374,1
2025-06-09,104115.35357850013,1
2025-06-10,104460.82929531383,1
2025-06-11,104283.65794801834,1
2025-06-12,104406.69026839716,1
2025-06-13,103747.24183711674,1
2025-06-16,104468.69903846306,1
2025-06-17,103955.9041718842,1
2025-06-18,103947.04320154442,1
2025-06-20,103734.44599520235,1
2025-06-23,104208.85934347555,1
2025-06-24,105009.0620358143,1
2025-06-25,105144.88419067,1
2025-06-26,105642.91878326592,1
2025-06-27,105826.98066139512,1
2025-06-30,106176.39124978345,1
2025-07-01,105718.70861499927,1
2025-07-02,106093.71088721638,1
2025-07-03,106627.17734629639,1
2025-07-07,106214.77877552665,1
2025-07-08,106245.29055068309,1
2025-07-09,106630.13300555549,1
2025-07-10,106551.39352200055,1
2025-07-11,106428.36120162174,1
2025-07-14,106626.19813398088,1
2025-07-15,106676.39027444791,1
2025-07-16,106732.49373343316,1
2025-07-17,107176.39530654991,1
2025-07-18,107123.24750682377,1
2025-07-21,107409.66410539311,1
2025-07-22,107122.26228707073,1
2025-07-23,107374.23223890903,1
2025-07-24,107492.34446796018,1
2025-07-25,107626.20219074732,1
2025-07-28,107800.41787878372,1
2025-07-29,107713.80264464204,1
2025-07-30,107788.60725662236,1
2025-07-31,107492.34446796018,1
2025-08-01,106396.86420671227,1
2025-08-04,107402.7735745594,1
2025-08-05,107025.80687027375,1
2025-08-06,107719.70795572273,1
2025-08-07,107908.68391774208,1
2025-08-08,108431.32497441376,1
2025-08-11,108263.99981721106,1
2025-08-12,108972.6671840805,1
2025-08-13,109001.2145271684,1
2025-08-14,108956.92169034452,1
2025-08-15,108705.93695825926,1
2025-08-18,108683.29492625204,1
2025-08-19,107912.6247967542,1
2025-08-20,107579.94492185491,1
2025-08-21,107322.06965893591,1
2025-08-22,108177.38458306939,1
2025-08-25,108014.98552463186,1
2025-08-26,108240.37857288834,1
2025-08-27,108326.99380703003,1
2025-08-28,108680.34527443047,1
2025-08-29,108022.86127521862,1
2025-09-02,107552.38279852003,1
2025-09-03,107990.3790605561,1
2025-09-04,108498.25383580732,1
2025-09-05,108579.94897862135,1
2025-09-08,108856.52539453542,1
2025-09-09,109017.94524065743,1
2025-09-10,109036.6463936525,1
2025-09-11,109369.3262685518,1
2025-09-12,109623.26065245864,1
2025-09-15,110117.36037347995,1
2025-09-16,110068.14744532842,1
2025-09-17,109952.00565578333,1
2025-09-18,110475.63193220805,1
2025-09-19,110872.28500924181,1
2025-09-22,111152.80230416801,1
2025-09-23,110759.09887895582,1
2025-09-24,110552.4009762569,1
2025-09-25,110299.4518121031,1
2025-09-26,110539.6051343425,1
2025-09-29,110811.26145892893,1
2025-09-30,110972.68130505094,1
2025-10-01,111256.1482517987,1
2025-10-02,111500.24245305026,1
2025-10-03,111249.25772096499,1
2025-10-06,111695.1297335878,1
2025-10-07,111380.16579193054,1
2025-10-08,112062.25625521816,1
2025-10-09,111989.42208274391,1
2025-10-10,109902.79272763181,1
2025-10-13,111134.10115117293,1
2025-10-14,110739.41250620771,1
2025-10-15,111154.76673623656,1
2025-10-16,110935.27899906077,1
2025-10-17,111323.07711319227,1
2025-10-20,112072.09643787346,1
2025-10-21,112056.35094413749,1
2025-10-22,111476.62120872753,1
2025-10-23,111977.61146058256,1
2025-10-24,112619.34395862091,1
2025-10-27,113701.0491656389,1
2025-10-28,114176.44172622761,1
2025-10-29,114456.9590211538,1
2025-10-30,113500.25657402068,1
2025-10-31,113797.50458243588,1
2025-11-03,114093.76737109806,1
2025-11-04,112830.96195264746,1
2025-11-05,113227.62103711875,1
2025-11-06,112084.89227978786,1
2025-11-07,111894.93109801548,1
2025-11-10,113222.69493835358,1
2025-11-11,113059.31066016303,1
2025-11-12,113011.08295176455,1
2025-11-13,111763.04381473441,1
2025-11-14,111808.3158638738,1
2025-11-17,111296.50020961044,1
2025-11-18,110573.07256875806,1
2025-11-19,110923.4683768994,1
2025-11-20,109525.82001590863,1
2025-11-21,109645.16312084784,0
2025-11-24,109645.16312084784,0
2025-11-25,109645.16312084784,0
2025-11-26,109645.16312084784,0
2025-11-28,109645.16312084784,0
2025-12-01,109645.16312084784,0
2025-12-02,109645.16312084784,0
2025-12-03,109645.16312084784,0
2025-12-04,109645.16312084784,0
2025-12-05,109645.16312084784,0
2025-12-08,109645.16312084784,0
2025-12-09,109645.16312084784,0
2025-12-10,109645.16312084784,0
2025-12-11,109645.16312084784,0
2025-12-12,109645.16312084784,0
2025-12-15,109645.16312084784,0
2025-12-16,109645.16312084784,0
2025-12-17,109645.16312084784,0
2025-12-18,109645.16312084784,0
2025-12-19,109645.16312084784,0
2025-12-22,109645.16312084784,0
2025-12-23,109645.16312084784,0
2025-12-24,109645.16312084784,0
2025-12-26,109645.16312084784,0
2025-12-29,109645.16312084784,0
2025-12-30,109645.16312084784,0
2025-12-31,109645.16312084784,0
2026-01-02,109645.16312084784,0
2026-01-05,109645.16312084784,0
2026-01-06,109645.16312084784,0
2026-01-07,109645.16312084784,0
2026-01-08,109645.16312084784,0
2026-01-09,109645.16312084784,0
2026-01-12,109645.16312084784,0
2026-01-13,109645.16312084784,0
2026-01-14,109645.16312084784,0
2026-01-15,109645.16312084784,0
2026-01-16,109645.16312084784,0
2026-01-20,109645.16312084784,0
2026-01-21,109645.16312084784,0
2026-01-22,109645.16312084784,0
2026-01-23,109645.16312084784,0
2026-01-26,109645.16312084784,0
2026-01-27,109645.16312084784,0
2026-01-28,109149.50497904792,1
2026-01-29,108496.21821503967,1
2026-01-30,107193.08497644795,1
2026-02-02,107929.11753961755,1
2026-02-03,106270.89803688151,1
2026-02-04,104414.44632209226,1
2026-02-05,103356.04873978454,0
2026-02-06,103356.04873978454,0
2026-02-09,103356.04873978454,0
2026-02-10,103356.04873978454,0
2026-02-11,103356.04873978454,0
2026-02-12,103356.04873978454,0
2026-02-13,103356.04873978454,0
2026-02-17,103356.04873978454,0
2026-02-18,103356.04873978454,0
2026-02-19,103356.04873978454,0
2026-02-20,103356.04873978454,0
2026-02-23,103356.04873978454,0
2026-02-24,103356.04873978454,0
2026-02-25,103356.04873978454,0
2026-02-26,103356.04873978454,0
2026-02-27,103356.04873978454,0
2026-03-02,103356.04873978454,0
2026-03-03,103356.04873978454,0
2026-03-04,103356.04873978454,0
2026-03-05,103356.04873978454,0
2026-03-06,103356.04873978454,0
2026-03-09,103356.04873978454,0
2026-03-10,103356.04873978454,0
2026-03-11,103356.04873978454,0
2026-03-12,103356.04873978454,0
2026-03-13,103356.04873978454,0
2026-03-16,103356.04873978454,0
2026-03-17,103356.04873978454,0
2026-03-18,103356.04873978454,0
2026-03-19,103356.04873978454,0
2026-03-20,103356.04873978454,0
2026-03-23,103356.04873978454,0
2026-03-24,103356.04873978454,0
2026-03-25,103356.04873978454,0
2026-03-26,103356.04873978454,0
2026-03-27,103356.04873978454,0
2026-03-30,103356.04873978454,0
2026-03-31,103356.04873978454,0
2026-04-01,103356.04873978454,0
2026-04-02,103356.04873978454,0
2026-04-06,103356.04873978454,0
2026-04-07,103356.04873978454,0
2026-04-08,103356.04873978454,0
2026-04-09,103356.04873978454,0
2026-04-10,103356.04873978454,0
2026-04-13,103356.04873978454,0
2026-04-14,103356.04873978454,0
2026-04-15,103356.04873978454,0
2026-04-16,103456.31782975438,1
2026-04-17,104809.95576475291,1
2026-04-20,104477.20048831672,1
2026-04-21,104079.83837574275,1
2026-04-22,105569.44672490202,1
2026-04-23,105271.42021090983,1
2026-04-24,106277.76559190691,1
2026-04-27,106306.0316989124,1
2026-04-28,105766.5158145007,1
2026-04-29,106091.1964688101,1
2026-04-30,106589.52093533934,1
2026-05-01,107107.23336818401,1
2026-05-04,107004.65904754042,1
2026-05-05,107709.74412204517,1
2026-05-06,108853.39258612983,1
2026-05-07,108786.35547605524,1
2026-05-08,110102.03085610968,1
2026-05-11,110268.40849432777,1
2026-05-12,109779.77554617535,1
2026-05-13,110383.09967772328,1
2026-05-14,110793.3871011742,1
2026-05-15,109916.2701811379,1
2026-05-18,109669.93505152999,1
2026-05-19,109318.60518646517,1
2026-05-20,110257.10500926261,1
2026-05-21,110366.94550390798,1
2026-05-22,110611.66373726582,1
2026-05-26,111640.62594751667,1
2026-05-27,111573.58883744208,1
2026-05-28,112070.29640772128,1
2026-05-29,112289.17387844871,1
2026-06-01,112646.96639895203,1
2026-06-02,112923.18453181547,1
2026-06-03,112765.69489341094,1
2026-06-04,112474.93455342049,1
2026-06-05,109603.70638958042,1
2026-06-08,110492.94017236865,1
2026-06-09,109827.42961949628,1
2026-06-10,108685.39805166167,1
2026-06-11,110577.74342294686,1
2026-06-12,110918.57825107158,1
2026-06-15,112748.7322714706,1
2026-06-16,111606.700703636,1
2026-06-17,111013.07302002666,1
2026-06-18,112475.74300154552,1
2026-06-22,112260.0993233182,1
