date,equity,position
2016-09-06,100000.0,0
2016-09-07,99866.22320047044,1
2016-09-08,99281.86790049152,1
2016-09-09,96783.5146087064,1
2016-09-12,96145.2588369372,0
2016-09-13,96145.2588369372,0
2016-09-14,96145.2588369372,0
2016-09-15,96145.2588369372,0
2016-09-16,96145.2588369372,0
2016-09-19,96145.2588369372,0
2016-09-20,96145.2588369372,0
2016-09-21,96145.2588369372,0
2016-09-22,96145.2588369372,0
2016-09-23,96145.2588369372,0
2016-09-26,96145.2588369372,0
2016-09-27,96145.2588369372,0
2016-09-28,96145.2588369372,0
2016-09-29,96145.2588369372,0
2016-09-30,96145.2588369372,0
2016-10-03,96145.2588369372,0
2016-10-04,96145.2588369372,0
2016-10-05,96145.2588369372,0
2016-10-06,96145.2588369372,0
2016-10-07,96145.2588369372,0
2016-10-10,96145.2588369372,0
2016-10-11,96145.2588369372,0
2016-10-12,96145.2588369372,0
2016-10-13,96145.2588369372,0
2016-10-14,96145.2588369372,0
2016-10-17,95868.66499982968,1
2016-10-18,96722.14470904614,1
2016-10-19,96713.93642750132,1
2016-10-20,96518.8466312074,0
2016-10-21,96708.90723305501,1
2016-10-24,97871.21336439738,1
2016-10-25,97560.17554251835,1
2016-10-26,96897.16483095019,1
2016-10-27,96455.15977152529,1
2016-10-28,95849.45191002965,1
2016-10-31,95759.41349543227,1
2016-11-01,95039.11242351479,1
2016-11-02,94277.88252864883,1
2016-11-03,93352.94983171215,1
2016-11-04,93025.53798270907,1
2016-11-07,95235.557034972,1
2016-11-08,95857.63892359166,1
2016-11-09,96299.64398301656,1
2016-11-10,94744.44238389819,1
2016-11-11,94785.37120684667,1
2016-11-14,93827.69045566191,1
2016-11-15,95129.15083811217,1
2016-11-16,95693.93612152094,1
2016-11-17,96389.68239761396,1
2016-11-18,96029.52873922442,1
2016-11-21,97028.13206849605,1
2016-11-22,97322.80210811266,1
2016-11-23,96929.90664033666,1
2016-11-25,97240.9507070773,1
2016-11-28,97019.94505493404,1
2016-11-29,97355.54391749913,1
2016-11-30,96176.86375903271,1
2016-12-01,94515.25596305451,1
2016-12-02,94703.51356094971,1
2016-12-05,95440.18865999121,1
2016-12-06,95669.37508083487,1
2016-12-07,95377.4575389083,0
2016-12-08,95377.4575389083,0
2016-12-09,95377.4575389083,0
2016-12-12,95274.16472818675,1
2016-12-13,95466.92401133291,0
2016-12-14,95055.25392379457,1
2016-12-15,95086.59397523249,0
2016-12-16,94407.47751852119,1
2016-12-19,94794.26232536176,1
2016-12-20,95157.37331241736,1
2016-12-21,95101.64087080423,0
2016-12-22,95101.64087080423,0
2016-12-23,95228.46330609338,1
2016-12-27,95339.01558250138,0
2016-12-28,94299.82598614659,1
2016-12-29,94166.10227813199,1
2016-12-30,93198.56485964636,1
2017-01-03,94032.3785701174,1
2017-01-04,94543.68180823424,1
2017-01-05,95078.58264171565,1
2017-01-06,95912.3963521867,1
2017-01-09,96227.04496036806,1
2017-01-10,96439.42932007225,1
2017-01-11,96699.0148719286,1
2017-01-12,96549.55543272226,1
2017-01-13,96879.93977209537,1
2017-01-17,96588.88875927858,1
2017-01-18,96785.54338921404,1
2017-01-19,96738.3481984849,1
2017-01-20,96950.73255818909,1
2017-01-23,97029.39320987866,1
2017-01-24,97682.28802160597,1
2017-01-25,98665.56117128335,1
2017-01-26,98767.8194183375,1
2017-01-27,98956.61218410014,1
2017-01-30,98185.72339412695,1
2017-01-31,97989.06876419147,1
2017-02-01,98665.56117128335,1
2017-02-02,98579.0326539979,1
2017-02-03,98862.21580121882,1
2017-02-06,98980.20977946471,1
2017-02-07,99342.05357837523,1
2017-02-08,99109.12154049026,0
2017-02-09,99109.12154049026,0
2017-02-10,99109.12154049026,0
2017-02-13,99265.83870706215,1
2017-02-14,99599.04387150866,1
2017-02-15,100187.97040187016,1
2017-02-16,100156.97924729194,1
2017-02-17,100590.9263564185,1
2017-02-21,100683.86893541613,0
2017-02-22,100714.48318024083,1
2017-02-23,100767.96369085797,0
2017-02-24,100767.96369085797,0
2017-02-27,100767.96369085797,0
2017-02-28,100767.96369085797,0
2017-03-01,100767.96369085797,0
2017-03-02,100767.96369085797,0
2017-03-03,100767.96369085797,0
2017-03-06,100767.96369085797,0
2017-03-07,100767.96369085797,0
2017-03-08,100767.96369085797,0
2017-03-09,100767.96369085797,0
2017-03-10,100767.96369085797,0
2017-03-13,100767.96369085797,0
2017-03-14,100767.96369085797,0
2017-03-15,100767.96369085797,0
2017-03-16,100767.96369085797,0
2017-03-17,100767.96369085797,0
2017-03-20,100767.96369085797,0
2017-03-21,100767.96369085797,0
2017-03-22,100767.96369085797,0
2017-03-23,100767.96369085797,0
2017-03-24,100767.96369085797,0
