date,equity,position
2024-09-04,100000.0,0
2024-09-05,100350.66080371755,1
2024-09-06,97662.5399238634,1
2024-09-09,98515.1059057629,0
2024-09-10,98938.7164708755,1
2024-09-11,101087.21157129476,1
2024-09-12,102079.49059280567,1
2024-09-13,102536.80013395671,1
2024-09-16,102083.80247380777,1
2024-09-17,102137.73060994397,1
2024-09-18,101695.52252683692,1
2024-09-19,104266.81237131712,1
2024-09-20,104068.36051682959,1
2024-09-23,104197.78936016135,1
2024-09-24,104700.39669241996,1
2024-09-25,104797.4699706749,1
2024-09-26,105584.81944165847,1
2024-09-27,104998.08105717567,1
2024-09-30,105282.82319590067,1
2024-10-01,103815.97394318144,1
2024-10-02,103962.66347657047,1
2024-10-03,103885.00353736164,1
2024-10-04,105121.03878749207,1
2024-10-07,103995.0190416473,1
2024-10-08,105548.14541255511,1
2024-10-09,106378.64002565744,1
2024-10-10,106257.8415273543,1
2024-10-11,106423.937816765,1
2024-10-14,107316.99091103215,1
2024-10-15,105882.5038064142,1
2024-10-16,105895.44603244493,1
2024-10-17,105968.78750762723,1
2024-10-18,106663.38216438242,1
2024-10-21,106868.31171490974,1
2024-10-22,106984.79174918633,1
2024-10-23,105345.37509404105,1
2024-10-24,106199.60151021602,1
2024-10-25,106846.73914385038,1
2024-10-28,106863.99325088321,1
2024-10-29,107890.78706948421,1
2024-10-30,107616.96608929345,0
2024-10-31,107616.96608929345,0
2024-11-01,107616.96608929345,0
2024-11-04,107616.96608929345,0
2024-11-05,107616.96608929345,0
2024-11-06,107616.96608929345,0
2024-11-07,108596.38996791514,1
2024-11-08,108723.27748142408,1
2024-11-11,108659.8401781084,1
2024-11-12,108463.16517751342,1
2024-11-13,108323.60311021892,1
2024-11-14,107570.78366149182,1
2024-11-15,106248.49768570563,0
2024-11-18,106248.49768570563,0
2024-11-19,106248.49768570563,0
2024-11-20,106248.49768570563,0
2024-11-21,106248.49768570563,0
2024-11-22,106248.49768570563,0
2024-11-25,106248.49768570563,0
2024-11-26,106248.49768570563,0
2024-11-27,106248.49768570563,0
2024-11-29,106248.49768570563,0
2024-12-02,106248.49768570563,0
2024-12-03,106248.49768570563,0
2024-12-04,106248.49768570563,0
2024-12-05,106248.49768570563,0
2024-12-06,106248.49768570563,0
2024-12-09,106248.49768570563,0
2024-12-10,106248.49768570563,0
2024-12-11,106248.49768570563,0
2024-12-12,106248.49768570563,0
2024-12-13,106248.49768570563,0
2024-12-16,106248.49768570563,0
2024-12-17,106031.53524410534,1
2024-12-18,102206.24327877053,1
2024-12-19,101751.08978439344,1
2024-12-20,102639.63134584972,1
2024-12-23,103472.7689034128,1
2024-12-24,104875.84178421654,1
2024-12-26,104804.59080994882,1
2024-12-27,103990.06440787012,0
2024-12-30,103990.06440787012,0
2024-12-31,103990.06440787012,0
2025-01-02,103990.06440787012,0
2025-01-03,103990.06440787012,0
2025-01-06,103990.06440787012,0
2025-01-07,103990.06440787012,0
2025-01-08,103990.06440787012,0
2025-01-10,103990.06440787012,0
2025-01-13,103990.06440787012,0
2025-01-14,103990.06440787012,0
2025-01-15,103990.06440787012,0
2025-01-16,103990.06440787012,0
2025-01-17,103990.06440787012,0
2025-01-21,103949.56356207753,1
2025-01-22,105278.64868359764,1
2025-01-23,104684.60866215498,0
2025-01-24,103914.89821437995,1
2025-01-27,100889.45415002617,1
2025-01-28,100986.52132567862,0
2025-01-29,100986.52132567862,0
2025-01-30,100986.52132567862,0
2025-01-31,100986.52132567862,0
2025-02-03,100986.52132567862,0
2025-02-04,100986.52132567862,0
2025-02-05,100986.52132567862,0
2025-02-06,100986.52132567862,0
2025-02-07,100986.52132567862,0
2025-02-10,100986.52132567862,0
2025-02-11,100986.52132567862,0
2025-02-12,100986.52132567862,0
2025-02-13,100986.52132567862,0
2025-02-14,100986.52132567862,0
2025-02-18,100986.52132567862,0
2025-02-19,100986.52132567862,0
2025-02-20,100986.52132567862,0
2025-02-21,100986.52132567862,0
2025-02-24,100986.52132567862,0
2025-02-25,100986.52132567862,0
2025-02-26,100986.52132567862,0
2025-02-27,100986.52132567862,0
2025-02-28,100986.52132567862,0
2025-03-03,100986.52132567862,0
2025-03-04,100986.52132567862,0
2025-03-05,100986.52132567862,0
2025-03-06,100986.52132567862,0
2025-03-07,100986.52132567862,0
2025-03-10,100986.52132567862,0
2025-03-11,100986.52132567862,0
2025-03-12,100986.52132567862,0
2025-03-13,100986.52132567862,0
2025-03-14,100986.52132567862,0
2025-03-17,100986.52132567862,0
2025-03-18,100986.52132567862,0
2025-03-19,100986.52132567862,0
2025-03-20,100986.52132567862,0
2025-03-21,100986.52132567862,0
2025-03-24,100986.52132567862,0
2025-03-25,100986.52132567862,0
2025-03-26,100986.52132567862,0
2025-03-27,100986.52132567862,0
2025-03-28,100986.52132567862,0
2025-03-31,100986.52132567862,0
2025-04-01,100986.52132567862,0
2025-04-02,100986.52132567862,0
2025-04-03,100986.52132567862,0
2025-04-04,100986.52132567862,0
2025-04-07,100986.52132567862,0
2025-04-08,100986.52132567862,0
2025-04-09,100986.52132567862,0
2025-04-10,100986.52132567862,0
2025-04-11,100986.52132567862,0
2025-04-14,100986.52132567862,0
2025-04-15,100986.52132567862,0
2025-04-16,100986.52132567862,0
2025-04-17,100986.52132567862,0
2025-04-21,100986.52132567862,0
2025-04-22,100986.52132567862,0
2025-04-23,100986.52132567862,0
2025-04-24,100986.52132567862,0
2025-04-25,100986.52132567862,0
2025-04-28,100986.52132567862,0
