date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,99503.08949411483,1
2016-09-14,99977.7728430452,1
2016-09-15,101531.29754879975,1
2016-09-16,101229.22512953772,1
2016-09-19,101386.65338251619,0
2016-09-20,101386.65338251619,0
2016-09-21,101386.65338251619,0
2016-09-22,101386.65338251619,0
2016-09-23,101386.65338251619,0
2016-09-26,101386.65338251619,0
2016-09-27,101386.65338251619,0
2016-09-28,101328.04652008943,1
2016-09-29,100593.90849065877,1
2016-09-30,101345.12313258005,1
2016-10-03,101200.00449050685,1
2016-10-04,101397.28130081765,0
2016-10-05,101397.28130081765,0
2016-10-06,101397.28130081765,0
2016-10-07,101397.28130081765,0
2016-10-10,101397.28130081765,0
2016-10-11,101397.28130081765,0
2016-10-12,101397.28130081765,0
2016-10-13,101397.28130081765,0
2016-10-14,101397.28130081765,0
2016-10-17,101397.28130081765,0
2016-10-18,101397.28130081765,0
2016-10-19,101364.79625661384,1
2016-10-20,101244.38039075465,1
2016-10-21,101622.83400469639,1
2016-10-24,102844.19867965234,1
2016-10-25,102801.50220596936,0
2016-10-26,102801.50220596936,0
2016-10-27,102801.50220596936,0
2016-10-28,102801.50220596936,0
2016-10-31,102801.50220596936,0
2016-11-01,102801.50220596936,0
2016-11-02,102801.50220596936,0
2016-11-03,102801.50220596936,0
2016-11-04,102801.50220596936,0
2016-11-07,102801.50220596936,0
2016-11-08,102801.50220596936,0
2016-11-09,102801.50220596936,0
2016-11-10,102801.50220596936,0
2016-11-11,102801.50220596936,0
2016-11-14,102801.50220596936,0
2016-11-15,102801.50220596936,0
2016-11-16,102801.50220596936,0
2016-11-17,102801.50220596936,0
2016-11-18,102801.50220596936,0
2016-11-21,102801.50220596936,0
2016-11-22,102801.50220596936,0
2016-11-23,102801.50220596936,0
2016-11-25,102801.50220596936,0
2016-11-28,102801.50220596936,0
2016-11-29,102801.50220596936,0
2016-11-30,102801.50220596936,0
2016-12-01,102801.50220596936,0
2016-12-02,102801.50220596936,0
2016-12-05,102801.50220596936,0
2016-12-06,102801.50220596936,0
2016-12-07,102801.50220596936,0
2016-12-08,102801.50220596936,0
2016-12-09,102801.50220596936,0
2016-12-12,102801.50220596936,0
2016-12-13,102801.50220596936,0
2016-12-14,102801.50220596936,0
2016-12-15,102801.50220596936,0
2016-12-16,102801.50220596936,0
2016-12-19,102801.50220596936,0
2016-12-20,102801.50220596936,0
2016-12-21,102801.50220596936,0
2016-12-22,102801.50220596936,0
2016-12-23,102801.50220596936,0
2016-12-27,102801.50220596936,0
2016-12-28,102801.50220596936,0
2016-12-29,102801.50220596936,0
2016-12-30,102801.50220596936,0
2017-01-03,102801.50220596936,0
2017-01-04,103145.06242624095,1
2017-01-05,103728.62738590897,1
2017-01-06,104638.29967255458,1
2017-01-09,104981.57433366864,1
2017-01-10,104919.45509459649,0
2017-01-11,104919.45509459649,0
2017-01-12,104919.45509459649,0
2017-01-13,104919.45509459649,0
2017-01-17,104919.45509459649,0
2017-01-18,104919.45509459649,0
2017-01-19,104919.45509459649,0
2017-01-20,104919.45509459649,0
2017-01-23,104919.45509459649,0
2017-01-24,104919.45509459649,0
2017-01-25,104919.45509459649,0
2017-01-26,104919.45509459649,0
2017-01-27,104919.45509459649,0
2017-01-30,104919.45509459649,0
2017-01-31,104919.45509459649,0
2017-02-01,104919.45509459649,0
2017-02-02,104906.72315127548,1
2017-02-03,105208.08354432056,1
2017-02-06,105333.65143919742,1
2017-02-07,105718.7216332776,1
2017-02-08,105470.83791852024,0
2017-02-09,105470.83791852024,0
2017-02-10,105470.83791852024,0
2017-02-13,105470.83791852024,0
2017-02-14,105470.83791852024,0
2017-02-15,105470.83791852024,0
2017-02-16,105470.83791852024,0
2017-02-17,105470.83791852024,0
2017-02-21,105470.83791852024,0
2017-02-22,105470.83791852024,0
2017-02-23,105470.83791852024,0
2017-02-24,105470.83791852024,0
2017-02-27,105470.83791852024,0
2017-02-28,105470.83791852024,0
2017-03-01,105470.83791852024,0
2017-03-02,105470.83791852024,0
2017-03-03,105470.83791852024,0
2017-03-06,105470.83791852024,0
2017-03-07,105470.83791852024,0
2017-03-08,105470.83791852024,0
2017-03-09,105470.83791852024,0
2017-03-10,105470.83791852024,0
2017-03-13,105470.83791852024,0
2017-03-14,105470.83791852024,0
2017-03-15,105470.83791852024,0
2017-03-16,105470.83791852024,0
2017-03-17,105470.83791852024,0
2017-03-20,105470.83791852024,0
2017-03-21,105470.83791852024,0
2017-03-22,105470.83791852024,0
2017-03-23,105236.30556820567,1
2017-03-24,105454.27313485483,1
2017-03-27,105623.7938837797,1
2017-03-28,106269.61595509072,1
2017-03-29,106235.92543692532,0
2017-03-30,106235.92543692532,0
2017-03-31,106235.92543692532,0
2017-04-03,106235.92543692532,0
2017-04-04,106235.92543692532,0
2017-04-05,106235.92543692532,0
2017-04-06,106235.92543692532,0
2017-04-07,106105.67621464569,1
2017-04-10,106145.87934846763,1
2017-04-11,105687.58570579058,1
2017-04-12,105261.45947748068,1
2017-04-13,105011.6261747328,0
2017-04-17,105011.6261747328,0
2017-04-18,105098.86071160459,1
2017-04-19,105266.98583785733,1
2017-04-20,106147.60577729161,1
2017-04-21,106123.58964721729,1
2017-04-24,107193.12845490525,0
2017-04-25,107193.12845490525,0
2017-04-26,107193.12845490525,0
2017-04-27,107193.12845490525,0
2017-04-28,107193.12845490525,0
2017-05-01,107193.12845490525,0
2017-05-02,107193.12845490525,0
2017-05-03,107193.12845490525,0
2017-05-04,107193.12845490525,0
2017-05-05,107193.12845490525,0
2017-05-08,107193.12845490525,0
2017-05-09,107193.12845490525,0
2017-05-10,107193.12845490525,0
2017-05-11,107193.12845490525,0
2017-05-12,107193.12845490525,0
2017-05-15,107193.12845490525,0
2017-05-16,107193.12845490525,0
2017-05-17,107193.12845490525,0
2017-05-18,107193.12845490525,0
2017-05-19,107156.00503794702,1
2017-05-22,108057.78508411247,1
2017-05-23,108166.61978885016,1
2017-05-24,108664.15156223573,1
2017-05-25,108967.093336529,0
2017-05-26,108967.093336529,0
2017-05-30,108967.093336529,0
2017-05-31,108967.093336529,0
2017-06-01,108967.093336529,0
2017-06-02,108967.093336529,0
2017-06-05,108967.093336529,0
2017-06-06,108967.093336529,0
2017-06-07,108967.093336529,0
2017-06-08,108967.093336529,0
2017-06-09,108967.093336529,0
2017-06-12,108967.093336529,0
2017-06-13,108967.093336529,0
2017-06-14,107946.77603101046,1
2017-06-15,107467.87460664294,1
2017-06-16,106710.88693974426,1
2017-06-19,108495.2049091667,1
2017-06-20,108278.67843215664,0
2017-06-21,108278.67843215664,0
2017-06-22,108278.67843215664,0
2017-06-23,108278.67843215664,0
2017-06-26,108278.67843215664,0
2017-06-27,108278.67843215664,0
2017-06-28,108278.67843215664,0
2017-06-29,106735.3666708155,1
2017-06-30,106774.15651169117,1
2017-07-03,105649.32214828205,1
2017-07-05,106688.82359656371,1
2017-07-06,105768.4100018787,0
2017-07-07,105768.4100018787,0
2017-07-10,105768.4100018787,0
2017-07-11,105768.4100018787,0
2017-07-12,105768.4100018787,0
2017-07-13,105768.4100018787,0
2017-07-14,105768.4100018787,0
2017-07-17,105768.4100018787,0
2017-07-18,105768.4100018787,0
2017-07-19,105768.4100018787,0
2017-07-20,105768.4100018787,0
2017-07-21,105768.4100018787,0
2017-07-24,105768.4100018787,0
2017-07-25,105768.4100018787,0
2017-07-26,105768.4100018787,0
2017-07-27,105768.4100018787,0
2017-07-28,105768.4100018787,0
2017-07-31,105768.4100018787,0
2017-08-01,105768.4100018787,0
2017-08-02,105267.84944696835,1
2017-08-03,104858.33406010862,1
2017-08-04,105048.46301587709,1
2017-08-07,105713.93109875286,1
2017-08-08,105403.66423191768,0
2017-08-09,105403.66423191768,0
2017-08-10,105403.66423191768,0
2017-08-11,105403.66423191768,0
2017-08-14,105812.98247541982,1
2017-08-15,105886.50394152988,1
2017-08-16,106070.29638900427,1
2017-08-17,103901.54775236646,1
2017-08-18,103856.40231901266,0
2017-08-21,103856.40231901266,0
2017-08-22,103856.40231901266,0
2017-08-23,103905.5746669952,1
2017-08-24,103599.73578300423,1
2017-08-25,103381.2762626356,1
2017-08-28,103701.6820776679,1
2017-08-29,102710.47488828836,0
2017-08-30,102710.47488828836,0
2017-08-31,102710.47488828836,0
2017-09-01,102710.47488828836,0
2017-09-05,102710.47488828836,0
2017-09-06,102710.47488828836,0
2017-09-07,102710.47488828836,0
2017-09-08,102710.47488828836,0
2017-09-11,102710.47488828836,0
2017-09-12,102565.78183145878,1
2017-09-13,102706.06936523745,1
2017-09-14,102102.82333706171,1
2017-09-15,102453.54752313475,1
2017-09-18,102245.98621406531,0
2017-09-19,102245.98621406531,0
2017-09-20,102245.98621406531,0
2017-09-21,102245.98621406531,0
2017-09-22,102245.98621406531,0
2017-09-25,102245.98621406531,0
2017-09-26,102245.98621406531,0
2017-09-27,102245.98621406531,0
2017-09-28,102245.98621406531,0
2017-09-29,102245.98621406531,0
2017-10-02,102245.98621406531,0
