date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,100000.0,0
2016-09-14,100000.0,0
2016-09-15,100000.0,0
2016-09-16,100000.0,0
2016-09-19,100000.0,0
2016-09-20,100000.0,0
2016-09-21,100000.0,0
2016-09-22,100000.0,0
2016-09-23,100000.0,0
2016-09-26,100000.0,0
2016-09-27,100000.0,0
2016-09-28,100000.0,0
2016-09-29,100000.0,0
2016-09-30,102100.48451760168,1
2016-10-03,101037.27367192114,1
2016-10-04,100654.51579024422,1
2016-10-05,101813.41325456716,1
2016-10-06,102695.8974964697,1
2016-10-07,102398.19100703568,1
2016-10-10,101632.67144131272,1
2016-10-11,98464.27133337897,1
2016-10-12,97932.66971290781,1
2016-10-13,96231.5125874996,1
2016-10-14,97337.27194351624,1
2016-10-17,96550.47812262521,1
2016-10-18,98219.73717357323,1
2016-10-19,97518.01375677067,1
2016-10-20,98517.44366300723,1
2016-10-21,98134.6857813303,1
2016-10-24,100760.82622817878,1
2016-10-25,100643.87676147564,1
2016-10-26,100356.80930081022,1
2016-10-27,99697.61918486733,1
2016-10-28,98857.66824382449,1
2016-10-31,99612.54878077886,1
2016-11-01,98240.99621926485,1
2016-11-02,97294.73484028745,1
2016-11-03,96986.40833393042,1
2016-11-04,96178.35546734776,1
2016-11-07,100090.99708346731,1
2016-11-08,100409.96261859292,1
2016-11-09,99623.18780954745,1
2016-11-10,96571.75237779328,1
2016-11-11,101717.72283355564,1
2016-11-14,100867.15567795886,1
2016-11-15,103748.48452285808,1
2016-11-16,105577.21113189246,1
2016-11-17,107363.41964954362,1
2016-11-18,108522.332323343,1
2016-11-21,109287.85188906596,1
2016-11-22,111626.94008472543,1
2016-11-23,111871.47424453117,1
2016-11-25,112126.64743310549,1
2016-11-28,111616.30105595684,1
2016-11-29,111265.44124874013,1
2016-11-30,110180.95614789153,1
2016-12-01,101420.03155359808,1
2016-12-02,103376.34665810419,1
2016-12-05,105290.13986885795,1
2016-12-06,107544.17667227448,1
2016-12-07,111127.21752686893,1
2016-12-08,112668.88808234523,1
2016-12-09,111892.7332902228,1
2016-12-12,110510.56071178574,1
2016-12-13,112520.04434355101,1
2016-12-14,112381.82062167981,1
2016-12-15,115614.01307616486,1
2016-12-16,113508.83902338808,1
2016-12-19,115454.52650623294,1
2016-12-20,114242.46051465085,1
2016-12-21,114242.46051465085,1
2016-12-22,115263.15326894814,1
2016-12-23,116220.04987432502,1
2016-12-27,118601.65616136773,1
2016-12-28,114667.73648771102,1
2016-12-29,114657.116470788,1
2016-12-30,111658.83815918563,1
2017-01-03,111754.52477782805,1
2017-01-04,112307.38924635993,1
2017-01-05,110616.87114972029,1
2017-01-06,112052.21605778561,1
2017-01-09,114019.18540053673,1
2017-01-10,114976.0820059136,1
2017-01-11,115582.11880407378,1
2017-01-12,113912.85595075664,1
2017-01-13,115103.66669901622,1
2017-01-17,112020.32178569451,1
2017-01-18,114572.04606669952,1
2017-01-19,113700.21986541111,1
2017-01-20,116134.98327260566,1
2017-01-23,114848.497312811,1
2017-01-24,118644.18946222741,1
2017-01-25,121621.1935186617,1
2017-01-26,120387.86467901888,1
2017-01-27,123024.64035226681,1
2017-01-30,121876.36290486692,1
2017-01-31,119112.00253851638,1
2017-02-01,122354.81500992447,1
2017-02-02,122174.07319667003,1
2017-02-03,123407.40203631285,1
2017-02-06,124162.29398037457,1
2017-02-07,124970.33543984989,1
2017-02-08,125331.8342758352,1
2017-02-09,123386.13918825213,1
2017-02-10,123216.02119428983,1
2017-02-13,123726.36757143847,1
2017-02-14,122960.85180808463,1
2017-02-15,124757.69174976613,1
2017-02-16,125034.12398403208,1
2017-02-17,126224.93473229166,1
2017-02-21,129457.13098914582,1
2017-02-22,129467.75480843797,1
2017-02-23,125565.74841871789,1
2017-02-24,125438.16372561529,1
2017-02-27,127585.8558697753,1
2017-02-28,124619.46802789494,1
2017-03-01,128074.93939886322,1
2017-03-02,125682.69408305192,1
2017-03-03,125544.47036118072,1
2017-03-06,125661.43883972941,1
2017-03-07,126182.40143143198,1
2017-03-08,126735.2811094403,1
2017-03-09,127096.77994542562,1
2017-03-10,129722.92419464317,1
2017-03-13,131551.66601315403,1
2017-03-14,130807.40549312266,1
2017-03-15,132742.47676141356,1
2017-03-16,132423.51122628796,1
2017-03-17,132870.0614545162,1
2017-03-20,134698.7956682888,1
2017-03-21,128872.35703904639,1
2017-03-22,131360.285171131,1
2017-03-23,130743.61694894047,1
2017-03-24,132423.51122628796,1
2017-03-27,132848.79100171724,1
2017-03-28,133667.47909469937,1
2017-03-29,132976.37569481984,1
2017-03-30,134379.82252842496,1
2017-03-31,134220.34356323123,1
2017-04-03,132774.3786382429,1
2017-04-04,131519.77174106293,1
2017-04-05,129776.09652427144,1
2017-04-06,130073.7840018599,1
2017-04-07,131126.37102824828,1
2017-04-10,129265.7501471228,1
2017-04-11,127362.58075566118,1
2017-04-12,123332.98967283852,1
2017-04-13,121940.15905378733,1
2017-04-17,122527.71781339418,0
2017-04-18,122527.71781339418,0
2017-04-19,122527.71781339418,0
2017-04-20,122527.71781339418,0
2017-04-21,122527.71781339418,0
2017-04-24,122527.71781339418,0
2017-04-25,122527.71781339418,0
2017-04-26,122527.71781339418,0
2017-04-27,122527.71781339418,0
2017-04-28,117060.69775765462,1
2017-05-01,120475.73809229289,1
2017-05-02,116601.27632260414,1
2017-05-03,117887.65195935707,1
2017-05-04,117596.67300167365,1
2017-05-05,118852.43368692178,1
2017-05-08,117535.43214519302,1
2017-05-09,121103.60200471042,1
2017-05-10,126814.62186283487,1
2017-05-11,127465.4716341908,1
2017-05-12,128055.06411885956,1
2017-05-15,131064.27287541956,1
2017-05-16,134127.09339589375,1
2017-05-17,124716.59402339638,1
2017-05-18,128284.77483638481,1
2017-05-19,130451.71643875443,1
2017-05-22,132626.30904063248,1
2017-05-23,131814.66231468244,1
2017-05-24,133108.69990441483,1
2017-05-25,134295.53587326081,1
2017-05-26,135160.78888638958,1
2017-05-30,136615.61795398057,1
2017-05-31,136592.64852524872,1
2017-06-01,136776.4149085747,1
2017-06-02,138989.30084514356,1
2017-06-05,139655.4635689874,1
2017-06-06,140421.1714374737,1
2017-06-07,142251.19522469616,1
2017-06-08,146431.93795108522,1
2017-06-09,135842.26456272134,1
2017-06-12,134609.4842596761,1
2017-06-13,136003.06151731545,1
2017-06-14,133629.37862615247,1
2017-06-15,131914.20745932488,1
2017-06-16,131110.2172096188,1
2017-06-19,135022.96136052732,1
2017-06-20,132611.00156488008,1
2017-06-21,134999.99193179546,1
2017-06-22,134456.33830459043,1
2017-06-23,135122.49555169878,1
2017-06-26,133315.4411932082,1
2017-06-27,127587.98073082961,1
2017-06-28,130918.78887331334,1
2017-06-29,125780.92089560354,1
2017-06-30,124831.44664379125,1
2017-07-03,122151.48827266347,1
2017-07-05,122856.70559195736,0
2017-07-06,122856.70559195736,0
2017-07-07,122856.70559195736,0
2017-07-10,122856.70559195736,0
2017-07-11,122856.70559195736,0
2017-07-12,122856.70559195736,0
2017-07-13,122856.70559195736,0
2017-07-14,122856.70559195736,0
2017-07-17,122856.70559195736,0
2017-07-18,122856.70559195736,0
2017-07-19,122856.70559195736,0
2017-07-20,122856.70559195736,0
2017-07-21,122856.70559195736,0
2017-07-24,122856.70559195736,0
2017-07-25,122856.70559195736,0
2017-07-26,122856.70559195736,0
2017-07-27,122856.70559195736,0
2017-07-28,122856.70559195736,0
2017-07-31,122856.70559195736,0
2017-08-01,122856.70559195736,0
2017-08-02,122856.70559195736,0
2017-08-03,122856.70559195736,0
2017-08-04,122856.70559195736,0
2017-08-07,122856.70559195736,0
2017-08-08,122856.70559195736,0
2017-08-09,122856.70559195736,0
2017-08-10,122856.70559195736,0
2017-08-11,122856.70559195736,0
2017-08-14,122856.70559195736,0
2017-08-15,122856.70559195736,0
2017-08-16,122856.70559195736,0
2017-08-17,122856.70559195736,0
2017-08-18,122856.70559195736,0
2017-08-21,122856.70559195736,0
2017-08-22,122856.70559195736,0
2017-08-23,122856.70559195736,0
2017-08-24,122856.70559195736,0
2017-08-25,122856.70559195736,0
2017-08-28,122856.70559195736,0
2017-08-29,122856.70559195736,0
2017-08-30,122856.70559195736,0
2017-08-31,122856.70559195736,0
2017-09-01,122856.70559195736,0
2017-09-05,122856.70559195736,0
2017-09-06,122856.70559195736,0
2017-09-07,122856.70559195736,0
2017-09-08,122856.70559195736,0
2017-09-11,122856.70559195736,0
2017-09-12,122856.70559195736,0
2017-09-13,122856.70559195736,0
2017-09-14,122856.70559195736,0
2017-09-15,126563.44643933025,1
2017-09-18,129100.73722768863,1
2017-09-19,129791.1164669533,1
2017-09-20,126958.7923567497,1
2017-09-21,126174.00076629875,1
2017-09-22,127082.70592987574,1
2017-09-25,123329.88038780881,1
2017-09-26,123223.66754784662,1
2017-09-27,127472.15160290724,1
2017-09-28,128929.621699459,1
2017-09-29,130605.40927934399,1
2017-10-02,131785.54256672485,1
2017-10-03,132470.0257820911,1
2017-10-04,132930.27860826754,1
