date,equity,position
2016-09-06,100000.0,0
2016-09-07,97429.47573837322,1
2016-09-08,96994.85237802443,1
2016-09-09,86311.66701060312,1
2016-09-12,91481.68470865289,1
2016-09-13,88828.06468199854,1
2016-09-14,91367.32047421871,1
2016-09-15,97681.13595837678,1
2016-09-16,97726.87674346309,1
2016-09-19,98207.2736134806,1
2016-09-20,96971.96153261726,1
2016-09-21,98131.93429442888,0
2016-09-22,98131.93429442888,0
2016-09-23,98131.93429442888,0
2016-09-26,98131.93429442888,0
2016-09-27,98131.93429442888,0
2016-09-28,98131.93429442888,0
2016-09-29,98131.93429442888,0
2016-09-30,98131.93429442888,0
2016-10-03,98131.93429442888,0
2016-10-04,98131.93429442888,0
2016-10-05,98131.93429442888,0
2016-10-06,98131.93429442888,0
2016-10-07,98131.93429442888,0
2016-10-10,95139.97316149385,1
2016-10-11,89192.46595332457,1
2016-10-12,88194.5792086203,1
2016-10-13,85001.28167013735,1
2016-10-14,87076.93863149837,1
2016-10-17,85600.02228202124,1
2016-10-18,88733.44290429536,1
2016-10-19,87416.21498566102,1
2016-10-20,87169.29854991763,0
2016-10-21,87169.29854991763,0
2016-10-24,87169.29854991763,0
2016-10-25,87169.29854991763,0
2016-10-26,87169.29854991763,0
2016-10-27,87169.29854991763,0
2016-10-28,87169.29854991763,0
2016-10-31,87169.29854991763,0
2016-11-01,87169.29854991763,0
2016-11-02,87169.29854991763,0
2016-11-03,87169.29854991763,0
2016-11-04,87169.29854991763,0
2016-11-07,87169.29854991763,0
2016-11-08,87169.29854991763,0
2016-11-09,92069.82551988149,1
2016-11-10,94087.33520348965,0
2016-11-11,94087.33520348965,0
2016-11-14,94087.33520348965,0
2016-11-15,94087.33520348965,0
2016-11-16,94087.33520348965,0
2016-11-17,94087.33520348965,0
2016-11-18,94087.33520348965,0
2016-11-21,94440.83939361876,1
2016-11-22,98227.43178377837,1
2016-11-23,98623.29167070899,1
2016-11-25,99036.37436499186,1
2016-11-28,98210.2089764261,1
2016-11-29,97642.22565776156,1
2016-11-30,95886.62574590917,1
2016-12-01,81704.1547894599,1
2016-12-02,84871.10159429752,1
2016-12-05,86918.35784411829,0
2016-12-06,89522.42180923898,1
2016-12-07,89046.45728362787,0
2016-12-08,89046.45728362787,0
2016-12-09,85411.11100514329,1
2016-12-12,83474.03086331858,1
2016-12-13,86290.2716852975,1
2016-12-14,86096.55461194292,1
2016-12-15,90626.39112860899,1
2016-12-16,87676.04258578825,1
2016-12-19,90402.87470792279,1
2016-12-20,88704.19467367577,1
2016-12-21,88704.19467367577,1
2016-12-22,90134.66992408872,1
2016-12-23,91475.73647465727,1
2016-12-27,94813.49784848808,1
