date,equity,position
2024-09-04,100000.0,0
2024-09-05,102307.33390988896,1
2024-09-06,100006.33230278145,0
2024-09-09,100006.33230278145,0
2024-09-10,100006.33230278145,0
2024-09-11,100006.33230278145,0
2024-09-12,100006.33230278145,0
2024-09-13,100006.33230278145,0
2024-09-16,100006.33230278145,0
2024-09-17,100006.33230278145,0
2024-09-18,100006.33230278145,0
2024-09-19,100006.33230278145,0
2024-09-20,98439.37113218426,1
2024-09-23,99524.98850931023,1
2024-09-24,102122.15068476029,0
2024-09-25,102122.15068476029,0
2024-09-26,102122.15068476029,0
2024-09-27,102122.15068476029,0
2024-09-30,103230.30123758213,1
2024-10-01,95209.41250905463,1
2024-10-02,98389.61850407795,1
2024-10-03,99093.20561134834,1
2024-10-04,103230.30123758213,1
2024-10-07,102470.42587342365,1
2024-10-08,105425.48957678182,1
2024-10-09,108661.9945645805,1
2024-10-10,106466.80622538082,1
2024-10-11,108830.84859935755,1
2024-10-14,114881.70201623777,1
2024-10-15,97010.59378592485,1
2024-10-16,96982.44428953718,1
2024-10-17,99093.20561134834,1
2024-10-18,99262.07038201264,1
2024-10-21,98755.48680590698,1
2024-10-22,97629.74313991946,1
2024-10-23,95124.97475577885,1
2024-10-24,96504.0102098192,1
2024-10-25,99290.20914251306,1
2024-10-28,99487.21267367779,1
2024-10-29,106888.95204821069,1
2024-10-30,98319.35023246515,0
2024-10-31,98319.35023246515,0
2024-11-01,98319.35023246515,0
2024-11-04,98319.35023246515,0
2024-11-05,98319.35023246515,0
2024-11-06,98319.35023246515,0
2024-11-07,98319.35023246515,0
2024-11-08,97806.80630611582,1
2024-11-11,90514.8009385846,1
2024-11-12,87476.46361266886,1
2024-11-13,82007.45958702044,1
2024-11-14,84408.8766588015,0
2024-11-15,84408.8766588015,0
2024-11-18,84408.8766588015,0
2024-11-19,84408.8766588015,0
2024-11-20,84408.8766588015,0
2024-11-21,84408.8766588015,0
2024-11-22,84408.8766588015,0
2024-11-25,84408.8766588015,0
2024-11-26,84408.8766588015,0
2024-11-27,84408.8766588015,0
2024-11-29,84408.8766588015,0
2024-12-02,84408.8766588015,0
2024-12-03,84408.8766588015,0
2024-12-04,84408.8766588015,0
2024-12-05,84408.8766588015,0
2024-12-06,84408.8766588015,0
2024-12-09,84408.8766588015,0
2024-12-10,84408.8766588015,0
2024-12-11,84408.8766588015,0
2024-12-12,84408.8766588015,0
2024-12-13,84408.8766588015,0
2024-12-16,84408.8766588015,0
2024-12-17,84408.8766588015,0
2024-12-18,84408.8766588015,0
2024-12-19,79289.80016144193,1
2024-12-20,82304.62154781335,1
2024-12-23,89208.5652827553,1
2024-12-24,91891.7544765249,1
2024-12-26,92163.08886132357,1
2024-12-27,89510.04857145553,1
2024-12-30,84234.11114530556,1
2024-12-31,82334.77045171493,1
2025-01-02,83420.10799090957,1
2025-01-03,89901.97282154502,1
2025-01-06,97951.55190348475,1
2025-01-07,93911.68503540638,1
2025-01-08,90987.31036073966,1
2025-01-10,84595.88649149348,1
2025-01-13,83962.7767605069,1
2025-01-14,85746.13083708064,0
2025-01-15,86498.29887094517,1
2025-01-16,86642.7494011201,1
2025-01-17,93865.39162899145,1
2025-01-21,97332.24843666592,1
2025-01-22,101550.27665550947,1
2025-01-23,100885.78437914056,1
2025-01-24,94327.63993807265,1
2025-01-27,72399.70891266516,1
2025-01-28,73295.31983314017,1
2025-01-29,74190.92524318067,1
2025-01-30,78437.8336492771,1
2025-01-31,78062.25896456157,1
2025-02-03,73988.69229676196,1
2025-02-04,73135.43756256573,0
2025-02-05,73135.43756256573,0
2025-02-06,73135.43756256573,0
2025-02-07,73135.43756256573,0
2025-02-10,73135.43756256573,0
2025-02-11,73135.43756256573,0
2025-02-12,73135.43756256573,0
2025-02-13,73135.43756256573,0
2025-02-14,73135.43756256573,0
2025-02-18,73135.43756256573,0
2025-02-19,73135.43756256573,0
2025-02-20,73135.43756256573,0
2025-02-21,73135.43756256573,0
2025-02-24,73135.43756256573,0
2025-02-25,73135.43756256573,0
2025-02-26,73135.43756256573,0
2025-02-27,73135.43756256573,0
2025-02-28,73135.43756256573,0
2025-03-03,73135.43756256573,0
2025-03-04,73135.43756256573,0
2025-03-05,73135.43756256573,0
2025-03-06,71283.07999338374,1
2025-03-07,72211.65225517332,0
2025-03-10,72211.65225517332,0
2025-03-11,72211.65225517332,0
2025-03-12,72211.65225517332,0
2025-03-13,72211.65225517332,0
2025-03-14,72211.65225517332,0
2025-03-17,76872.39971123212,1
2025-03-18,74579.20486549023,0
2025-03-19,74579.20486549023,0
2025-03-20,74579.20486549023,0
2025-03-21,74579.20486549023,0
2025-03-24,74579.20486549023,0
2025-03-25,74579.20486549023,0
2025-03-26,74579.20486549023,0
2025-03-27,74579.20486549023,0
2025-03-28,74579.20486549023,0
2025-03-31,74579.20486549023,0
2025-04-01,74579.20486549023,0
2025-04-02,74579.20486549023,0
2025-04-03,74579.20486549023,0
2025-04-04,74579.20486549023,0
2025-04-07,74579.20486549023,0
2025-04-08,74579.20486549023,0
2025-04-09,74579.20486549023,0
2025-04-10,74579.20486549023,0
2025-04-11,74579.20486549023,0
2025-04-14,74579.20486549023,0
2025-04-15,74579.20486549023,0
2025-04-16,74579.20486549023,0
2025-04-17,74579.20486549023,0
2025-04-21,74579.20486549023,0
2025-04-22,74579.20486549023,0
2025-04-23,74579.20486549023,0
2025-04-24,74579.20486549023,0
2025-04-25,74579.20486549023,0
2025-04-28,74579.20486549023,0
2025-04-29,74579.20486549023,0
2025-04-30,74579.20486549023,0
2025-05-01,74579.20486549023,0
2025-05-02,74579.20486549023,0
2025-05-05,74579.20486549023,0
2025-05-06,74579.20486549023,0
2025-05-07,74579.20486549023,0
2025-05-08,74579.20486549023,0
2025-05-09,74579.20486549023,0
2025-05-12,74579.20486549023,0
2025-05-13,79826.46329344035,1
2025-05-14,80856.48117121871,1
2025-05-15,79268.53182681804,1
2025-05-16,78925.19253422525,1
2025-05-19,77508.9169290482,1
2025-05-20,77122.65920164951,1
2025-05-21,72959.66925573016,1
2025-05-22,70856.71506536752,1
2025-05-23,67509.15082319701,1
2025-05-27,74204.27930753803,1
2025-05-28,73131.34299495377,1
2025-05-29,73818.02158013934,1
2025-05-30,69397.52102538456,1
2025-06-02,72530.49309352555,1
2025-06-03,78538.93480682657,1
2025-06-04,81929.41748380297,1
2025-06-05,80727.725866801,1
2025-06-06,82315.67521120167,1
2025-06-09,88324.11692450268,1
2025-06-10,93946.300910405,1
2025-06-11,92873.36459782072,1
2025-06-12,93087.95677185024,1
2025-06-13,86006.57874596497,1
2025-06-16,93989.21934521089,1
2025-06-17,91929.18358965417,1
2025-06-18,92744.61747925746,1
2025-06-20,91027.91283043908,1
2025-06-23,92615.86217483974,1
2025-06-24,102787.30201991455,1
2025-06-25,105491.09792585095,1
2025-06-26,108151.98358283588,1
2025-06-27,107765.7258554372,1
2025-06-30,107765.7258554372,1
2025-07-01,106049.02120661881,1
2025-07-02,111799.96049693885,1
2025-07-03,113430.82827614542,1
2025-07-07,107164.87595400898,1
2025-07-08,113173.32585316442,1
2025-07-09,114375.00928431196,1
2025-07-10,117465.0711035015,1
2025-07-11,115118.12824711244,0
2025-07-14,115118.12824711244,0
2025-07-15,115118.12824711244,0
2025-07-16,116862.19949001467,1
2025-07-17,116442.99321176241,0
2025-07-18,114938.82159595222,1
2025-07-21,115653.77251051477,1
2025-07-22,110691.17298843703,1
2025-07-23,108420.1576266987,1
2025-07-24,107747.26359199625,1
2025-07-25,107663.14983227605,1
2025-07-28,110832.56273982197,0
2025-07-29,110832.56273982197,0
2025-07-30,110832.56273982197,0
2025-07-31,103589.19310630634,1
2025-08-01,97685.7717011581,0
2025-08-04,97685.7717011581,0
2025-08-05,97685.7717011581,0
2025-08-06,97685.7717011581,0
2025-08-07,97685.7717011581,0
2025-08-08,97685.7717011581,0
2025-08-11,97685.7717011581,0
2025-08-12,104252.92765892176,1
2025-08-13,108981.54429642296,1
2025-08-14,109540.04070283376,1
2025-08-15,106789.58414941416,0
2025-08-18,106789.58414941416,0
2025-08-19,106789.58414941416,0
2025-08-20,106789.58414941416,0
2025-08-21,106789.58414941416,0
2025-08-22,106789.58414941416,0
2025-08-25,106789.58414941416,0
2025-08-26,106789.58414941416,0
2025-08-27,106789.58414941416,0
2025-08-28,106789.58414941416,0
2025-08-29,106789.58414941416,0
2025-09-02,106789.58414941416,0
2025-09-03,106789.58414941416,0
2025-09-04,106789.58414941416,0
2025-09-05,106789.58414941416,0
2025-09-08,106789.58414941416,0
2025-09-09,106789.58414941416,0
2025-09-10,106789.58414941416,0
2025-09-11,106789.58414941416,0
2025-09-12,106789.58414941416,0
2025-09-15,106789.58414941416,0
2025-09-16,106789.58414941416,0
2025-09-17,106789.58414941416,0
2025-09-18,106789.58414941416,0
2025-09-19,104966.3082211177,1
2025-09-22,109448.51526301343,1
2025-09-23,109035.25869136944,1
2025-09-24,108717.37648329187,1
2025-09-25,107604.76450216252,1
2025-09-26,107751.22088979794,0
2025-09-29,107751.22088979794,0
2025-09-30,110076.38049852496,1
2025-10-01,116458.53715817332,1
2025-10-02,123472.59278409315,1
2025-10-03,120787.02519055693,1
2025-10-06,131782.02381478756,1
2025-10-07,122682.72208937138,1
2025-10-08,135162.66942399912,1
2025-10-09,133456.55788327754,1
2025-10-10,108085.9029731344,1
2025-10-13,123662.15403724537,1
2025-10-14,115731.85756532573,1
2025-10-15,126316.12005360934,1
2025-10-16,128180.21537525153,1
2025-10-17,127295.56405395365,1
2025-10-20,133456.55788327754,1
2025-10-21,131150.12484851608,1
2025-10-22,121292.54195308006,1
2025-10-23,130075.90022159566,1
2025-10-24,136300.08515279373,1
2025-10-27,147990.17384517,1
2025-10-28,148369.30840394477,1
2025-10-29,156015.2629961361,1
2025-10-30,149727.88696306385,1
2025-10-31,150960.08331843457,1
2025-11-03,153487.6791835205,1
2025-11-04,135225.86052587332,1
2025-11-05,147958.58432046807,1
2025-11-06,135889.3490168467,1
2025-11-07,131876.816493834,1
2025-11-10,142050.3428461706,1
2025-11-11,137994.45835878424,0
2025-11-12,137994.45835878424,0
2025-11-13,137994.45835878424,0
2025-11-14,137994.45835878424,0
2025-11-17,137994.45835878424,0
2025-11-18,137994.45835878424,0
2025-11-19,137994.45835878424,0
2025-11-20,137994.45835878424,0
2025-11-21,137994.45835878424,0
2025-11-24,137994.45835878424,0
2025-11-25,137994.45835878424,0
2025-11-26,137994.45835878424,0
2025-11-28,137994.45835878424,0
2025-12-01,137994.45835878424,0
2025-12-02,137994.45835878424,0
2025-12-03,137994.45835878424,0
2025-12-04,137994.45835878424,0
2025-12-05,137994.45835878424,0
2025-12-08,137994.45835878424,0
2025-12-09,137994.45835878424,0
2025-12-10,137994.45835878424,0
2025-12-11,137994.45835878424,0
2025-12-12,137994.45835878424,0
2025-12-15,137994.45835878424,0
2025-12-16,137994.45835878424,0
2025-12-17,137994.45835878424,0
2025-12-18,137994.45835878424,0
2025-12-19,137994.45835878424,0
2025-12-22,137994.45835878424,0
2025-12-23,137994.45835878424,0
2025-12-24,137994.45835878424,0
2025-12-26,137994.45835878424,0
2025-12-29,137994.45835878424,0
2025-12-30,137994.45835878424,0
2025-12-31,137994.45835878424,0
2026-01-02,137994.45835878424,0
2026-01-05,134762.70729681104,1
2026-01-06,147877.5581956814,1
2026-01-07,143168.2631686966,1
2026-01-08,135940.03366468544,1
2026-01-09,147713.28689891653,1
2026-01-12,149629.86543577106,1
2026-01-13,153517.77264539327,1
2026-01-14,151628.57962100804,1
2026-01-15,159021.09086629684,1
2026-01-16,166331.45601869043,1
2026-01-20,158637.76680331572,1
2026-01-21,173806.10291236165,1
2026-01-22,174463.2194329594,1
2026-01-23,168658.72324196988,1
2026-01-26,166194.55978988213,1
2026-01-27,177858.2918632615,1
2026-01-28,191904.05174034616,1
2026-01-29,192944.492323925,1
2026-01-30,169178.9435337593,1
2026-02-02,178515.39793934644,1
2026-02-03,167563.5429669907,1
2026-02-04,145632.42662078436,1
2026-02-05,145796.708362062,1
2026-02-06,169069.42237290757,1
2026-02-09,175311.98231827852,1
2026-02-10,173422.7892938933,1
2026-02-11,186318.61876008566,1
2026-02-12,172765.67277329558,1
2026-02-13,176845.23679215196,1
2026-02-17,176188.13071606698,1
2026-02-18,178501.0104350117,0
2026-02-19,178501.0104350117,0
2026-02-20,178501.0104350117,0
2026-02-23,178501.0104350117,0
2026-02-24,178501.0104350117,0
2026-02-25,178501.0104350117,0
2026-02-26,178501.0104350117,0
2026-02-27,178501.0104350117,0
2026-03-02,178501.0104350117,0
2026-03-03,178501.0104350117,0
2026-03-04,178501.0104350117,0
2026-03-05,178501.0104350117,0
2026-03-06,178501.0104350117,0
2026-03-09,178501.0104350117,0
2026-03-10,178501.0104350117,0
2026-03-11,178501.0104350117,0
2026-03-12,178501.0104350117,0
2026-03-13,178501.0104350117,0
2026-03-16,178501.0104350117,0
2026-03-17,178501.0104350117,0
2026-03-18,178501.0104350117,0
2026-03-19,178501.0104350117,0
2026-03-20,178501.0104350117,0
2026-03-23,178501.0104350117,0
2026-03-24,178501.0104350117,0
2026-03-25,178501.0104350117,0
2026-03-26,178501.0104350117,0
2026-03-27,178501.0104350117,0
2026-03-30,178501.0104350117,0
2026-03-31,178501.0104350117,0
2026-04-01,178501.0104350117,0
2026-04-02,178501.0104350117,0
2026-04-06,178501.0104350117,0
2026-04-07,178501.0104350117,0
2026-04-08,178501.0104350117,0
2026-04-09,188427.29220690698,1
2026-04-10,194306.02369198698,0
2026-04-13,206874.6645945902,1
2026-04-14,213619.99373428346,0
2026-04-15,216683.54881017507,1
2026-04-16,222758.56220842098,1
2026-04-17,234698.82964899903,0
2026-04-20,234391.07524872877,1
2026-04-21,239643.72657613465,1
2026-04-22,258089.14338247132,1
2026-04-23,275508.4437808613,1
2026-04-24,313498.683836468,1
2026-04-27,301454.1786106688,1
2026-04-28,267666.09316786757,1
2026-04-29,288212.57796091784,1
2026-04-30,310224.91937183443,1
2026-05-01,318580.3002297343,1
2026-05-04,311617.4859547141,1
2026-05-05,352197.38801715226,1
2026-05-06,405188.2454803225,1
2026-05-07,371595.6125570709,1
2026-05-08,432282.22192388354,1
2026-05-11,465215.2072534995,1
2026-05-12,421483.72185036907,1
2026-05-13,450116.86358616105,1
2026-05-14,454880.9022540709,1
2026-05-15,401108.234712702,1
2026-05-18,370740.5124438856,1
2026-05-19,371082.54503340845,1
2026-05-20,423145.0123484068,1
2026-05-21,435824.71030367515,1
2026-05-22,465557.2398430223,1
2026-05-26,551627.6627057816,1
2026-05-27,532547.0531699758,1
2026-05-28,548793.6943692021,1
2026-05-29,548085.17432599,1
2026-06-01,554657.1208406672,1
2026-06-02,650646.563357102,1
2026-06-03,685387.4565334852,1
2026-06-04,641802.5512003279,1
2026-06-05,563425.7931527579,0
2026-06-08,563425.7931527579,0
2026-06-09,563425.7931527579,0
2026-06-10,563425.7931527579,0
2026-06-11,563425.7931527579,0
2026-06-12,563425.7931527579,0
2026-06-15,563425.7931527579,0
2026-06-16,476599.278381565,1
