date,equity,position
2016-09-06,100000.0,0
2016-09-07,97429.47573837322,1
2016-09-08,96994.85237802443,1
2016-09-09,86311.66701060312,1
2016-09-12,91481.68470865289,1
2016-09-13,89836.19556133752,0
2016-09-14,89836.19556133752,0
2016-09-15,89836.19556133752,0
2016-09-16,89836.19556133752,0
2016-09-19,88165.11593324564,1
2016-09-20,87056.12034854278,1
2016-09-21,90465.26362843357,1
2016-09-22,91512.64549109217,1
2016-09-23,88596.38995380097,1
2016-09-26,85844.45481265901,1
2016-09-27,90465.26362843357,1
2016-09-28,90928.74532798435,0
2016-09-29,94177.24206659404,1
2016-09-30,98561.37255477656,1
2016-10-03,96512.72193879417,1
2016-10-04,95775.20390720596,1
2016-10-05,98008.2285361317,1
2016-10-06,99708.645620018,1
2016-10-07,99135.00908739728,1
2016-10-10,97659.96569761592,1
2016-10-11,91554.92561157123,1
2016-10-12,90530.60763018497,1
2016-10-13,87252.72854626754,1
2016-10-14,89383.36387136322,1
2016-10-17,88864.18516524536,0
2016-10-18,87944.62041175655,1
2016-10-19,85485.37775084702,0
2016-10-20,87392.38561381013,1
2016-10-21,86689.18572294952,1
2016-10-24,91513.91112773471,1
2016-10-25,91299.05245033388,1
2016-10-26,90771.65427860939,1
2016-10-27,89560.59517368239,1
2016-10-28,88017.44364540599,1
2016-10-31,89404.30446946909,1
2016-11-01,86884.49845700843,1
2016-11-02,85146.03419467312,1
2016-11-03,84579.5790646839,1
2016-11-04,82953.39808756922,0
2016-11-07,82953.39808756922,0
2016-11-08,82953.39808756922,0
2016-11-09,87616.91346902534,1
2016-11-10,82124.11808379076,1
2016-11-11,91387.22176208682,1
2016-11-14,91773.83648441333,0
2016-11-15,95289.59296262637,1
2016-11-16,98589.97772565129,1
2016-11-17,101813.62818609599,1
2016-11-18,103905.1697601006,1
2016-11-21,105286.7371841365,1
2016-11-22,109508.19434574158,1
2016-11-23,109949.51608901084,1
2016-11-25,110410.03856368948,1
2016-11-28,109488.99361433221,1
2016-11-29,108855.7812161666,1
2016-11-30,106898.56241435885,1
2016-12-01,91087.32967012493,1
2016-12-02,94617.97910164203,1
2016-12-05,96900.34901816805,0
2016-12-06,96900.34901816805,0
2016-12-07,103378.88140100027,1
2016-12-08,106027.2844954063,1
2016-12-09,104693.94466745578,1
2016-12-12,102319.5397592652,1
2016-12-13,105771.5889987223,1
2016-12-14,105534.13740348777,1
2016-12-15,111086.65215300203,1
2016-12-16,107470.2183722357,1
2016-12-19,110812.67356281393,1
2016-12-20,108730.49114626089,1
2016-12-21,108730.49114626089,1
2016-12-22,110483.91754421372,1
2016-12-23,112127.74989328766,1
2016-12-27,116219.06073648664,1
