date,equity,position
2024-09-04,100000.0,0
2024-09-05,100000.0,0
2024-09-06,100000.0,0
2024-09-09,100000.0,0
2024-09-10,100000.0,0
2024-09-11,100000.0,0
2024-09-12,100000.0,0
2024-09-13,100000.0,0
2024-09-16,100000.0,0
2024-09-17,100000.0,0
2024-09-18,100000.0,0
2024-09-19,100000.0,0
2024-09-20,100000.0,0
2024-09-23,100000.0,0
2024-09-24,100000.0,0
2024-09-25,100000.0,0
2024-09-26,100000.0,0
2024-09-27,100000.0,0
2024-09-30,101085.12261580017,1
2024-10-01,100736.25726669279,0
2024-10-02,100736.25726669279,0
2024-10-03,100736.25726669279,0
2024-10-04,100736.25726669279,0
2024-10-07,100736.25726669279,0
2024-10-08,100736.25726669279,0
2024-10-09,100736.25726669279,0
2024-10-10,100736.25726669279,0
2024-10-11,105377.1804112133,1
2024-10-14,107367.98478020853,0
2024-10-15,91313.33998228364,1
2024-10-16,91286.84365406148,1
2024-10-17,98367.34677065547,0
2024-10-18,98367.34677065547,0
2024-10-21,98367.34677065547,0
2024-10-22,98367.34677065547,0
2024-10-23,98367.34677065547,0
2024-10-24,98367.34677065547,0
2024-10-25,98367.34677065547,0
2024-10-28,98367.34677065547,0
2024-10-29,98367.34677065547,0
2024-10-30,98367.34677065547,0
2024-10-31,89576.39240008827,1
2024-11-01,91271.20030376158,0
2024-11-04,91271.20030376158,0
2024-11-05,91271.20030376158,0
2024-11-06,91271.20030376158,0
2024-11-07,91271.20030376158,0
2024-11-08,91271.20030376158,0
2024-11-11,91271.20030376158,0
2024-11-12,91271.20030376158,0
2024-11-13,91271.20030376158,0
2024-11-14,91271.20030376158,0
2024-11-15,91271.20030376158,0
2024-11-18,91271.20030376158,0
2024-11-19,91271.20030376158,0
2024-11-20,91271.20030376158,0
2024-11-21,91271.20030376158,0
2024-11-22,91271.20030376158,0
2024-11-25,91271.20030376158,0
2024-11-26,91271.20030376158,0
2024-11-27,91271.20030376158,0
2024-11-29,91271.20030376158,0
2024-12-02,91271.20030376158,0
2024-12-03,91271.20030376158,0
2024-12-04,91271.20030376158,0
2024-12-05,91271.20030376158,0
2024-12-06,91271.20030376158,0
2024-12-09,91271.20030376158,0
2024-12-10,91271.20030376158,0
2024-12-11,91271.20030376158,0
2024-12-12,91271.20030376158,0
2024-12-13,91271.20030376158,0
2024-12-16,91271.20030376158,0
2024-12-17,91271.20030376158,0
2024-12-18,79847.07056973192,1
2024-12-19,80168.49416515024,0
2024-12-20,80168.49416515024,0
2024-12-23,80168.49416515024,0
2024-12-24,80168.49416515024,0
2024-12-26,80168.49416515024,0
2024-12-27,80168.49416515024,0
2024-12-30,80168.49416515024,0
2024-12-31,80168.49416515024,0
2025-01-02,80168.49416515024,0
2025-01-03,80168.49416515024,0
2025-01-06,80168.49416515024,0
2025-01-07,80168.49416515024,0
2025-01-08,78476.2392900025,1
2025-01-10,75488.36744027704,0
2025-01-13,75488.36744027704,0
2025-01-14,75488.36744027704,0
2025-01-15,75488.36744027704,0
2025-01-16,75488.36744027704,0
2025-01-17,75488.36744027704,0
2025-01-21,75488.36744027704,0
2025-01-22,76412.95964784751,1
2025-01-23,75912.95292041404,1
2025-01-24,70978.183237412,1
2025-01-27,54478.197577212035,1
2025-01-28,55152.11283751788,1
2025-01-29,56704.045351280714,0
2025-01-30,56704.045351280714,0
2025-01-31,56704.045351280714,0
2025-02-03,56704.045351280714,0
2025-02-04,56704.045351280714,0
2025-02-05,56704.045351280714,0
2025-02-06,56704.045351280714,0
2025-02-07,56704.045351280714,0
2025-02-10,56704.045351280714,0
2025-02-11,56704.045351280714,0
2025-02-12,56704.045351280714,0
2025-02-13,56704.045351280714,0
2025-02-14,56704.045351280714,0
2025-02-18,56704.045351280714,0
2025-02-19,56704.045351280714,0
2025-02-20,56704.045351280714,0
2025-02-21,51144.202838808334,1
2025-02-24,47504.99496851421,1
2025-02-25,47280.14441822586,0
2025-02-26,47280.14441822586,0
2025-02-27,47280.14441822586,0
2025-02-28,47280.14441822586,0
2025-03-03,47280.14441822586,0
2025-03-04,47280.14441822586,0
2025-03-05,47280.14441822586,0
2025-03-06,47280.14441822586,0
2025-03-07,47280.14441822586,0
2025-03-10,47280.14441822586,0
2025-03-11,47280.14441822586,0
2025-03-12,47280.14441822586,0
2025-03-13,47280.14441822586,0
2025-03-14,47280.14441822586,0
2025-03-17,47280.14441822586,0
2025-03-18,47280.14441822586,0
2025-03-19,47280.14441822586,0
2025-03-20,47280.14441822586,0
2025-03-21,47280.14441822586,0
2025-03-24,47280.14441822586,0
2025-03-25,47280.14441822586,0
2025-03-26,47280.14441822586,0
2025-03-27,47280.14441822586,0
2025-03-28,47280.14441822586,0
2025-03-31,47280.14441822586,0
2025-04-01,47280.14441822586,0
2025-04-02,47280.14441822586,0
2025-04-03,47280.14441822586,0
2025-04-04,47280.14441822586,0
2025-04-07,47280.14441822586,0
2025-04-08,47280.14441822586,0
2025-04-09,47280.14441822586,0
2025-04-10,47280.14441822586,0
2025-04-11,47280.14441822586,0
2025-04-14,47280.14441822586,0
2025-04-15,47280.14441822586,0
2025-04-16,47280.14441822586,0
2025-04-17,47280.14441822586,0
2025-04-21,47280.14441822586,0
2025-04-22,47280.14441822586,0
2025-04-23,47280.14441822586,0
2025-04-24,47280.14441822586,0
2025-04-25,47280.14441822586,0
2025-04-28,47280.14441822586,0
2025-04-29,47280.14441822586,0
2025-04-30,47280.14441822586,0
2025-05-01,47280.14441822586,0
2025-05-02,47280.14441822586,0
2025-05-05,47280.14441822586,0
2025-05-06,48420.439688179205,1
2025-05-07,50872.105115808256,1
2025-05-08,52964.29870223508,0
2025-05-09,52539.032712430344,1
2025-05-12,63784.096964560784,1
2025-05-13,69257.6932863924,1
2025-05-14,70151.34007112397,1
2025-05-15,68773.63017253365,1
2025-05-16,68475.74791095646,1
2025-05-19,67246.9826941914,1
2025-05-20,66911.8642621579,1
2025-05-21,63300.04095277536,1
2025-05-22,61475.51121285593,1
2025-05-23,58571.15383592336,1
2025-05-27,62269.589905304034,0
2025-05-28,62269.589905304034,0
2025-05-29,58854.07089612029,1
2025-05-30,55329.66794577255,1
2025-06-02,57827.54253339959,1
2025-06-03,57872.267130284046,0
2025-06-04,57872.267130284046,0
2025-06-05,55797.323589559885,1
2025-06-06,56894.88111966481,1
2025-06-09,61047.79095264127,1
2025-06-10,64933.72748526497,1
2025-06-11,64192.13624159445,1
2025-06-12,64340.457885063865,1
2025-06-13,59445.956808416886,1
2025-06-16,64963.39181395885,1
2025-06-17,63539.53798400558,1
2025-06-18,64103.148913404984,1
2025-06-20,62916.59839721841,1
2025-06-23,64014.155927323336,1
2025-06-24,71044.4434067924,1
2025-06-25,72913.25085136954,1
2025-06-26,74752.39962514499,1
2025-06-27,74485.42632479222,1
2025-06-30,74485.42632479222,1
2025-07-01,73298.87580860565,1
2025-07-02,77273.805327311,1
2025-07-03,78401.0271861098,1
2025-07-07,74070.13138097005,1
2025-07-08,78223.04687183868,1
2025-07-09,79053.62544369868,1
2025-07-10,81189.41184652076,1
2025-07-11,80952.10287486188,1
2025-07-14,78608.6718290748,1
2025-07-15,80952.10287486188,1
2025-07-16,80180.84730249748,1
2025-07-17,81041.09020305135,1
2025-07-18,81070.75453174523,1
2025-07-21,81575.03680375687,1
2025-07-22,78074.72522836928,1
2025-07-23,76472.8910841449,1
2025-07-24,75998.27314082714,1
2025-07-25,74588.74323242427,0
2025-07-28,74588.74323242427,0
2025-07-29,74588.74323242427,0
2025-07-30,74138.30300051624,1
2025-07-31,67076.23086110075,1
2025-08-01,64659.554188014044,1
2025-08-04,65962.97649230716,0
2025-08-05,65962.97649230716,0
2025-08-06,65962.97649230716,0
2025-08-07,65962.97649230716,0
2025-08-08,65962.97649230716,0
2025-08-11,65962.97649230716,0
2025-08-12,65962.97649230716,0
2025-08-13,65962.97649230716,0
2025-08-14,68943.5285737975,1
2025-08-15,64139.51155782098,1
2025-08-18,64514.45900932519,1
2025-08-19,61491.44015313055,1
2025-08-20,60460.33242663088,1
2025-08-21,59405.79439542262,1
2025-08-22,59838.01333812519,0
2025-08-25,59838.01333812519,0
2025-08-26,60668.502689637,1
2025-08-27,61189.63463241725,1
2025-08-28,61949.620268734136,1
2025-08-29,56542.87170310198,1
2025-09-02,54827.47543422703,1
2025-09-03,55119.72183268445,0
2025-09-04,55119.72183268445,0
2025-09-05,55119.72183268445,0
2025-09-08,55119.72183268445,0
2025-09-09,55084.92435156742,1
2025-09-10,57962.79763720446,1
2025-09-11,59117.99961355725,1
2025-09-12,59381.465171180214,1
2025-09-15,60800.13657072455,1
2025-09-16,61772.937828119684,1
2025-09-17,61752.67065206121,1
2025-09-18,68177.21857099052,1
2025-09-19,66920.68457991394,1
2025-09-22,69778.29068949251,1
2025-09-23,69514.82126630098,1
2025-09-24,69312.15723685343,1
2025-09-25,68602.81767151268,1
2025-09-26,68947.3557989381,1
2025-09-29,68947.3557989381,1
2025-09-30,70609.22558004693,1
2025-10-01,74703.10237021217,1
2025-10-02,79202.31495040968,1
2025-10-03,77479.63977555686,1
2025-10-06,84532.45469002445,1
2025-10-07,78695.64714565365,1
2025-10-08,86700.99227588932,1
2025-10-09,85606.59569328051,1
2025-10-10,69332.42054734331,1
2025-10-13,79323.91027562335,1
2025-10-14,74142.48117807008,0
2025-10-15,74873.7083584112,1
2025-10-16,77549.06925489787,0
2025-10-17,78801.58274276502,1
2025-10-20,82615.51034210663,1
2025-10-21,81187.72631066648,1
2025-10-22,75085.44662832715,1
2025-10-23,80522.7337679043,1
2025-10-24,84858.03753075698,0
2025-10-27,87289.06495198926,1
2025-10-28,87512.68994185554,1
2025-10-29,92022.50440910526,1
2025-10-30,88314.02052352912,1
2025-10-31,89040.8070722772,1
2025-11-03,90531.65929514635,1
2025-11-04,79760.28824035899,1
2025-11-05,87270.432498213,1
2025-11-06,80151.63374985252,1
2025-11-07,77784.92113020478,1
2025-11-10,83785.57360250315,1
2025-11-11,77915.3696333693,1
2025-11-12,81456.12589040791,1
2025-11-13,73088.75368955155,1
2025-11-14,72417.87161104247,1
2025-11-17,70558.2286168175,0
2025-11-18,70558.2286168175,0
2025-11-19,70558.2286168175,0
2025-11-20,70558.2286168175,0
2025-11-21,70558.2286168175,0
2025-11-24,70558.2286168175,0
2025-11-25,70558.2286168175,0
2025-11-26,70558.2286168175,0
2025-11-28,70558.2286168175,0
2025-12-01,70558.2286168175,0
2025-12-02,72151.5057380623,1
2025-12-03,76730.9892222236,1
2025-12-04,74391.82750862802,1
2025-12-05,76599.20263151714,1
2025-12-08,79053.67447001561,1
2025-12-09,78724.21427717997,1
2025-12-10,81788.18338786953,1
2025-12-11,80371.50895742765,1
2025-12-12,68708.65960498742,1
2025-12-15,67835.59543531392,1
2025-12-16,66698.964368158,1
2025-12-17,67471.54280826474,0
2025-12-18,67471.54280826474,0
2025-12-19,67471.54280826474,0
2025-12-22,67471.54280826474,0
2025-12-23,69112.17703205899,1
2025-12-24,69918.74668122357,1
2025-12-26,69918.74668122357,1
2025-12-29,69301.95706133329,1
2025-12-30,69064.72749999164,1
2025-12-31,66471.04497891547,1
2026-01-02,74710.73917613708,1
2026-01-05,77842.13680765576,1
2026-01-06,85417.5858199214,1
2026-01-07,82697.38529032847,1
2026-01-08,78522.18844830358,1
2026-01-09,85322.69882178343,1
2026-01-12,86429.76005304721,1
2026-01-13,88675.50749295518,1
2026-01-14,87584.26478337997,1
2026-01-15,91854.3546565412,1
2026-01-16,96076.99499763509,1
2026-01-20,91632.93758388977,1
2026-01-21,100394.52836986531,1
2026-01-22,100774.09446141229,1
2026-01-23,97421.27975724217,1
2026-01-26,95997.92048818733,1
2026-01-27,102735.16884090962,1
2026-01-28,110848.33296361777,1
2026-01-29,111449.31612781617,1
2026-01-30,97721.77133934137,1
2026-02-02,103114.72889945823,1
2026-02-03,96788.67764866169,1
2026-02-04,84120.74455938331,1
2026-02-05,84215.63759051965,1
2026-02-06,89108.21270459276,0
2026-02-09,89108.21270459276,0
2026-02-10,87188.43188838646,1
2026-02-11,93671.81941568505,1
2026-02-12,86858.06608564426,1
2026-02-13,88909.06982650553,1
2026-02-17,88578.70927474962,1
2026-02-18,91249.15086487237,1
2026-02-19,89790.04880114226,1
2026-02-20,92377.89237684659,1
2026-02-23,90657.24918774122,1
2026-02-24,94332.54051919686,1
2026-02-25,98916.33649544697,1
2026-02-26,89941.45573996875,1
2026-02-27,86403.81901423332,1
2026-03-02,86390.05092816814,1
2026-03-03,73533.40480913341,1
2026-03-04,77938.25242344041,1
2026-03-05,76072.63577241111,0
2026-03-06,76072.63577241111,0
2026-03-09,76072.63577241111,0
2026-03-10,76072.63577241111,0
2026-03-11,76072.63577241111,0
2026-03-12,76072.63577241111,0
2026-03-13,76072.63577241111,0
2026-03-16,76072.63577241111,0
2026-03-17,76072.63577241111,0
2026-03-18,76072.63577241111,0
2026-03-19,76072.63577241111,0
2026-03-20,76072.63577241111,0
2026-03-23,76072.63577241111,0
2026-03-24,76072.63577241111,0
2026-03-25,76072.63577241111,0
2026-03-26,76072.63577241111,0
2026-03-27,76072.63577241111,0
2026-03-30,76072.63577241111,0
2026-03-31,76072.63577241111,0
2026-04-01,76072.63577241111,0
2026-04-02,76072.63577241111,0
2026-04-06,76072.63577241111,0
2026-04-07,76072.63577241111,0
2026-04-08,76072.63577241111,0
2026-04-09,80302.96710760899,1
2026-04-10,85222.88583286526,1
2026-04-13,89875.0560215646,1
2026-04-14,95174.29297588463,1
2026-04-15,95899.45341931662,1
2026-04-16,98588.12299116854,1
2026-04-17,105627.73820046731,1
2026-04-20,107033.43291264304,1
2026-04-21,109432.02809323515,1
2026-04-22,117855.0291831518,1
2026-04-23,125809.45969462818,1
2026-04-24,143157.49995602475,1
2026-04-27,137657.4409598214,1
2026-04-28,122228.29216372903,1
2026-04-29,131610.73473051153,1
2026-04-30,141662.55289447255,1
2026-05-01,145477.99294723308,1
2026-05-04,142298.46098852807,1
2026-05-05,160829.05657708665,1
2026-05-06,185027.04867746387,1
2026-05-07,169687.152230748,1
2026-05-08,197399.36834420575,1
2026-05-11,212438.04023966915,1
2026-05-12,192468.2909473843,1
2026-05-13,205543.4622260003,1
2026-05-14,207718.9350447237,1
2026-05-15,183163.9335468406,1
2026-05-18,169296.67533011903,1
2026-05-19,169452.86268574162,1
2026-05-20,179436.62578860635,0
2026-05-21,179436.62578860635,0
2026-05-22,184844.60565156737,1
2026-05-26,219017.9618165254,1
2026-05-27,211442.20647776878,1
2026-05-28,217892.7644943214,1
2026-05-29,217611.45406291678,1
2026-06-01,220220.77630711236,1
2026-06-02,258332.37490376795,1
2026-06-03,272125.8811573428,1
2026-06-04,254820.95289248577,1
2026-06-05,177065.14224865093,1
2026-06-08,205098.36466717362,1
2026-06-09,220029.6254693422,0
2026-06-10,220029.6254693422,0
2026-06-11,220029.6254693422,0
2026-06-12,220029.6254693422,0
2026-06-15,225189.5821825901,1
2026-06-16,186919.7509859057,1
2026-06-17,193258.11312537736,1
2026-06-18,230800.73516331366,1
2026-06-22,248551.44278550817,1
2026-06-23,191241.73466554334,1
