date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,98680.25407504846,1
2016-09-14,101501.1464094123,1
2016-09-15,108515.24627064631,1
2016-09-16,108566.06030459006,1
2016-09-19,110945.50034319542,0
2016-09-20,110945.50034319542,0
2016-09-21,110945.50034319542,0
2016-09-22,110945.50034319542,0
2016-09-23,110945.50034319542,0
2016-09-26,110945.50034319542,0
2016-09-27,110945.50034319542,0
2016-09-28,110884.66874509658,1
2016-09-29,114960.95172616252,1
2016-09-30,120312.60359399657,1
2016-10-03,117811.84205756096,1
2016-10-04,119617.69226301265,0
2016-10-05,119617.69226301265,0
2016-10-06,119617.69226301265,0
2016-10-07,119617.69226301265,0
2016-10-10,119617.69226301265,0
2016-10-11,119617.69226301265,0
2016-10-12,119617.69226301265,0
2016-10-13,119617.69226301265,0
2016-10-14,119617.69226301265,0
2016-10-17,118039.53440082175,1
2016-10-18,122360.4154178452,1
2016-10-19,120544.0026872142,1
2016-10-20,123131.0293726472,1
2016-10-21,119846.07863704136,0
2016-10-24,119846.07863704136,0
2016-10-25,119846.07863704136,0
2016-10-26,119846.07863704136,0
2016-10-27,119846.07863704136,0
2016-10-28,119846.07863704136,0
2016-10-31,119846.07863704136,0
2016-11-01,115368.89399171773,1
2016-11-02,113060.48797278912,1
2016-11-03,112308.32500927581,1
2016-11-04,110337.07885861107,1
2016-11-07,116497.27084097029,0
2016-11-08,116933.85653819605,1
2016-11-09,115073.79139231055,1
2016-11-10,107859.69578798885,1
2016-11-11,120025.61693400616,1
2016-11-14,120533.38672575905,0
2016-11-15,120533.38672575905,0
2016-11-16,120533.38672575905,0
2016-11-17,120533.38672575905,0
2016-11-18,120533.38672575905,0
2016-11-21,120533.38672575905,0
2016-11-22,120533.38672575905,0
2016-11-23,120533.38672575905,0
2016-11-25,120533.38672575905,0
2016-11-28,120533.38672575905,0
2016-11-29,120533.38672575905,0
2016-11-30,120533.38672575905,0
2016-12-01,120533.38672575905,0
2016-12-02,120533.38672575905,0
2016-12-05,121746.91413829976,1
2016-12-06,126796.9006831604,1
2016-12-07,134824.41295712217,1
2016-12-08,138278.4007313956,1
2016-12-09,142066.5906380073,0
2016-12-12,142066.5906380073,0
2016-12-13,142066.5906380073,0
2016-12-14,142066.5906380073,0
2016-12-15,142066.5906380073,0
2016-12-16,142066.5906380073,0
2016-12-19,142066.5906380073,0
2016-12-20,142066.5906380073,0
2016-12-21,142066.5906380073,0
2016-12-22,142066.5906380073,0
2016-12-23,142066.5906380073,0
2016-12-27,142066.5906380073,0
2016-12-28,142066.5906380073,0
2016-12-29,142066.5906380073,0
2016-12-30,142066.5906380073,0
2017-01-03,142066.5906380073,0
2017-01-04,141312.48262098775,1
2017-01-05,137419.10614735374,1
2017-01-06,140724.80166621282,1
2017-01-09,145254.86388716698,1
2017-01-10,145060.6532355271,0
2017-01-11,145060.6532355271,0
2017-01-12,145060.6532355271,0
2017-01-13,145060.6532355271,0
2017-01-17,145060.6532355271,0
2017-01-18,145060.6532355271,0
2017-01-19,145014.03801103472,1
2017-01-20,150640.61983742888,1
2017-01-23,147667.63342737255,1
2017-01-24,156439.23415185596,1
2017-01-25,162345.57672517336,0
2017-01-26,162345.57672517336,0
2017-01-27,162345.57672517336,0
2017-01-30,162345.57672517336,0
2017-01-31,162345.57672517336,0
2017-02-01,162345.57672517336,0
2017-02-02,165116.49614726324,1
2017-02-03,167975.64289797115,1
2017-02-06,169725.66023286514,1
2017-02-07,171598.890663417,1
2017-02-08,173347.90958262258,0
2017-02-09,173347.90958262258,0
2017-02-10,173347.90958262258,0
2017-02-13,173347.90958262258,0
2017-02-14,171956.10395856277,1
2017-02-15,176246.75317880677,1
2017-02-16,176906.84188392176,1
2017-02-17,179750.36238341418,1
2017-02-21,183096.0970011477,0
2017-02-22,183096.0970011477,0
2017-02-23,183096.0970011477,0
2017-02-24,183096.0970011477,0
2017-02-27,183096.0970011477,0
2017-02-28,175055.97490232022,1
2017-03-01,183266.87576646113,1
2017-03-02,177582.41566765614,1
2017-03-03,177253.96806803418,1
2017-03-06,174249.9719378529,0
2017-03-07,174249.9719378529,0
2017-03-08,174249.9719378529,0
2017-03-09,174249.9719378529,0
2017-03-10,174249.9719378529,0
2017-03-13,174249.9719378529,0
2017-03-14,174249.9719378529,0
2017-03-15,174249.9719378529,0
2017-03-16,174249.9719378529,0
2017-03-17,174249.9719378529,0
2017-03-20,174249.9719378529,0
2017-03-21,174249.9719378529,0
2017-03-22,174249.9719378529,0
2017-03-23,172809.4638356586,1
2017-03-24,176447.57428056205,1
2017-03-27,177368.59342674218,1
2017-03-28,179141.60839700524,1
2017-03-29,178962.46678860823,0
2017-03-30,178962.46678860823,0
2017-03-31,178962.46678860823,0
2017-04-03,178962.46678860823,0
2017-04-04,178962.46678860823,0
2017-04-05,178962.46678860823,0
2017-04-06,178962.46678860823,0
2017-04-07,181089.0076438358,1
2017-04-10,176886.60009862328,1
2017-04-11,172588.09227705252,1
2017-04-12,163486.83788269587,1
2017-04-13,160828.37495562475,0
2017-04-17,160828.37495562475,0
2017-04-18,160828.37495562475,0
2017-04-19,160828.37495562475,0
2017-04-20,160828.37495562475,0
2017-04-21,160828.37495562475,0
2017-04-24,160828.37495562475,0
2017-04-25,160828.37495562475,0
2017-04-26,160828.37495562475,0
2017-04-27,160828.37495562475,0
2017-04-28,160828.37495562475,0
2017-05-01,160828.37495562475,0
2017-05-02,160828.37495562475,0
2017-05-03,160828.37495562475,0
2017-05-04,160828.37495562475,0
2017-05-05,160828.37495562475,0
2017-05-08,160828.37495562475,0
2017-05-09,160828.37495562475,0
2017-05-10,160828.37495562475,0
2017-05-11,160828.37495562475,0
2017-05-12,160828.37495562475,0
2017-05-15,160828.37495562475,0
2017-05-16,160828.37495562475,0
2017-05-17,160828.37495562475,0
2017-05-18,160828.37495562475,0
2017-05-19,161467.43085659147,1
2017-05-22,166629.14378415525,1
2017-05-23,164702.58181832635,1
2017-05-24,167774.16890544628,1
2017-05-25,169966.80326287184,0
2017-05-26,169966.80326287184,0
2017-05-30,169966.80326287184,0
2017-05-31,169966.80326287184,0
2017-06-01,169966.80326287184,0
2017-06-02,169966.80326287184,0
2017-06-05,169966.80326287184,0
2017-06-06,169966.80326287184,0
2017-06-07,169966.80326287184,0
2017-06-08,169966.80326287184,0
2017-06-09,169966.80326287184,0
2017-06-12,169966.80326287184,0
2017-06-13,169966.80326287184,0
2017-06-14,162375.79712025757,1
2017-06-15,158464.39823358136,1
2017-06-16,156630.92141889385,1
2017-06-19,165553.82276641336,1
2017-06-20,167289.67146505427,0
2017-06-21,167289.67146505427,0
2017-06-22,167289.67146505427,0
2017-06-23,167289.67146505427,0
2017-06-26,167289.67146505427,0
2017-06-27,167289.67146505427,0
2017-06-28,167289.67146505427,0
2017-06-29,157886.71603887057,1
2017-06-30,155520.50832717217,1
2017-07-03,148841.71935244292,1
2017-07-05,158287.45566118867,1
2017-07-06,152638.95831918213,0
2017-07-07,152638.95831918213,0
2017-07-10,152638.95831918213,0
2017-07-11,152638.95831918213,0
2017-07-12,152638.95831918213,0
2017-07-13,152638.95831918213,0
2017-07-14,152638.95831918213,0
2017-07-17,152638.95831918213,0
2017-07-18,152638.95831918213,0
2017-07-19,152638.95831918213,0
2017-07-20,152638.95831918213,0
2017-07-21,152638.95831918213,0
2017-07-24,152638.95831918213,0
2017-07-25,152638.95831918213,0
2017-07-26,152638.95831918213,0
2017-07-27,144102.34388683512,1
2017-07-28,142695.00169689266,1
2017-07-31,139491.04994969786,1
2017-08-01,141826.63273640946,1
2017-08-02,144018.05330759793,0
2017-08-03,144018.05330759793,0
2017-08-04,144018.05330759793,0
2017-08-07,144018.05330759793,0
2017-08-08,142441.85015162668,1
2017-08-09,141039.35913853877,1
2017-08-10,129267.42870437026,1
2017-08-11,131400.99251609616,1
2017-08-14,135934.9043615453,0
2017-08-15,135934.9043615453,0
2017-08-16,135934.9043615453,0
2017-08-17,135934.9043615453,0
2017-08-18,135934.9043615453,0
2017-08-21,135934.9043615453,0
2017-08-22,135934.9043615453,0
2017-08-23,135934.9043615453,0
2017-08-24,135934.9043615453,0
2017-08-25,135934.9043615453,0
2017-08-28,135934.9043615453,0
2017-08-29,135934.9043615453,0
2017-08-30,135934.9043615453,0
2017-08-31,135934.9043615453,0
2017-09-01,135934.9043615453,0
2017-09-05,135934.9043615453,0
2017-09-06,135934.9043615453,0
2017-09-07,135934.9043615453,0
2017-09-08,135934.9043615453,0
2017-09-11,135934.9043615453,0
2017-09-12,135812.51421552373,1
2017-09-13,136361.9173265259,1
2017-09-14,138264.7722842268,1
2017-09-15,145273.14358241527,1
2017-09-18,147818.6429529928,0
2017-09-19,147818.6429529928,0
2017-09-20,147818.6429529928,0
2017-09-21,147818.6429529928,0
2017-09-22,147818.6429529928,0
2017-09-25,141274.95453185865,1
2017-09-26,141027.89663132298,1
2017-09-27,150910.14393283732,1
2017-09-28,154300.31316544398,1
2017-09-29,155188.0791033058,0
