date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,100000.0,0
2016-09-14,100000.0,0
2016-09-15,100000.0,0
2016-09-16,100000.0,0
2016-09-19,100000.0,0
2016-09-20,100000.0,0
2016-09-21,100000.0,0
2016-09-22,100355.54234756068,1
2016-09-23,98549.27581615574,1
2016-09-26,96102.32277492697,1
2016-09-27,98827.1684109968,1
2016-09-28,99367.48567730279,1
2016-09-29,97260.18208546826,1
2016-09-30,99259.4045565106,1
2016-10-03,99035.57460647936,1
2016-10-04,98472.0598719919,1
2016-10-05,99498.72009744897,1
2016-10-06,99344.33237794877,1
2016-10-07,98695.92515708512,1
2016-10-10,100463.5792995254,1
2016-10-11,96310.73780417502,1
2016-10-12,96110.02581843582,1
2016-10-13,94983.06701958485,1
2016-10-14,95199.19392610724,1
2016-10-17,94543.08366173474,1
2016-10-18,96966.84806854752,1
2016-10-19,97005.45162374669,1
2016-10-20,96596.33344252493,1
2016-10-21,97646.14696733601,1
2016-10-24,101204.60855157059,1
2016-10-25,100193.43391702065,1
2016-10-26,98271.39205508017,1
2016-10-27,96897.37050295451,1
2016-10-28,95222.34722546126,1
2016-10-31,94682.02995915526,1
2016-11-01,92736.82596409529,1
2016-11-02,90320.72926572937,1
2016-11-03,87719.42384006237,1
2016-11-04,86822.00810540175,0
2016-11-07,86822.00810540175,0
2016-11-08,86822.00810540175,0
2016-11-09,86822.00810540175,0
2016-11-10,86822.00810540175,0
2016-11-11,86822.00810540175,0
2016-11-14,86822.00810540175,0
2016-11-15,86822.00810540175,0
2016-11-16,86822.00810540175,0
2016-11-17,86822.00810540175,0
2016-11-18,86822.00810540175,0
2016-11-21,86822.00810540175,0
2016-11-22,86822.00810540175,0
2016-11-23,86822.00810540175,0
2016-11-25,86822.00810540175,0
2016-11-28,86822.00810540175,0
2016-11-29,86822.00810540175,0
2016-11-30,86822.00810540175,0
2016-12-01,86822.00810540175,0
2016-12-02,86822.00810540175,0
2016-12-05,86822.00810540175,0
2016-12-06,86822.00810540175,0
2016-12-07,86822.00810540175,0
2016-12-08,86822.00810540175,0
2016-12-09,86822.00810540175,0
2016-12-12,86822.00810540175,0
2016-12-13,86822.00810540175,0
2016-12-14,85932.77276316157,1
2016-12-15,86454.73119087312,1
2016-12-16,85404.29601502843,1
2016-12-19,86448.22033702703,1
2016-12-20,87492.11479272357,1
2016-12-21,87185.45506988805,1
2016-12-22,86428.65044261121,1
2016-12-23,86696.12557716205,1
2016-12-27,88215.87837185027,1
2016-12-28,87198.07586427889,1
2016-12-29,86989.29921311223,1
2016-12-30,85739.8723333088,1
2017-01-03,86744.63446674924,1
2017-01-04,87468.84375863032,1
2017-01-05,88235.45199955383,1
2017-01-06,89351.12264564307,1
2017-01-09,89807.83813653456,1
2017-01-10,90068.80241723929,1
2017-01-11,90421.12024932806,1
2017-01-12,90186.24045017296,1
2017-01-13,90714.71719830611,1
2017-01-17,90277.59400155698,1
2017-01-18,90590.7645782386,1
2017-01-19,90466.79702502006,1
2017-01-20,90766.92349428296,1
2017-01-23,90871.30248664692,1
2017-01-24,91843.44688496506,1
2017-01-25,93233.14458561654,1
2017-01-26,93435.38798321057,1
2017-01-27,93670.26778236567,1
2017-01-30,92548.0825491426,1
2017-01-31,92280.57008171419,1
2017-02-01,93193.99733020939,1
2017-02-02,93070.02977699086,1
2017-02-03,93494.10886632127,1
2017-02-06,93676.79730265052,1
2017-02-07,94185.7004230801,1
2017-02-08,94466.25326463944,1
2017-02-09,94988.20049248771,1
2017-02-10,95490.57409263242,1
2017-02-13,96390.93856727013,1
2017-02-14,96880.26805999613,1
2017-02-15,97787.16578820646,1
2017-02-16,97741.48901251446,1
2017-02-17,98413.5069415697,1
2017-02-21,99274.72789408802,1
2017-02-22,99281.2574143729,1
2017-02-23,98687.53026284417,1
2017-02-24,98981.12721182223,1
2017-02-27,99144.2420204479,1
2017-02-28,98713.63341083261,1
2017-03-01,100475.21883798865,1
2017-03-02,99587.89847076964,1
2017-03-03,99874.96589946284,1
2017-03-06,99490.0303322518,1
2017-03-07,99216.00701097731,1
2017-03-08,99496.55985253665,1
2017-03-09,99666.18924829617,1
2017-03-10,100272.95677395584,1
2017-03-13,100599.17145805617,1
2017-03-14,100181.62188901061,1
2017-03-15,101160.2808744626,1
2017-03-16,101127.6482061893,1
2017-03-17,100990.63654555206,1
2017-03-20,101160.2808744626,1
2017-03-21,98622.27985944861,1
2017-03-22,99692.29239628461,1
2017-03-23,99248.6247460996,1
2017-03-24,99548.75121536251,1
2017-03-27,99842.34816434055,1
2017-03-28,100886.25755318813,1
2017-03-29,101636.55132661888,1
2017-03-30,101923.63368846307,1
2017-03-31,101786.62202782584,1
2017-04-03,101662.6544746073,1
2017-04-04,101923.63368846307,1
2017-04-05,101264.65986682655,1
2017-04-06,101310.33664251855,1
2017-04-07,101245.08623912297,1
2017-04-10,101310.33664251855,1
2017-04-11,100592.66060421008,1
2017-04-12,99848.87768462542,1
2017-04-13,99189.90386298888,1
2017-04-17,100494.79246569223,1
2017-04-18,100331.67765706655,1
2017-04-19,100527.41020081451,1
2017-04-20,101891.00102018978,1
2017-04-21,101864.91653864013,1
2017-04-24,103959.24617018134,1
2017-04-25,105283.69346743725,1
2017-04-26,105016.19593315988,1
2017-04-27,106079.66401656,1
2017-04-28,106431.98184864875,1
2017-05-01,107997.83473205686,1
2017-05-02,108376.25571213404,1
2017-05-03,107743.38130519819,1
2017-05-04,107808.63170859376,1
2017-05-05,108500.22326535257,1
2017-05-08,108885.15509927586,1
2017-05-09,109596.324017026,1
2017-05-10,109700.69927610218,1
2017-05-11,109544.11772104913,1
2017-05-12,109968.21174353058,1
2017-05-15,110581.49385632409,1
2017-05-16,111416.63032729275,1
2017-05-17,106334.11371013091,1
2017-05-18,107906.49611382386,1
2017-05-19,108676.38218139696,1
2017-05-22,110346.61779045674,1
2017-05-23,110509.7325990824,1
2017-05-24,111423.14118113884,1
2017-05-25,113191.25612857976,1
2017-05-26,113484.85681084555,1
2017-05-30,113628.39425847991,1
2017-05-31,113543.5739606685,1
2017-06-01,114372.17717806456,1
2017-06-02,116766.61834571767,1
2017-06-05,116707.90119589472,1
2017-06-06,115885.82376549576,1
2017-06-07,116668.75394048757,1
2017-06-08,116864.48275094776,1
2017-06-09,111612.35913775294,1
2017-06-12,110392.290832861,1
2017-06-13,111938.57382185326,1
2017-06-14,111031.67609364295,1
2017-06-15,110131.31161900522,1
2017-06-16,109341.87059016732,1
2017-06-19,112493.15371797484,1
2017-06-20,110946.87072898255,1
2017-06-21,112884.61880547073,1
2017-06-22,112806.32429465646,1
2017-06-23,113576.18796250303,1
2017-06-26,112656.25359344948,1
2017-06-27,108891.68835284848,1
2017-06-28,111605.82588418032,1
2017-06-29,108173.99364810123,1
2017-06-30,107952.17662280361,1
2017-07-03,106216.67567719723,1
2017-07-05,107984.79062463815,1
2017-07-06,106301.49597500863,1
2017-07-07,108160.94954068252,1
2017-07-10,109498.45214522039,1
2017-07-11,110033.44721377513,1
2017-07-12,112375.71195175342,1
2017-07-13,112825.89418907228,1
2017-07-14,114437.41264830911,1
2017-07-17,114476.55990371626,1
2017-07-18,115872.77965807708,1
2017-07-19,117184.186581202,1
2017-07-20,117458.20990247649,1
2017-07-21,117347.30138982768,1
2017-07-24,118299.85722729124,1
2017-07-25,117803.99448099264,1
2017-07-26,118462.97203591693,1
2017-07-27,117138.50607222226,1
2017-07-28,116903.63000635491,1
2017-07-31,115957.60742246397,1
2017-08-01,116427.35955419866,1
2017-08-02,116955.8363023318,1
2017-08-03,116198.99434217741,1
2017-08-04,116479.55091702449,1
2017-08-07,117758.3363717394,1
2017-08-08,117484.31305046493,1
2017-08-09,117197.23068862071,1
2017-08-10,112460.51731641378,1
2017-08-11,114019.8593459758,1
2017-08-14,116734.00434388316,1
2017-08-15,116864.48275094776,1
2017-08-16,117242.90373102497,1
2017-08-17,112754.1179986796,1
2017-08-18,112512.72361239066,1
2017-08-21,112388.75605917213,1
2017-08-22,115422.59742075822,1
2017-08-23,114626.63060492321,1
2017-08-24,114039.43670696713,1
2017-08-25,113569.67710865694,1
2017-08-28,114176.44836760435,1
2017-08-29,115037.66558683492,1
2017-08-30,117490.82390431102,1
2017-08-31,119572.11689500904,1
2017-09-01,119519.9255321832,1
2017-09-05,117503.88294488075,1
2017-09-06,118136.74241866558,1
2017-09-07,118593.45790955704,1
2017-09-08,116760.1074918716,1
2017-09-11,119069.74329486434,1
2017-09-12,119702.59530207366,1
2017-09-13,120015.76587875528,1
2017-09-14,118736.9953571914,1
2017-09-15,119337.23336256618,1
2017-09-18,119154.5486595247,1
2017-09-19,119474.24502320343,1
2017-09-20,118847.9038698402,1
2017-09-21,117412.53686007223,1
2017-09-22,117229.85962360626,1
2017-09-25,114939.80118160482,1
2017-09-26,115422.59742075822,1
2017-09-27,117353.81224367378,1
2017-09-28,117229.85962360626,1
2017-09-29,118776.14261259855,1
2017-10-02,118984.91553047745,1
2017-10-03,119454.67512878761,1
