entry_date,exit_date,return
2016-09-07,2016-09-13,-0.06091783545577523
2016-09-19,2016-10-17,-0.018319469345644213
2016-10-20,2016-11-01,-0.01508242225546741
2016-11-10,2016-11-14,-0.05990267699291141
2016-11-18,2016-12-05,-0.043514830626965484
2016-12-09,2017-03-02,0.3439803213662529
2017-03-03,2017-03-09,-0.0015265930944591277
2017-03-10,2017-03-23,-0.017771304795348386
2017-03-30,2017-04-17,-0.03615344615697558
2017-04-19,2017-04-20,0.0021331148789345278
2017-04-21,2017-05-19,0.10921615164596488
2017-05-24,2017-06-13,0.0033605964511724817
2017-06-27,2017-06-28,-0.0357942548504071
2017-07-14,2017-08-14,0.026899839034686845
2017-08-16,2017-08-21,-0.06672110725830782
2017-08-24,2017-08-25,-0.007507787629058238
2017-09-01,2017-09-27,-0.049174780126516326
2017-09-29,2017-10-30,0.12922474530017625
2017-10-31,2017-12-01,0.03423292454851756
2017-12-04,2017-12-05,-0.056630581957022974
2017-12-12,2018-02-05,0.13663149983878053
2018-02-27,2018-03-02,-0.13546123812347466
2018-03-08,2018-03-21,-0.042268818817798426
2018-04-19,2018-04-23,-0.04911017542809215
2018-05-09,2018-06-27,0.11070417436378621
2018-07-10,2018-08-01,-0.018618166140225156
2018-08-06,2018-09-10,0.0261448335810206
2018-09-13,2018-09-19,-0.016524960401710143
2018-09-20,2018-09-21,0.018884376961951554
2018-09-24,2018-10-08,-0.05062662605753154
2018-11-09,2018-11-13,-0.10103492888788768
2018-12-06,2018-12-07,0.06968911833565672
2019-01-23,2019-01-24,-0.005018754580463969
2019-01-29,2019-01-30,0.0005438093565464097
2019-02-01,2019-03-11,0.07101076263200334
2019-03-13,2019-05-03,0.22531748371079163
2019-05-07,2019-05-09,-0.06805482417500419
2019-06-12,2019-08-02,0.08879210603950272
2019-09-09,2019-09-26,-0.036406592249425995
2019-10-15,2019-12-04,0.1632454671868211
2019-12-10,2020-01-29,0.2875466089093939
2020-01-31,2020-02-04,0.021229970751897476
2020-02-05,2020-02-26,-0.17924079617574729
2020-04-15,2020-04-23,0.03601487497784617
2020-04-24,2020-09-08,0.9939294016500222
2020-10-14,2020-10-21,-0.10823531426464339
2020-11-09,2020-11-12,-0.07142470257580424
2020-11-13,2021-01-08,0.30015129639953186
2021-01-11,2021-02-02,0.0788422735591543
2021-02-03,2021-02-24,-0.10465020794279856
2021-02-26,2021-03-01,0.030793979109916325
2021-03-18,2021-03-22,-0.01669906576124003
2021-04-06,2021-05-06,-0.026514801801660437
2021-05-26,2021-06-07,0.008434411317049362
2021-06-08,2021-07-20,0.15587696522256533
2021-07-23,2021-08-20,-0.007596367858782371
2021-08-24,2021-09-22,-0.056233437461243097
2021-10-18,2021-11-12,0.2028804533346369
2021-11-16,2021-11-30,0.03074428529840123
2021-12-01,2021-12-02,-0.09325201852045906
2021-12-09,2021-12-13,-0.006033887063059851
2021-12-14,2021-12-15,0.003441482029970855
2021-12-28,2022-01-06,-0.16035570404970523
2022-02-04,2022-02-07,0.03660943950466544
2022-02-11,2022-02-14,-0.10183211443463358
2022-03-22,2022-03-23,0.02602205944325009
2022-03-24,2022-04-08,-0.024183956381865213
2022-06-06,2022-06-07,-0.06730446610378948
2022-07-22,2022-07-26,-0.07923971932042828
2022-07-29,2022-08-24,0.00328237480324467
