date,equity,position
2024-09-04,100000.0,0
2024-09-05,100000.0,0
2024-09-06,100000.0,0
2024-09-09,100000.0,0
2024-09-10,100000.0,0
2024-09-11,100000.0,0
2024-09-12,100000.0,0
2024-09-13,100000.0,0
2024-09-16,99945.22006166655,1
2024-09-17,100005.38410212786,1
2024-09-18,98696.85351622572,1
2024-09-19,106157.02240666834,1
2024-09-20,105480.18555781656,1
2024-09-23,106262.30660869631,1
2024-09-24,107766.37319487709,1
2024-09-25,107796.44947754906,1
2024-09-26,110082.63711460959,1
2024-09-27,108187.51000298893,1
2024-09-30,109029.78361921261,1
2024-10-01,104412.29965864228,1
2024-10-02,104803.36018408215,1
2024-10-03,104562.70402223688,1
2024-10-04,108247.67404345026,1
2024-10-07,104683.03210315952,1
2024-10-08,109225.31961949125,1
2024-10-09,111857.43614530763,1
2024-10-10,111466.37561986776,1
2024-10-11,111752.15194327966,1
2024-10-14,114609.86927692925,1
2024-10-15,110037.51695304296,1
2024-10-16,109977.35291258164,1
2024-10-17,110308.2379224428,1
2024-10-18,112263.52907452479,1
2024-10-21,112880.20188291525,1
2024-10-22,113211.08689277642,1
2024-10-23,107976.94159893302,1
2024-10-24,110548.89408428808,1
2024-10-25,112413.93343811939,1
2024-10-28,112519.21764014736,1
2024-10-29,115632.63501453689,1
2024-10-30,113060.68252918182,1
2024-10-31,104457.41982020892,1
2024-11-01,106683.44341680815,1
2024-11-04,106141.01546707182,0
2024-11-05,109009.0495875294,1
2024-11-06,114454.0338225074,0
2024-11-07,117748.77330371577,1
2024-11-08,118034.04761564087,1
2024-11-11,117820.08644043833,1
2024-11-12,117178.21379734817,1
2024-11-13,116664.71132986905,1
2024-11-14,114197.04608989904,1
2024-11-15,105938.22743421375,1
2024-11-18,108077.81742120422,1
2024-11-19,110245.94136889765,1
2024-11-20,110117.56031076916,1
2024-11-21,111201.62228461588,1
2024-11-22,111615.27765466947,1
2024-11-25,112128.78012214857,1
2024-11-26,113868.98171943694,1
2024-11-27,111116.04216754183,1
2024-11-29,113954.56183651098,1
2024-12-02,117648.92620629026,1
2024-12-03,118690.18723908252,1
2024-12-04,123026.42425195196,1
2024-12-05,122013.68629734524,1
2024-12-06,125151.74725859094,1
2024-12-09,122227.64747254776,1
2024-12-10,120901.10124531298,1
2024-12-11,127362.6612648214,1
2024-12-12,124837.93898596289,1
2024-12-13,127519.56540113543,1
2024-12-16,133068.23456346264,1
2024-12-17,131285.24290763726,1
2024-12-18,117092.62279775669,1
2024-12-19,115438.01220005979,1
2024-12-20,118433.43600534297,1
2024-12-23,118913.48607130621,0
2024-12-24,122236.2206946146,1
2024-12-26,121973.6112450543,1
2024-12-27,117011.7436225156,1
2024-12-30,112312.47490466693,1
2024-12-31,109368.5158392138,1
2025-01-02,111206.01707179038,0
2025-01-03,111206.01707179038,0
2025-01-06,111206.01707179038,0
2025-01-07,104485.2170005824,1
2025-01-08,104562.97509678191,1
2025-01-10,102024.33270742698,0
2025-01-13,102024.33270742698,0
2025-01-14,102024.33270742698,0
2025-01-15,102024.33270742698,0
2025-01-16,102024.33270742698,0
2025-01-17,102024.33270742698,0
2025-01-21,102024.33270742698,0
2025-01-22,103049.15145679153,1
2025-01-23,103682.9310467028,1
2025-01-24,101816.78335030183,1
2025-01-27,92885.07403111071,1
2025-01-28,97004.69509236344,1
2025-01-29,97212.54467501192,0
2025-01-30,96766.38258564375,1
2025-01-31,96242.82147208544,1
2025-02-03,93915.86740893686,1
2025-02-04,97324.85546651453,1
2025-02-05,95716.51944304303,0
2025-02-06,96802.65744710542,1
2025-02-07,93111.07983551214,1
2025-02-10,96386.22623861484,1
2025-02-11,95699.68189888957,1
2025-02-12,95891.01167573323,1
2025-02-13,99931.49435969384,1
2025-02-14,101101.99604403296,1
2025-02-18,101732.2628791611,1
2025-02-19,101743.52009742886,1
2025-02-20,100505.49227696647,1
2025-02-21,94214.04679698637,1
2025-02-24,90826.3453846894,1
2025-02-25,87359.86920474304,1
2025-02-26,88351.88998610697,0
2025-02-27,88351.88998610697,0
2025-02-28,88351.88998610697,0
2025-03-03,88351.88998610697,0
2025-03-04,88351.88998610697,0
2025-03-05,88351.88998610697,0
2025-03-06,88351.88998610697,0
2025-03-07,88351.88998610697,0
2025-03-10,88351.88998610697,0
2025-03-11,88351.88998610697,0
2025-03-12,88351.88998610697,0
2025-03-13,88351.88998610697,0
2025-03-14,88351.88998610697,0
2025-03-17,88351.88998610697,0
2025-03-18,88351.88998610697,0
2025-03-19,88351.88998610697,0
2025-03-20,88351.88998610697,0
2025-03-21,88351.88998610697,0
2025-03-24,88351.88998610697,0
2025-03-25,88351.88998610697,0
2025-03-26,88351.88998610697,0
2025-03-27,87840.63880042537,1
2025-03-28,86682.3008882798,0
2025-03-31,86682.3008882798,0
2025-04-01,86682.3008882798,0
2025-04-02,86682.3008882798,0
2025-04-03,86682.3008882798,0
2025-04-04,86682.3008882798,0
2025-04-07,86682.3008882798,0
2025-04-08,86682.3008882798,0
2025-04-09,86682.3008882798,0
2025-04-10,86682.3008882798,0
2025-04-11,86682.3008882798,0
2025-04-14,86682.3008882798,0
2025-04-15,86682.3008882798,0
2025-04-16,86682.3008882798,0
2025-04-17,86682.3008882798,0
2025-04-21,86682.3008882798,0
2025-04-22,86682.3008882798,0
2025-04-23,86682.3008882798,0
2025-04-24,86682.3008882798,0
2025-04-25,86682.3008882798,0
2025-04-28,86682.3008882798,0
2025-04-29,86682.3008882798,0
2025-04-30,86682.3008882798,0
2025-05-01,85407.19432932307,1
2025-05-02,89409.01081782069,1
2025-05-05,87859.4370078324,1
2025-05-06,85362.0628945443,1
2025-05-07,86354.99463262288,1
2025-05-08,88927.58971687302,1
2025-05-09,88716.96870258244,1
2025-05-12,99458.6863433396,1
2025-05-13,104017.14490374691,1
2025-05-14,105852.56643798003,1
2025-05-15,106183.54559700363,1
2025-05-16,107492.40311752587,1
2025-05-19,107778.2508417707,1
2025-05-20,106649.91906036357,1
2025-05-21,102211.81864468928,1
2025-05-22,102738.37118041572,1
2025-05-23,99774.61786477547,1
2025-05-27,106725.14577031782,1
2025-05-28,107219.58662447605,0
2025-05-29,103253.49452262491,1
2025-05-30,102710.59165099729,1
2025-06-02,105072.9361545355,1
2025-06-03,107523.31472579915,1
2025-06-04,108389.02410517479,1
2025-06-05,105865.27634776256,1
2025-06-06,108887.89874837361,1
2025-06-09,109372.10850999561,1
2025-06-10,111485.01569193442,1
2025-06-11,110340.5168386735,1
2025-06-12,111059.49904031807,1
2025-06-13,106863.03682872633,1
2025-06-16,111220.90229419207,1
2025-06-17,107934.15530127256,1
2025-06-18,107787.4281235415,1
2025-06-20,106305.45788095576,1
2025-06-23,109606.86975545209,1
2025-06-24,114595.6721602709,1
2025-06-25,115153.25110804146,1
2025-06-26,118307.92461024065,1
2025-06-27,119467.0883450784,1
2025-06-30,121785.41581475393,1
2025-07-01,118689.42422799428,1
2025-07-02,121051.76873153252,1
2025-07-03,124441.21467375428,1
2025-07-07,121668.02959474263,1
2025-07-08,121829.43284861663,1
2025-07-09,124353.18060602885,1
2025-07-10,123780.93677668144,1
2025-07-11,122841.86940572332,1
2025-07-14,124147.76031829214,1
2025-07-15,124470.56682604014,1
2025-07-16,124822.71429150792,1
2025-07-17,127727.96166667377,1
2025-07-18,127287.7689389145,1
2025-07-21,129224.59679083637,1
2025-07-22,127214.39975276591,1
2025-07-23,128887.11420694544,1
2025-07-24,129738.14751017814,1
2025-07-25,130471.79459339955,1
2025-07-28,131748.3445482486,1
2025-07-29,131146.7485666153,1
2025-07-30,131601.61737051752,1
2025-07-31,129430.01707857307,1
2025-08-01,121668.02959474263,1
2025-08-04,128329.54645374096,1
2025-08-05,129066.06057728347,0
2025-08-06,133148.59628026604,1
2025-08-07,136084.80928825683,0
2025-08-08,138841.39817692313,1
2025-08-11,137621.10468341177,1
2025-08-12,142698.0998505451,1
2025-08-13,142909.01250495398,1
2025-08-14,142517.31264939,1
2025-08-15,140498.57395894022,1
2025-08-18,140317.78675778507,1
2025-08-19,134592.9851538595,1
2025-08-20,132137.3526810264,1
2025-08-21,130299.38969785416,1
2025-08-22,130966.74854228152,0
2025-08-25,130966.74854228152,0
2025-08-26,132769.66438717357,1
2025-08-27,133370.30490648816,1
2025-08-28,135802.1389882141,1
2025-08-29,130909.16528993449,1
2025-09-02,127569.04963392309,1
2025-09-03,130542.92434209488,1
2025-09-04,130836.79741762044,0
2025-09-05,127756.36527343844,1
2025-09-08,129579.06759492897,1
2025-09-09,130636.5181595942,1
2025-09-10,130775.65387761928,1
2025-09-11,132974.0343146898,1
2025-09-12,134629.77802070018,1
2025-09-15,138066.48439433106,1
2025-09-16,137690.80627875106,1
2025-09-17,136814.24170135576,1
2025-09-18,140501.39661358172,1
2025-09-19,143284.15343558244,1
2025-09-22,145705.14889841812,1
2025-09-23,142769.33960197735,1
2025-09-24,141099.68975492686,1
2025-09-25,139207.41426673636,1
2025-09-26,140877.06411378688,1
2025-09-29,142755.4228455624,1
2025-09-30,143868.52982051263,1
2025-10-01,145899.94102672816,1
2025-10-02,147680.90369434867,1
2025-10-03,145677.31538558818,1
2025-10-06,148933.14638732397,1
2025-10-07,146526.0570655284,1
2025-10-08,151493.2775681847,1
2025-10-09,150894.98442683957,1
2025-10-10,135061.10193119035,1
2025-10-13,143631.99803833253,1
2025-10-14,138623.4114262314,0
2025-10-15,138623.4114262314,0
2025-10-16,138623.4114262314,0
2025-10-17,138623.4114262314,0
2025-10-20,138623.4114262314,0
2025-10-21,138318.0709261794,1
2025-10-22,134249.51710576646,1
2025-10-23,137612.17588851435,1
2025-10-24,141898.9149137332,1
2025-10-27,149432.8063633887,1
2025-10-28,152846.7947773902,1
2025-10-29,154797.65369281426,1
2025-10-30,147712.9699565808,1
2025-10-31,149805.00983793664,1
2025-11-03,151858.53780786163,1
2025-11-04,142566.3176239549,1
2025-11-05,145338.57793535522,1
2025-11-06,137188.63299071908,1
2025-11-07,135763.995819585,1
2025-11-10,141590.33706304248,0
2025-11-11,141590.33706304248,0
2025-11-12,138981.97901197895,1
2025-11-13,130397.61572764664,1
2025-11-14,130497.28181596627,1
2025-11-17,128711.37999857818,0
2025-11-18,128711.37999857818,0
2025-11-19,128711.37999857818,0
2025-11-20,128711.37999857818,0
2025-11-21,128711.37999857818,0
2025-11-24,128711.37999857818,0
2025-11-25,128711.37999857818,0
2025-11-26,128711.37999857818,0
2025-11-28,128711.37999857818,0
2025-12-01,130858.5955707735,1
2025-12-02,133884.92761096545,1
2025-12-03,134829.14172980413,1
2025-12-04,134393.34917716592,1
2025-12-05,135942.83893967545,1
2025-12-08,135095.4604270422,1
2025-12-09,135603.88199324268,1
2025-12-10,137153.37175575222,1
2025-12-11,135845.9940978375,1
2025-12-12,127880.6859515005,1
2025-12-15,125943.83529290414,1
2025-12-16,124390.89079430774,0
2025-12-17,124390.89079430774,0
2025-12-18,124390.89079430774,0
2025-12-19,124390.89079430774,0
2025-12-22,124390.89079430774,0
2025-12-23,126661.2309135836,1
2025-12-24,127467.11569956716,1
2025-12-26,127351.99181110942,1
2025-12-29,125463.93193355545,1
2025-12-30,124565.94452344981,1
2025-12-31,121388.48304174561,1
2026-01-02,120536.54694370102,1
2026-01-05,124096.3522852185,0
2026-01-06,124096.3522852185,0
2026-01-07,124604.7740650144,1
2026-01-08,122391.38589033595,1
2026-01-09,125937.32505561638,1
2026-01-12,126230.94032221661,1
2026-01-13,125575.9557335408,1
2026-01-14,121578.31137745907,1
2026-01-15,122820.51788361112,1
2026-01-16,122278.45959263563,1
2026-01-20,114576.7689156239,1
2026-01-21,119093.88974943076,1
2026-01-22,122562.31615577923,0
2026-01-23,122562.31615577923,0
2026-01-26,123811.06037327716,1
2026-01-27,127092.90548553814,1
2026-01-28,128261.78358884297,1
2026-01-29,125968.98522176401,1
2026-01-30,121383.38848760609,1
2026-02-02,123856.00963797673,1
2026-02-03,118056.5855358144,1
2026-02-04,111852.54087787577,1
2026-02-05,108664.22875433129,0
2026-02-06,108664.22875433129,0
2026-02-09,108664.22875433129,0
2026-02-10,108664.22875433129,0
2026-02-11,108664.22875433129,0
2026-02-12,108664.22875433129,0
2026-02-13,108664.22875433129,0
2026-02-17,108664.22875433129,0
2026-02-18,108664.22875433129,0
2026-02-19,108664.22875433129,0
2026-02-20,108664.22875433129,0
2026-02-23,108664.22875433129,0
2026-02-24,108664.22875433129,0
2026-02-25,108664.22875433129,0
2026-02-26,108664.22875433129,0
2026-02-27,108664.22875433129,0
2026-03-02,108664.22875433129,0
2026-03-03,108664.22875433129,0
2026-03-04,108664.22875433129,0
2026-03-05,108664.22875433129,0
2026-03-06,108664.22875433129,0
2026-03-09,108664.22875433129,0
2026-03-10,108664.22875433129,0
2026-03-11,108664.22875433129,0
2026-03-12,108664.22875433129,0
2026-03-13,108664.22875433129,0
2026-03-16,108664.22875433129,0
2026-03-17,108664.22875433129,0
2026-03-18,108664.22875433129,0
2026-03-19,108664.22875433129,0
2026-03-20,108664.22875433129,0
2026-03-23,108664.22875433129,0
2026-03-24,108664.22875433129,0
2026-03-25,108664.22875433129,0
2026-03-26,108664.22875433129,0
2026-03-27,108664.22875433129,0
2026-03-30,108664.22875433129,0
2026-03-31,108664.22875433129,0
2026-04-01,108664.22875433129,0
2026-04-02,108664.22875433129,0
2026-04-06,108664.22875433129,0
2026-04-07,108664.22875433129,0
2026-04-08,108664.22875433129,0
2026-04-09,108664.22875433129,0
2026-04-10,108137.80754926278,1
2026-04-13,111414.71462175244,1
2026-04-14,117462.69066069179,1
2026-04-15,122389.04574380128,1
2026-04-16,124104.46899019743,1
2026-04-17,128854.87892520147,1
2026-04-20,127733.25796937161,1
2026-04-21,126237.75776858086,1
2026-04-22,132417.68427907288,1
2026-04-23,130240.41760318952,1
2026-04-24,137585.95974606418,1
2026-04-27,137761.89650464323,1
2026-04-28,133583.2999114555,1
2026-04-29,136046.47325824705,1
2026-04-30,139741.23747319757,1
2026-05-01,143611.94683625354,1
2026-05-04,142754.23521305548,1
2026-05-05,148208.40057190208,1
2026-05-06,157401.324822252,1
2026-05-07,156895.486716212,1
2026-05-08,167759.85631545814,1
2026-05-11,169255.3565162489,1
2026-05-12,164856.82848792936,1
2026-05-13,169871.14775556515,1
2026-05-14,173631.887206292,1
2026-05-15,165692.54277285104,1
2026-05-18,163449.30086119135,1
2026-05-19,160392.3252238335,1
2026-05-20,168265.69442149813,1
2026-05-21,165175.32858643724,0
2026-05-22,164587.42207873095,1
2026-05-26,173277.741156643,1
2026-05-27,172685.70262326975,1
2026-05-28,176935.71656904224,1
2026-05-29,178796.41140704963,1
2026-06-01,181925.7786815313,1
2026-06-02,184420.80973777582,1
2026-06-03,183025.27651039016,1
2026-06-04,180191.94463443526,1
2026-06-05,154459.30435224966,1
2026-06-08,161267.7636178822,1
2026-06-09,165774.73307933979,0
2026-06-10,165774.73307933979,0
2026-06-11,165774.73307933979,0
2026-06-12,165774.73307933979,0
2026-06-15,165774.73307933979,0
2026-06-16,165774.73307933979,0
2026-06-17,157234.38118066537,1
2026-06-18,166314.59066664215,0
