entry_date,exit_date,return
2024-09-16,2024-11-04,0.0614101546707182
2024-11-05,2024-11-06,0.07832050898377285
2024-11-07,2024-12-23,0.03896282288935682
2024-12-24,2025-01-02,-0.06481576862437666
2025-01-07,2025-01-10,-0.08256463639405465
2025-01-22,2025-01-29,-0.047163141426405764
2025-01-30,2025-02-05,-0.015389219950678101
2025-02-06,2025-02-26,-0.07694209421518361
2025-03-27,2025-03-28,-0.018897038853268433
2025-05-01,2025-05-28,0.23692594134834577
2025-05-29,2025-08-05,0.20375450643474413
2025-08-06,2025-08-07,0.05438105633332313
2025-08-08,2025-08-22,-0.03760934650049119
2025-08-26,2025-09-04,-0.0009922451775544738
2025-09-05,2025-10-14,0.059513945329590534
2025-10-21,2025-11-10,0.021402774656068102
2025-11-12,2025-11-17,-0.09095929377391054
2025-12-01,2025-12-16,-0.03356726657983289
2025-12-23,2026-01-05,-0.002367846288489739
2026-01-07,2026-01-22,-0.01236165367627795
2026-01-26,2026-02-05,-0.11339608973922444
2026-04-10,2026-05-21,0.5200524632615449
2026-05-22,2026-06-09,0.003628898444048456
2026-06-17,2026-06-18,0.003256573407022234
2026-06-23,2026-06-25,0.03573258793680978
2026-08-06,2026-08-07,0.03758408483905873
2026-08-11,2026-08-12,0.012461938597650546
2026-08-14,2026-08-20,-0.08871363124944831
