date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,98865.24884125037,1
2016-09-14,100135.65657254831,1
2016-09-15,104779.82510605015,1
2016-09-16,104662.06121229514,1
2016-09-19,105355.84614967518,0
2016-09-20,105355.84614967518,0
2016-09-21,105355.84614967518,0
2016-09-22,105355.84614967518,0
2016-09-23,105355.84614967518,0
2016-09-26,105355.84614967518,0
2016-09-27,105355.84614967518,0
2016-09-28,105447.18295792227,1
2016-09-29,103210.94616596308,1
2016-09-30,105332.48900505842,1
2016-10-03,105094.9642500389,1
2016-10-04,105734.52677263519,0
2016-10-05,105734.52677263519,0
2016-10-06,105734.52677263519,0
2016-10-07,105734.52677263519,0
2016-10-10,105734.52677263519,0
2016-10-11,105734.52677263519,0
2016-10-12,105734.52677263519,0
2016-10-13,105734.52677263519,0
2016-10-14,105734.52677263519,0
2016-10-17,105734.52677263519,0
2016-10-18,105734.52677263519,0
2016-10-19,105864.7535522262,1
2016-10-20,105418.27147617993,1
2016-10-21,106563.9622411793,1
2016-10-24,110447.41056634372,1
2016-10-25,110437.95271029492,0
2016-10-26,110437.95271029492,0
2016-10-27,110437.95271029492,0
2016-10-28,110437.95271029492,0
2016-10-31,110437.95271029492,0
2016-11-01,110437.95271029492,0
2016-11-02,110437.95271029492,0
2016-11-03,110437.95271029492,0
2016-11-04,110437.95271029492,0
2016-11-07,110437.95271029492,0
2016-11-08,110437.95271029492,0
2016-11-09,110437.95271029492,0
2016-11-10,110437.95271029492,0
2016-11-11,110437.95271029492,0
2016-11-14,110437.95271029492,0
2016-11-15,110437.95271029492,0
2016-11-16,110437.95271029492,0
2016-11-17,110437.95271029492,0
2016-11-18,110437.95271029492,0
2016-11-21,110437.95271029492,0
2016-11-22,110437.95271029492,0
2016-11-23,110437.95271029492,0
2016-11-25,110437.95271029492,0
2016-11-28,110437.95271029492,0
2016-11-29,110437.95271029492,0
2016-11-30,110437.95271029492,0
2016-12-01,110437.95271029492,0
2016-12-02,110437.95271029492,0
2016-12-05,110437.95271029492,0
2016-12-06,110437.95271029492,0
2016-12-07,110437.95271029492,0
2016-12-08,110437.95271029492,0
2016-12-09,110437.95271029492,0
2016-12-12,110437.95271029492,0
2016-12-13,110437.95271029492,0
2016-12-14,110437.95271029492,0
2016-12-15,110437.95271029492,0
2016-12-16,110437.95271029492,0
2016-12-19,110437.95271029492,0
2016-12-20,110437.95271029492,0
2016-12-21,110437.95271029492,0
2016-12-22,110437.95271029492,0
2016-12-23,110437.95271029492,0
2016-12-27,110437.95271029492,0
2016-12-28,110437.95271029492,0
2016-12-29,110437.95271029492,0
2016-12-30,110437.95271029492,0
2017-01-03,110437.95271029492,0
2017-01-04,111692.92208184305,1
2017-01-05,113673.42156952068,1
2017-01-06,116555.70879922075,1
2017-01-09,117735.61366775614,1
2017-01-10,117567.36099464142,0
2017-01-11,117567.36099464142,0
2017-01-12,117567.36099464142,0
2017-01-13,117567.36099464142,0
2017-01-17,117567.36099464142,0
2017-01-18,117567.36099464142,0
2017-01-19,117567.36099464142,0
2017-01-20,117567.36099464142,0
2017-01-23,117567.36099464142,0
2017-01-24,117567.36099464142,0
2017-01-25,117567.36099464142,0
2017-01-26,117567.36099464142,0
2017-01-27,117567.36099464142,0
2017-01-30,117567.36099464142,0
2017-01-31,117567.36099464142,0
2017-02-01,117567.36099464142,0
2017-02-02,117748.82472988432,1
2017-02-03,118771.34398006673,1
2017-02-06,119211.8336142699,1
2017-02-07,120438.87651784415,1
2017-02-08,119894.11642061248,0
2017-02-09,119894.11642061248,0
2017-02-10,119894.11642061248,0
2017-02-13,119894.11642061248,0
2017-02-14,119894.11642061248,0
2017-02-15,119894.11642061248,0
2017-02-16,119894.11642061248,0
2017-02-17,119894.11642061248,0
2017-02-21,119894.11642061248,0
2017-02-22,119894.11642061248,0
2017-02-23,119894.11642061248,0
2017-02-24,119894.11642061248,0
2017-02-27,119894.11642061248,0
2017-02-28,119894.11642061248,0
2017-03-01,119894.11642061248,0
2017-03-02,119894.11642061248,0
2017-03-03,119894.11642061248,0
2017-03-06,119894.11642061248,0
2017-03-07,119894.11642061248,0
2017-03-08,119894.11642061248,0
2017-03-09,120170.39563883639,1
2017-03-10,121485.81791537449,1
2017-03-13,122193.02462017117,1
2017-03-14,121287.81136887815,1
2017-03-15,122000.19781647879,0
2017-03-16,122000.19781647879,0
2017-03-17,122000.19781647879,0
2017-03-20,122000.19781647879,0
2017-03-21,122000.19781647879,0
2017-03-22,122000.19781647879,0
2017-03-23,121345.84168191064,1
2017-03-24,122007.84246302507,1
2017-03-27,122655.44082392145,1
2017-03-28,124958.032902944,1
2017-03-29,124948.07206889517,0
2017-03-30,124948.07206889517,0
2017-03-31,124948.07206889517,0
2017-04-03,124948.07206889517,0
2017-04-04,124948.07206889517,0
2017-04-05,124948.07206889517,0
2017-04-06,124948.07206889517,0
2017-04-07,124766.12234258352,1
2017-04-10,124908.92219578687,1
2017-04-11,123338.29538606874,1
2017-04-12,121710.53392859623,1
2017-04-13,121103.82369406578,0
2017-04-17,121103.82369406578,0
2017-04-18,121761.7432427649,1
2017-04-19,122186.59393493248,1
2017-04-20,125146.35980907823,1
2017-04-21,125089.74168196967,1
2017-04-24,129095.69019408354,0
2017-04-25,129095.69019408354,0
2017-04-26,129095.69019408354,0
2017-04-27,129095.69019408354,0
2017-04-28,129095.69019408354,0
2017-05-01,129095.69019408354,0
2017-05-02,129095.69019408354,0
2017-05-03,129095.69019408354,0
2017-05-04,129095.69019408354,0
2017-05-05,129095.69019408354,0
2017-05-08,129095.69019408354,0
2017-05-09,129095.69019408354,0
2017-05-10,129095.69019408354,0
2017-05-11,129095.69019408354,0
2017-05-12,129095.69019408354,0
2017-05-15,129095.69019408354,0
2017-05-16,129095.69019408354,0
2017-05-17,129095.69019408354,0
2017-05-18,129095.69019408354,0
2017-05-19,129267.76119396504,1
2017-05-22,132618.20815775677,1
2017-05-23,132945.4120039357,1
2017-05-24,134777.68464490457,1
2017-05-25,136120.360655088,0
2017-05-26,136120.360655088,0
2017-05-30,136120.360655088,0
2017-05-31,136120.360655088,0
2017-06-01,136120.360655088,0
2017-06-02,136120.360655088,0
2017-06-05,136120.360655088,0
2017-06-06,136120.360655088,0
2017-06-07,136120.360655088,0
2017-06-08,136120.360655088,0
2017-06-09,136120.360655088,0
2017-06-12,136120.360655088,0
2017-06-13,136120.360655088,0
2017-06-14,132603.87497149387,1
2017-06-15,130816.48483866364,1
2017-06-16,129249.29827683937,1
2017-06-19,135505.1785642796,1
2017-06-20,135046.1841123588,0
2017-06-21,135046.1841123588,0
2017-06-22,135046.1841123588,0
2017-06-23,135046.1841123588,0
2017-06-26,135046.1841123588,0
2017-06-27,135046.1841123588,0
2017-06-28,135046.1841123588,0
2017-06-29,129633.35100935628,1
2017-06-30,129183.6276420621,1
2017-07-03,125664.98281237346,1
2017-07-05,129249.75096468028,1
2017-07-06,126133.97629158045,0
2017-07-07,126133.97629158045,0
2017-07-10,126133.97629158045,0
2017-07-11,126133.97629158045,0
2017-07-12,126133.97629158045,0
2017-07-13,126133.97629158045,0
2017-07-14,126133.97629158045,0
2017-07-17,126133.97629158045,0
2017-07-18,126133.97629158045,0
2017-07-19,126133.97629158045,0
2017-07-20,126133.97629158045,0
2017-07-21,126133.97629158045,0
2017-07-24,126133.97629158045,0
2017-07-25,126133.97629158045,0
2017-07-26,126133.97629158045,0
2017-07-27,126133.97629158045,0
2017-07-28,126133.97629158045,0
2017-07-31,126133.97629158045,0
2017-08-01,126133.97629158045,0
2017-08-02,124577.331124599,1
2017-08-03,123280.7937792304,1
2017-08-04,123761.41205349173,1
2017-08-07,125952.0848571162,1
2017-08-08,125267.83138928137,0
2017-08-09,125267.83138928137,0
2017-08-10,125267.83138928137,0
2017-08-11,125267.83138928137,0
2017-08-14,127052.11842114227,1
2017-08-15,127280.7773603773,1
2017-08-16,127943.94716628916,1
2017-08-17,120077.50392021915,1
2017-08-18,120140.19678420143,0
2017-08-21,120140.19678420143,0
2017-08-22,120140.19678420143,0
2017-08-23,120657.63819428012,1
2017-08-24,119651.13539228508,1
2017-08-25,118845.92547166254,1
2017-08-28,119885.98561947134,1
2017-08-29,116649.05215644804,0
2017-08-30,116649.05215644804,0
2017-08-31,116649.05215644804,0
2017-09-01,116649.05215644804,0
2017-09-05,116649.05215644804,0
2017-09-06,116649.05215644804,0
2017-09-07,116649.05215644804,0
2017-09-08,116649.05215644804,0
2017-09-11,116649.05215644804,0
2017-09-12,116401.69237292428,1
2017-09-13,116884.72828218577,1
2017-09-14,114912.34604830705,1
2017-09-15,115838.15623702816,1
2017-09-18,116224.97013326135,0
2017-09-19,116224.97013326135,0
2017-09-20,116224.97013326135,0
2017-09-21,116224.97013326135,0
2017-09-22,116224.97013326135,0
2017-09-25,116224.97013326135,0
2017-09-26,116224.97013326135,0
2017-09-27,116224.97013326135,0
2017-09-28,116224.97013326135,0
2017-09-29,116224.97013326135,0
2017-10-02,116224.97013326135,0
