period,cost_bps_per_side,year,return
IS,0,2016,-0.0698973995769
IS,0,2017,0.364885748632
IS,0,2018,0.260720857099
IS,0,2019,0.401177264488
IS,0,2020,0.867602061327
IS,0,2021,0.608050958683
IS,0,2022,0.909079453448
IS,10,2016,-0.0717557464309
IS,10,2017,0.345910478644
IS,10,2018,0.228364558628
IS,10,2019,0.378936818868
IS,10,2020,0.826963466057
IS,10,2021,0.58886965876
IS,10,2022,0.858224859365
VALIDATION,0,2022,0.12077229504
VALIDATION,0,2023,0.332009657449
VALIDATION,0,2024,0.588134278256
VALIDATION,10,2022,0.116298158607
VALIDATION,10,2023,0.308247972422
VALIDATION,10,2024,0.556687102201
OOS_REUSED,0,2024,0.199832171443
OOS_REUSED,0,2025,0.431784179628
OOS_REUSED,0,2026,0.568035101804
OOS_REUSED,10,2024,0.195042427036
OOS_REUSED,10,2025,0.414705441155
OOS_REUSED,10,2026,0.555540860426
FULL_CONTINUOUS,0,2016,-0.0698973995769
FULL_CONTINUOUS,0,2017,0.364885748632
FULL_CONTINUOUS,0,2018,0.260720857099
FULL_CONTINUOUS,0,2019,0.401177264488
FULL_CONTINUOUS,0,2020,0.867602061327
FULL_CONTINUOUS,0,2021,0.608050958683
FULL_CONTINUOUS,0,2022,0.779889121874
FULL_CONTINUOUS,0,2023,0.332009657449
FULL_CONTINUOUS,0,2024,0.893695871452
FULL_CONTINUOUS,0,2025,0.431784179628
FULL_CONTINUOUS,0,2026,0.568035101804
FULL_CONTINUOUS,10,2016,-0.0717557464309
FULL_CONTINUOUS,10,2017,0.345910478644
FULL_CONTINUOUS,10,2018,0.228364558628
FULL_CONTINUOUS,10,2019,0.378936818868
FULL_CONTINUOUS,10,2020,0.826963466057
FULL_CONTINUOUS,10,2021,0.58886965876
FULL_CONTINUOUS,10,2022,0.713522269275
FULL_CONTINUOUS,10,2023,0.308247972422
FULL_CONTINUOUS,10,2024,0.845094320612
FULL_CONTINUOUS,10,2025,0.414705441155
FULL_CONTINUOUS,10,2026,0.555540860426
