entry_signal_date,entry_date,entry_index,entry_reference_open,entry_price,quantity,entry_capital,exit_signal_date,exit_date,exit_reference_open,exit_price,net_return,pnl,holding_calendar_days,holding_sessions
2016-11-30,2016-12-01,61,3.700667,3.700667,27022.1557357,100000,2016-12-05,2016-12-06,3.442,3.442,-0.0698973995769,-6989.73995769,5,3
2017-01-05,2017-01-06,85,3.767333,3.767333,24688.621909,93010.2600423,2017-01-09,2017-01-10,3.953333,3.953333,0.0493717969715,4592.08367507,4,2
2017-04-05,2017-04-06,147,4.939333,4.939333,19760.2274877,97602.3437174,2017-04-07,2017-04-10,5.031333,5.031333,0.018625996668,1817.94092887,4,2
2017-04-12,2017-04-13,152,4.469333,4.469333,22244.9937488,99420.2846463,2017-04-17,2017-04-18,4.561333,4.561333,0.0205847270723,2046.53942489,5,2
2017-06-27,2017-06-28,204,5.791333,5.791333,17520.4610184,101466.824071,2017-06-28,2017-06-29,5.838667,5.838667,0.00817324785157,829.313501845,1,1
2017-07-03,2017-07-05,208,5.266667,5.266667,19423.3160314,102296.137573,2017-07-05,2017-07-06,5.338,5.338,0.0135442396491,1385.52340247,1,1
2017-08-10,2017-08-11,235,5.710667,5.710667,18155.7882775,103681.660975,2017-08-14,2017-08-15,6.386,6.386,0.118258164939,12261.2029648,4,2
2017-12-04,2017-12-05,315,8.533333,8.533333,13587.0548987,115942.86394,2017-12-07,2017-12-08,9.343333,9.343333,0.0949218787079,11005.514468,3,3
2018-01-25,2018-01-26,350,11.466667,11.466667,11071.0791905,126948.378408,2018-01-26,2018-01-29,11.916,11.916,0.0391860163027,4974.60122591,3,1
2018-02-02,2018-02-05,356,10.2,10.2,12933.6254543,131922.979634,2018-02-12,2018-02-13,9.125333,9.125333,-0.105359509804,-13899.3404661,8,6
2018-03-22,2018-03-23,389,11.284667,11.284667,10458.7613589,118023.639168,2018-03-26,2018-03-27,11.84,11.84,0.0492112882019,5808.09532174,4,2
2018-03-28,2018-03-29,393,9.788667,9.788667,12650.520698,123831.73449,2018-03-29,2018-04-02,9.88,9.88,0.00933048391574,1155.41000691,4,1
2018-04-06,2018-04-09,399,9.046,9.046,13816.8410896,124987.144497,2018-04-10,2018-04-11,9.574667,9.574667,0.0584420738448,7304.50792833,2,2
2018-04-19,2018-04-20,408,9,9,14699.0724917,132291.652425,2018-04-26,2018-04-27,8.904,8.904,-0.0106666666667,-1411.1109592,7,5
2018-06-22,2018-06-25,453,10.333333,10.333333,12665.8592601,130880.541466,2018-07-02,2018-07-03,9.697333,9.697333,-0.0615483890822,-8055.48648943,8,6
2018-10-10,2018-10-11,529,7.646667,7.646667,16062.5609794,122825.054976,2018-10-16,2018-10-17,8.532667,8.532667,0.115867475333,14231.4290277,6,4
2018-10-19,2018-10-22,536,7.433333,7.433333,18438.0928453,137056.484004,2018-10-23,2018-10-24,6.944,6.944,-0.0658295545215,-9022.36728627,2,2
2018-10-24,2018-10-25,539,6.000667,6.000667,21336.647529,128034.116718,2018-10-30,2018-10-31,6.766667,6.766667,0.127652475966,16343.8720072,6,4
2018-11-12,2018-11-13,552,6.267333,6.267333,23036.5912781,144377.988725,2018-11-15,2018-11-16,6.39,6.39,0.0195724401432,2825.82954232,3,3
2018-11-19,2018-11-20,557,5.572667,5.572667,26415.3264976,147203.818267,2018-11-26,2018-11-27,6.406,6.406,0.14953934983,22012.7632762,7,4
2018-12-19,2018-12-20,577,5.240667,5.240667,32289.1306667,169216.581544,2018-12-26,2018-12-27,4.956667,4.956667,-0.0541915752327,-9170.11310934,7,4
2019-01-03,2019-01-04,586,4.922,4.922,32516.5518964,160046.468434,2019-01-04,2019-01-07,5.398667,5.398667,0.096844169037,15499.5672428,3,1
2019-03-06,2019-03-07,628,8,8,21943.2544596,175546.035677,2019-03-08,2019-03-11,7.988667,7.988667,-0.001416625,-248.682902791,4,2
2019-05-13,2019-05-14,675,9.553333,9.553333,18349.3397304,175297.352774,2019-05-14,2019-05-15,9.522,9.522,-0.00327979774179,-574.939861771,1,1
2019-05-20,2019-05-21,680,8.466667,8.466667,20636.5046496,174722.412912,2019-05-21,2019-05-22,7.982,7.982,-0.0572441316046,-10001.832799,1,1
2019-06-17,2019-06-18,699,8.144667,8.144667,20224.3480444,164720.580113,2019-06-18,2019-06-19,9.026667,9.026667,0.108291720214,17837.8749751,1,1
2019-06-25,2019-06-26,705,9.188667,9.188667,19867.7844228,182558.455089,2019-06-26,2019-06-27,9.603333,9.603333,0.045127982111,8238.49469545,1,1
2019-08-23,2019-08-26,747,9.668667,9.668667,19733.5320147,190796.949784,2019-08-29,2019-08-30,10.440667,10.440667,0.079845546444,15234.2867154,4,4
2019-12-02,2019-12-03,816,13.153333,13.153333,15663.8044897,206031.236499,2019-12-04,2019-12-05,14.316667,14.316667,0.0884440468435,18222.2363322,2,2
2020-01-27,2020-01-28,853,18.733333,18.733333,11970.8261649,224253.472832,2020-01-28,2020-01-29,19.117333,19.117333,0.0204982210053,4596.79724731,1,1
2020-01-31,2020-02-03,857,16.468,16.468,13896.6644449,228850.270079,2020-02-04,2020-02-05,19.413333,19.413333,0.178851894583,40930.3043795,2,2
2020-03-09,2020-03-10,882,11.128,11.128,24243.4017306,269780.574458,2020-03-10,2020-03-11,10.719333,10.719333,-0.036724209202,-9907.47825505,1,1
2020-03-12,2020-03-13,885,8.074,8.074,32186.4127079,259873.096203,2020-03-13,2020-03-16,5.985333,5.985333,-0.258690487986,-67226.6980713,3,1
2020-03-16,2020-03-17,887,5.32,5.32,36211.7289722,192646.398132,2020-03-24,2020-03-25,6.363333,6.363333,0.196115225564,37780.8918237,8,6
2020-04-01,2020-04-02,899,5.184,5.184,44449.7087106,230427.289956,2020-04-06,2020-04-07,7.909333,7.909333,0.525720100309,121140.257989,5,3
2020-04-21,2020-04-22,912,7.495333,7.495333,46904.8603905,351567.547945,2020-04-22,2020-04-23,8.080667,8.080667,0.0780931280838,27455.0095518,1,1
2020-05-01,2020-05-04,920,7.208667,7.208667,52578.7302281,379022.557497,2020-05-05,2020-05-06,8.266667,8.266667,0.146767772738,55628.2965813,2,2
2020-06-11,2020-06-12,948,11.492,11.492,37822.0374241,434650.854078,2020-06-15,2020-06-16,12.406,12.406,0.0795335885834,34569.3422057,4,2
2020-09-08,2020-09-09,1009,15.209333,15.209333,30850.8069541,469220.196284,2020-09-09,2020-09-10,15.85,15.85,0.0421232804884,19765.0939389,1,1
2020-10-21,2020-10-22,1040,19.726,19.726,24788.8720583,488985.290223,2020-10-29,2020-10-30,16.895333,16.895333,-0.143499290277,-70169.0421028,8,6
2021-01-27,2021-01-28,1106,35.000667,35.000667,11965.9504809,418816.24812,2021-02-01,2021-02-02,39.132667,39.132667,0.118054893068,49443.307387,5,3
2021-03-24,2021-03-25,1145,30.93,30.93,15139.3325415,468259.555507,2021-03-26,2021-03-29,36.3839,36.3839,0.176330423537,82568.4057478,4,2
2021-04-30,2021-05-03,1171,37.72,37.72,14603.0742644,550827.961255,2021-05-05,2021-05-06,34.2,34.2,-0.0933191940615,-51402.8214109,3,3
2021-05-10,2021-05-11,1177,29.02,29.02,17209.6877961,499425.139844,2021-05-14,2021-05-17,30.98,30.98,0.0675396278429,33730.9880804,6,4
2021-07-16,2021-07-19,1224,35.21,35.21,15142.1791515,533156.127925,2021-07-20,2021-07-21,38.67,38.67,0.0982675376314,52391.9398642,2,2
2021-12-13,2021-12-14,1328,60,60,9759.13446315,585548.067789,2021-12-15,2021-12-16,69.01,69.01,0.150166666667,87929.8015129,2,2
2021-12-31,2022-01-03,1341,69.05,69.05,9753.48109054,673477.869302,2022-01-03,2022-01-04,72.58,72.58,0.0511223750905,34429.7882496,1,1
2022-01-05,2022-01-06,1344,64.0899,64.0899,11045.541615,707907.657551,2022-01-11,2022-01-12,64.99,64.99,0.0140443345987,9942.09200766,6,4
2022-01-20,2022-01-21,1354,45.22,45.22,15874.6074648,717849.749559,2022-01-24,2022-01-25,41.7699,41.7699,-0.0762958867758,-54768.9832144,4,2
2022-01-27,2022-01-28,1359,36.37,36.37,18231.5305566,663080.766345,2022-01-31,2022-02-01,45.89,45.89,0.261754193016,173564.170899,4,2
2022-02-11,2022-02-14,1370,39.75,39.75,21047.6713772,836644.937244,2022-02-15,2022-02-16,44.07,44.07,0.108679245283,90925.9403495,2,2
2022-02-23,2022-02-24,1377,31.81,31.81,29159.7257967,927570.877593,2022-02-24,2022-02-25,40,40,0.257466205596,238818.154275,1,1
2022-03-07,2022-03-08,1385,29.67,29.67,39312.0671341,1166389.03187,2022-03-09,2022-03-10,33.07,33.07,0.114593865858,133661.028256,2,2
2022-03-14,2022-03-15,1390,28.45,28.45,45695.9599341,1300050.06012,2022-03-15,2022-03-16,33.04,33.04,0.161335676626,209744.456097,1,1
2022-03-31,2022-04-01,1403,39.07,39.07,38643.3200978,1509794.51622,2022-04-04,2022-04-05,37.09,37.09,-0.0506782697722,-76513.7737937,4,2
2022-04-05,2022-04-06,1406,30.85,30.85,46459.6675017,1433280.74243,2022-04-13,2022-04-14,28.55,28.55,-0.0745542949757,-106857.235254,8,6
2022-04-22,2022-04-25,1418,23.89,23.89,55522.1225272,1326423.50717,2022-04-28,2022-04-29,24.3,24.3,0.0171619924655,22764.0702361,4,4
2022-05-09,2022-05-10,1429,21.45,21.45,62899.187758,1349187.57741,2022-05-13,2022-05-16,21.86,21.86,0.0191142191142,25788.6669808,6,4
2022-08-22,2022-08-23,1501,17.08,17.08,80502.1220369,1374976.24439,2022-08-25,2022-08-26,19.25,19.25,0.127049180328,174689.60482,3,3
2022-08-29,2022-08-30,1506,15.5,15.5,99978.4418846,1549665.84921,2022-09-07,2022-09-08,12.64,12.64,-0.184516129032,-285938.34379,9,6
2022-09-13,2022-09-14,1516,12.28,12.28,102909.405979,1263727.50542,2022-09-19,2022-09-20,11.85,11.85,-0.035016286645,-44251.0445709,6,4
2022-09-22,2022-09-23,1523,10.07,10.07,121099.94646,1219476.46085,2022-09-28,2022-09-29,9.698,9.698,-0.0369414101291,-45049.180083,6,4
2022-10-07,2022-10-10,1534,9.07,9.07,129484.815961,1174427.28077,2022-10-13,2022-10-14,8.26,8.26,-0.0893054024256,-104882.700928,4,4
2022-11-02,2022-11-03,1552,7.782,7.782,137438.265207,1069544.57984,2022-11-04,2022-11-07,9.268,9.268,0.190953482395,204233.262097,4,2
2022-12-15,2022-12-16,1582,11.2,11.2,113730.164459,1273777.84194,2022-12-21,2022-12-22,10.54,10.54,-0.0589285714286,-75061.9085426,6,4
2023-01-30,2023-01-31,1611,13.67,13.67,87689.5342643,1198715.93339,2023-01-31,2023-02-01,14.73,14.73,0.0775420629115,92950.9063202,1,1
