entry_signal_date,entry_date,entry_index,entry_reference_open,entry_price,quantity,entry_capital,exit_signal_date,exit_date,exit_reference_open,exit_price,net_return,pnl,holding_calendar_days,holding_sessions
2016-11-30,2016-12-01,61,3.700667,3.704367667,26995.1605751,100000,2016-12-05,2016-12-06,3.442,3.438558,-0.0717557464309,-7175.57464309,5,3
2017-01-05,2017-01-06,85,3.767333,3.771100333,24614.6793138,92824.4253569,2017-01-09,2017-01-10,3.953333,3.949379667,0.0472751500245,4388.28863469,4,2
2017-04-05,2017-04-06,147,4.939333,4.944272333,19661.68274,97212.7139916,2017-04-07,2017-04-10,5.031333,5.026301667,0.0165907798914,1612.83474048,4,2
2017-04-12,2017-04-13,152,4.469333,4.473802333,22089.8335188,98825.5487321,2017-04-17,2017-04-18,4.561333,4.556771667,0.0185455967484,1832.77877523,5,2
2017-06-27,2017-06-28,204,5.791333,5.797124333,17363.4929536,100658.327507,2017-06-28,2017-06-29,5.838667,5.832828333,0.00615891568803,619.946152416,1,1
2017-07-03,2017-07-05,208,5.266667,5.271933667,19210.8399037,101278.27366,2017-07-05,2017-07-06,5.338,5.332662,0.0115191762332,1166.64228288,1,1
2017-08-10,2017-08-11,235,5.710667,5.716377667,17921.2994505,102444.915943,2017-08-14,2017-08-15,6.386,6.379614,0.116023882892,11886.0569302,4,2
2017-12-04,2017-12-05,315,8.533333,8.541866333,13384.7766303,114330.972873,2017-12-07,2017-12-08,9.343333,9.333989667,0.0927342226066,10602.3938892,3,3
2018-01-25,2018-01-26,350,11.466667,11.478133667,10884.4669688,124933.366762,2018-01-26,2018-01-29,11.916,11.904084,0.0371097205659,4636.24232989,3,1
2018-02-02,2018-02-05,356,10.2,10.2102,12690.2126395,129569.609092,2018-02-12,2018-02-13,9.125333,9.116207667,-0.107147003291,-13882.9953318,8,6
2018-03-22,2018-03-23,389,11.284667,11.295951667,10241.4225176,115686.61376,2018-03-26,2018-03-27,11.84,11.82816,0.0471149619518,5450.57040564,4,2
2018-03-28,2018-03-29,393,9.788667,9.798455667,12362.8853651,121137.184166,2018-03-29,2018-04-02,9.88,9.87012,0.00731383959223,885.977933643,4,1
2018-04-06,2018-04-09,399,9.046,9.055046,13475.7086932,122023.162099,2018-04-10,2018-04-11,9.574667,9.565092333,0.0563273044665,6873.23580354,2,2
2018-04-19,2018-04-20,408,9,9.009,14307.5144747,128896.397903,2018-04-26,2018-04-27,8.904,8.895096,-0.0126433566434,-1629.68312873,7,5
2018-06-22,2018-06-25,453,10.333333,10.343666333,12303.8302549,127266.714774,2018-07-02,2018-07-03,9.697333,9.687635667,-0.0634234172758,-8071.68995645,8,6
