entry_signal_date,entry_date,entry_index,entry_reference_open,entry_price,quantity,entry_capital,exit_signal_date,exit_date,exit_reference_open,exit_price,net_return,pnl,holding_calendar_days,holding_sessions
2016-09-09,2016-09-12,4,2.460667,2.463127667,40598.7888244,100000,2016-09-12,2016-09-13,2.620667,2.618046333,0.0628951020589,6289.51020589,1,1
2016-11-30,2016-12-01,61,3.700667,3.704367667,28693.0239546,106289.510206,2016-12-05,2016-12-06,3.442,3.438558,-0.0717557464309,-7626.8831426,5,3
2017-01-05,2017-01-06,85,3.767333,3.771100333,26162.8220814,98662.6270633,2017-01-09,2017-01-10,3.953333,3.949379667,0.0472751500245,4664.29049623,4,2
2017-04-05,2017-04-06,147,4.939333,4.944272333,20898.3062826,103326.91756,2017-04-07,2017-04-10,5.031333,5.026301667,0.0165907798914,1714.27414609,4,2
2017-04-12,2017-04-13,152,4.469333,4.473802333,23479.1758524,105041.191706,2017-04-17,2017-04-18,4.561333,4.556771667,0.0185455967484,1948.05158335,5,2
2017-06-27,2017-06-28,204,5.791333,5.797124333,18455.571615,106989.243289,2017-06-28,2017-06-29,5.838667,5.832828333,0.00615891568803,658.937728943,1,1
2017-07-03,2017-07-05,208,5.266667,5.271933667,20419.1076401,107648.181018,2017-07-05,2017-07-06,5.338,5.332662,0.0115191762332,1240.01836833,1,1
2017-08-10,2017-08-11,235,5.710667,5.716377667,19048.4614085,108888.199386,2017-08-14,2017-08-15,6.386,6.379614,0.116023882892,12633.6316939,4,2
2017-12-04,2017-12-05,315,8.533333,8.541866333,14226.6135225,121521.83108,2017-12-07,2017-12-08,9.343333,9.333989667,0.0927342226066,11269.2325349,3,3
2018-01-25,2018-01-26,350,11.466667,11.478133667,11569.0466297,132791.063615,2018-01-26,2018-01-29,11.916,11.904084,0.0371097205659,4927.8392644,3,1
2018-02-02,2018-02-05,356,10.2,10.2102,13488.3648586,137718.902879,2018-02-12,2018-02-13,9.125333,9.116207667,-0.107147003291,-14756.16774,8,6
2018-03-22,2018-03-23,389,11.284667,11.295951667,10885.5578321,122962.735139,2018-03-26,2018-03-27,11.84,11.82816,0.0471149619518,5793.38458758,4,2
2018-03-28,2018-03-29,393,9.788667,9.798455667,13140.4503018,128756.119727,2018-03-29,2018-04-02,9.88,9.87012,0.00731383959223,941.701606201,4,1
2018-04-06,2018-04-09,399,9.046,9.055046,14323.2647668,129697.821333,2018-04-10,2018-04-11,9.574667,9.565092333,0.0563273044665,7305.52867087,2,2
2018-04-19,2018-04-20,408,9,9.009,15207.3870578,137003.350004,2018-04-26,2018-04-27,8.904,8.895096,-0.0126433566434,-1732.18221544,7,5
2018-06-22,2018-06-25,453,10.333333,10.343666333,13077.6809145,135271.167789,2018-07-02,2018-07-03,9.697333,9.687635667,-0.0634234172758,-8579.35972005,8,6
2018-10-10,2018-10-11,529,7.646667,7.654313667,16551.6875294,126691.808069,2018-10-16,2018-10-17,8.532667,8.524134333,0.113637969887,14396.9998703,6,4
2018-10-19,2018-10-22,536,7.433333,7.440766333,18961.5963766,141088.807939,2018-10-23,2018-10-24,6.944,6.937056,-0.067696028938,-9551.15202506,2,2
2018-10-24,2018-10-25,539,6.000667,6.006667667,21898.6072155,131537.655914,2018-10-30,2018-10-31,6.766667,6.759900333,0.125399424066,16494.7462946,6,4
2018-11-12,2018-11-13,552,6.267333,6.273600333,23596.0842819,148032.402208,2018-11-15,2018-11-16,6.39,6.38361,0.0175353323707,2595.79737436,3,3
2018-11-19,2018-11-20,557,5.572667,5.578239667,27002.8196303,150628.199583,2018-11-26,2018-11-27,6.406,6.399594,0.147242567912,22178.8829066,7,4
2018-12-19,2018-12-20,577,5.240667,5.245907667,32941.3122492,172807.082489,2018-12-26,2018-12-27,4.956667,4.951710333,-0.0560813023551,-9691.24624219,7,4
2019-01-03,2019-01-04,586,4.922,4.926922,33107.0465997,163115.836247,2019-01-04,2019-01-07,5.398667,5.393268333,0.0946526721957,15439.3497782,3,1
2019-03-06,2019-03-07,628,8,8.008,22297.101152,178555.186025,2019-03-08,2019-03-11,7.988667,7.980678333,-0.00341179657842,-609.193972741,4,2
2019-05-13,2019-05-14,675,9.553333,9.562886333,18607.9794171,177945.992053,2019-05-14,2019-05-15,9.522,9.512478,-0.00527124669735,-937.997222915,1,1
2019-05-20,2019-05-21,680,8.466667,8.475133667,20885.5696895,177007.99483,2019-05-21,2019-05-22,7.982,7.974018,-0.0591277597132,-10466.0861856,1,1
2019-06-17,2019-06-18,699,8.144667,8.152811667,20427.5427235,166541.908644,2019-06-18,2019-06-19,9.026667,9.017640333,0.106077351143,17666.3245232,1,1
2019-06-25,2019-06-26,705,9.188667,9.197855667,20027.3019969,184208.233167,2019-06-26,2019-06-27,9.603333,9.593729667,0.0430398143146,7928.28815074,1,1
2019-08-23,2019-08-26,747,9.668667,9.678335667,19852.227483,192136.521318,2019-08-29,2019-08-30,10.440667,10.430226333,0.0776880128847,14926.7045438,4,4
2019-12-02,2019-12-03,816,13.153333,13.166486333,15726.5363458,207063.225862,2019-12-04,2019-12-05,14.316667,14.302350333,0.0862693334632,17863.2064798,2,2
2020-01-27,2020-01-28,853,18.733333,18.752066333,11994.7545165,224926.432342,2020-01-28,2020-01-29,19.117333,19.098215667,0.0184592635208,4151.97628738,1,1
2020-01-31,2020-02-03,857,16.468,16.484468,13896.6212697,229078.408629,2020-02-04,2020-02-05,19.413333,19.393919667,0.176496546143,40431.5479189,2,2
2020-03-09,2020-03-10,882,11.128,11.139128,24194.8881948,269509.956548,2020-03-10,2020-03-11,10.719333,10.708613667,-0.0386488361567,-10416.2461532,1,1
2020-03-12,2020-03-13,885,8.074,8.082074,32057.8245627,259093.710395,2020-03-13,2020-03-16,5.985333,5.979347667,-0.260171625872,-67408.8318867,3,1
2020-03-16,2020-03-17,887,5.32,5.32532,35994.9972036,191684.878508,2020-03-24,2020-03-25,6.363333,6.356969667,0.193725384953,37134.2268787,8,6
2020-04-01,2020-04-02,899,5.184,5.189184,44095.3925293,228819.105387,2020-04-06,2020-04-07,7.909333,7.901423667,0.5226717085,119597.27275,5,3
2020-04-21,2020-04-22,912,7.495333,7.502828333,46438.0047994,348416.378137,2020-04-22,2020-04-23,8.080667,8.072586333,0.0759390958599,26458.4247385,1,1
2020-05-01,2020-05-04,920,7.208667,7.215875667,51951.3944218,374874.802875,2020-05-05,2020-05-06,8.266667,8.258400333,0.144476528437,54160.6101179,2,2
2020-06-11,2020-06-12,948,11.492,11.503492,37296.1021743,429035.412993,2020-06-15,2020-06-16,12.406,12.393594,0.0773766783165,33197.3351375,4,2
2020-09-08,2020-09-09,1009,15.209333,15.224542333,30361.0274792,462232.748131,2020-09-09,2020-09-10,15.85,15.83415,0.0400411160918,18508.3151293,1,1
2020-10-21,2020-10-22,1040,19.726,19.745726,24346.5883837,480741.06326,2020-10-29,2020-10-30,16.895333,16.878437667,-0.145210580406,-69808.688821,8,6
2021-01-27,2021-01-28,1106,35.000667,35.035667667,11728.9722675,410932.374439,2021-02-01,2021-02-02,39.132667,39.093534333,0.115821017158,47594.6055907,5,3
2021-03-24,2021-03-25,1145,30.93,30.96093,14809.8581028,458526.98003,2021-03-26,2021-03-29,36.3839,36.3475161,0.173980113,79774.5757993,4,2
2021-04-30,2021-05-03,1171,37.72,37.75772,14256.7283149,538301.555829,2021-05-05,2021-05-06,34.2,34.1658,-0.0951307441233,-51209.0275687,3,3
2021-05-10,2021-05-11,1177,29.02,29.04902,16767.9504596,487092.52826,2021-05-14,2021-05-17,30.98,30.94902,0.0654066815335,31859.1058733,6,4
2021-07-16,2021-07-19,1224,35.21,35.24521,14724.0329717,518951.634133,2021-07-20,2021-07-21,38.67,38.63133,0.0960731968968,49857.342526,2,2
2021-12-13,2021-12-14,1328,60,60.06,9470.67893206,568808.976659,2021-12-15,2021-12-16,69.01,68.94099,0.147868631369,84109.0048888,2,2
2021-12-31,2022-01-03,1341,69.05,69.11905,9446.28118512,652917.981548,2022-01-03,2022-01-04,72.58,72.50742,0.0490222304849,32007.4957792,1,1
2022-01-05,2022-01-06,1344,64.0899,64.1539899,10676.2724874,684925.477327,2022-01-11,2022-01-12,64.99,64.92501,0.0120182719922,8231.62068088,6,4
2022-01-20,2022-01-21,1354,45.22,45.26522,15313.2382436,693157.098008,2022-01-24,2022-01-25,41.7699,41.7281301,-0.0781414494395,-54164.3003277,4,2
2022-01-27,2022-01-28,1359,36.37,36.40637,17551.6756458,638992.797681,2022-01-31,2022-02-01,45.89,45.84411,0.259233205618,165648.151309,4,2
2022-02-11,2022-02-14,1370,39.75,39.78975,20222.31728,804640.94899,2022-02-15,2022-02-16,44.07,44.02593,0.106464101936,85665.376015,2,2
2022-02-23,2022-02-24,1377,31.81,31.84181,27960.2926154,890306.325005,2022-02-24,2022-02-25,40,39.96,0.254953785605,226986.967908,1,1
2022-03-07,2022-03-08,1385,29.67,29.69967,37619.7207886,1117293.29291,2022-03-09,2022-03-10,33.07,33.03693,0.112366905087,125546.789399,2,2
2022-03-14,2022-03-15,1390,28.45,28.47845,43641.4229816,1242840.08231,2022-03-15,2022-03-16,33.04,33.00696,0.159015325623,197630.620387,1,1
2022-03-31,2022-04-01,1403,39.07,39.10907,36832.1390076,1440470.7027,2022-04-04,2022-04-05,37.09,37.05291,-0.0525750164859,-75732.7709419,4,2
2022-04-05,2022-04-06,1406,30.85,30.88085,44193.664739,1364737.93176,2022-04-13,2022-04-14,28.55,28.52145,-0.0764033373434,-104270.532585,8,6
2022-04-22,2022-04-25,1418,23.89,23.91389,52708.5889904,1260467.39917,2022-04-28,2022-04-29,24.3,24.2757,0.0151297007722,19070.4945826,4,4
2022-05-09,2022-05-10,1429,21.45,21.47145,59592.5237352,1279537.89375,2022-05-13,2022-05-16,21.86,21.83814,0.0170780268682,21851.9825285,6,4
2022-08-22,2022-08-23,1501,17.08,17.09708,76117.6689986,1301389.87628,2022-08-25,2022-08-26,19.25,19.23075,0.124797333814,162409.986812,3,3
2022-08-29,2022-08-30,1506,15.5,15.5155,94344.3564883,1463799.86309,2022-09-07,2022-09-08,12.64,12.62736,-0.186145467436,-272479.709748,9,6
2022-09-13,2022-09-14,1516,12.28,12.29228,96916.1256777,1191320.15335,2022-09-19,2022-09-20,11.85,11.83815,-0.0369443260323,-44012.520154,6,4
2022-09-22,2022-09-23,1523,10.07,10.08007,113819.411293,1147307.63319,2022-09-28,2022-09-29,9.698,9.688302,-0.0388656031159,-44590.8031234,6,4
2022-10-07,2022-10-10,1534,9.07,9.07907,121457.024791,1102716.83007,2022-10-13,2022-10-14,8.26,8.25174,-0.0911249720511,-100485.04032,4,4
2022-11-02,2022-11-03,1552,7.782,7.789782,128659.799433,1002231.78975,2022-11-04,2022-11-07,9.268,9.258732,0.188573954958,188994.812377,4,2
2022-12-15,2022-12-16,1582,11.2,11.2112,106253.264782,1191226.60213,2022-12-21,2022-12-22,10.54,10.52946,-0.0608088340231,-72437.1007326,6,4
2023-01-30,2023-01-31,1611,13.67,13.68367,81760.9238891,1118789.50139,2023-01-31,2023-02-01,14.73,14.71527,0.0753891317169,84344.569084,1,1
2023-02-21,2023-02-22,1626,14.11,14.12411,85183.000591,1203134.07048,2023-02-23,2023-02-24,14.29,14.27571,0.0107334196633,12913.7428896,2,2
2023-03-10,2023-03-13,1639,13.61,13.62361,89260.3218506,1216047.81337,2023-03-14,2023-03-15,14.6,14.5854,0.0705972939625,85849.6849527,2,2
2023-06-21,2023-06-22,1709,22.28,22.30228,58375.0853419,1301897.49832,2023-06-27,2023-06-28,23.18,23.15682,0.0383162618351,49883.8454281,6,4
2023-07-20,2023-07-21,1729,25.01,25.03501,53995.6382581,1351781.34375,2023-07-25,2023-07-26,25.2,25.1748,0.00558378047382,7548.0502721,5,3
2023-08-09,2023-08-10,1743,23.66,23.68366,57395.241868,1359329.39402,2023-08-14,2023-08-15,22.62,22.59738,-0.0458662216904,-62347.3033364,5,3
2023-08-16,2023-08-17,1748,20.62,20.64062,62836.3920601,1296982.09068,2023-08-21,2023-08-22,22.71,22.68729,0.0991573896521,128605.358538,5,3
2023-10-20,2023-10-23,1794,16.35,16.36635,87104.7881306,1425587.44922,2023-10-24,2023-10-25,16.375,16.358625,-0.000472005059161,-672.884488309,2,2
2023-12-20,2023-12-21,1836,29.75,29.77975,47848.4394507,1424914.56473,2023-12-21,2023-12-22,30.62,30.58938,0.027187266515,38739.5320325,1,1
2024-01-03,2024-01-04,1844,24.96,24.98496,58581.4064447,1463654.09676,2024-01-08,2024-01-09,27.5,27.4725,0.0995614961961,145723.591787,5,3
2024-01-26,2024-01-29,1860,34.23,34.26423,46969.6149177,1609377.68855,2024-01-29,2024-01-30,34.56,34.52544,0.00762340201429,12268.9331127,1,1
