source,entry_signal_date,entry_date,entry_price,exit_date,exit_price,return,holding_days
Tradier,2016-09-09,2016-09-12,2.460667,2016-09-13,2.620667,0.0650230201811,1
Tradier,2016-11-30,2016-12-01,3.700667,2016-12-06,3.442,-0.0698973995769,5
Tradier,2017-01-05,2017-01-06,3.767333,2017-01-10,3.953333,0.0493717969715,4
Tradier,2017-04-05,2017-04-06,4.939333,2017-04-10,5.031333,0.018625996668,4
Tradier,2017-04-12,2017-04-13,4.469333,2017-04-18,4.561333,0.0205847270723,5
Tradier,2017-06-27,2017-06-28,5.791333,2017-06-29,5.838667,0.00817324785157,1
Tradier,2017-07-03,2017-07-05,5.266667,2017-07-06,5.338,0.0135442396491,1
Tradier,2017-08-10,2017-08-11,5.710667,2017-08-15,6.386,0.118258164939,4
Tradier,2017-12-04,2017-12-05,8.533333,2017-12-08,9.343333,0.0949218787079,3
Tradier,2018-01-25,2018-01-26,11.466667,2018-01-29,11.916,0.0391860163027,3
Tradier,2018-02-02,2018-02-05,10.2,2018-02-13,9.125333,-0.105359509804,8
Tradier,2018-03-22,2018-03-23,11.284667,2018-03-27,11.84,0.0492112882019,4
Tradier,2018-03-28,2018-03-29,9.788667,2018-04-02,9.88,0.00933048391574,4
Tradier,2018-04-06,2018-04-09,9.046,2018-04-11,9.574667,0.0584420738448,2
Tradier,2018-04-19,2018-04-20,9,2018-04-27,8.904,-0.0106666666667,7
Tradier,2018-06-22,2018-06-25,10.333333,2018-07-03,9.697333,-0.0615483890822,8
Tradier,2018-10-10,2018-10-11,7.646667,2018-10-17,8.532667,0.115867475333,6
Tradier,2018-10-19,2018-10-22,7.433333,2018-10-24,6.944,-0.0658295545215,2
Tradier,2018-10-24,2018-10-25,6.000667,2018-10-31,6.766667,0.127652475966,6
Tradier,2018-11-12,2018-11-13,6.267333,2018-11-16,6.39,0.0195724401432,3
Tradier,2018-11-19,2018-11-20,5.572667,2018-11-27,6.406,0.14953934983,7
Tradier,2018-12-19,2018-12-20,5.240667,2018-12-27,4.956667,-0.0541915752327,7
Tradier,2019-01-03,2019-01-04,4.922,2019-01-07,5.398667,0.096844169037,3
Tradier,2019-03-06,2019-03-07,8,2019-03-11,7.988667,-0.001416625,4
Tradier,2019-05-13,2019-05-14,9.553333,2019-05-15,9.522,-0.00327979774179,1
Tradier,2019-05-20,2019-05-21,8.466667,2019-05-22,7.982,-0.0572441316046,1
Tradier,2019-06-17,2019-06-18,8.144667,2019-06-19,9.026667,0.108291720214,1
Tradier,2019-06-25,2019-06-26,9.188667,2019-06-27,9.603333,0.045127982111,1
Tradier,2019-08-23,2019-08-26,9.668667,2019-08-30,10.440667,0.079845546444,4
Tradier,2019-12-02,2019-12-03,13.153333,2019-12-05,14.316667,0.0884440468435,2
Tradier,2020-01-27,2020-01-28,18.733333,2020-01-29,19.117333,0.0204982210053,1
Tradier,2020-01-31,2020-02-03,16.468,2020-02-05,19.413333,0.178851894583,2
Tradier,2020-03-09,2020-03-10,11.128,2020-03-11,10.719333,-0.036724209202,1
Tradier,2020-03-12,2020-03-13,8.074,2020-03-16,5.985333,-0.258690487986,3
Tradier,2020-03-16,2020-03-17,5.32,2020-03-25,6.363333,0.196115225564,8
Tradier,2020-04-01,2020-04-02,5.184,2020-04-07,7.909333,0.525720100309,5
Tradier,2020-04-21,2020-04-22,7.495333,2020-04-23,8.080667,0.0780931280838,1
Tradier,2020-05-01,2020-05-04,7.208667,2020-05-06,8.266667,0.146767772738,2
Tradier,2020-06-11,2020-06-12,11.492,2020-06-16,12.406,0.0795335885834,4
Tradier,2020-09-08,2020-09-09,15.209333,2020-09-10,15.85,0.0421232804884,1
Tradier,2020-10-21,2020-10-22,19.726,2020-10-30,16.895333,-0.143499290277,8
Tradier,2021-01-27,2021-01-28,35.000667,2021-02-02,39.132667,0.118054893068,5
Tradier,2021-03-24,2021-03-25,30.93,2021-03-29,36.3839,0.176330423537,4
Tradier,2021-04-30,2021-05-03,37.72,2021-05-06,34.2,-0.0933191940615,3
Tradier,2021-05-10,2021-05-11,29.02,2021-05-17,30.98,0.0675396278429,6
Tradier,2021-07-16,2021-07-19,35.21,2021-07-21,38.67,0.0982675376314,2
Tradier,2021-12-13,2021-12-14,60,2021-12-16,69.01,0.150166666667,2
Tradier,2021-12-31,2022-01-03,69.05,2022-01-04,72.58,0.0511223750905,1
Tradier,2022-01-05,2022-01-06,64.0899,2022-01-12,64.99,0.0140443345987,6
Tradier,2022-01-20,2022-01-21,45.22,2022-01-25,41.7699,-0.0762958867758,4
Tradier,2022-01-27,2022-01-28,36.37,2022-02-01,45.89,0.261754193016,4
Tradier,2022-02-11,2022-02-14,39.75,2022-02-16,44.07,0.108679245283,2
Tradier,2022-02-23,2022-02-24,31.81,2022-02-25,40,0.257466205596,1
Tradier,2022-03-07,2022-03-08,29.67,2022-03-10,33.07,0.114593865858,2
Tradier,2022-03-14,2022-03-15,28.45,2022-03-16,33.04,0.161335676626,1
Tradier,2022-03-31,2022-04-01,39.07,2022-04-05,37.09,-0.0506782697722,4
Tradier,2022-04-05,2022-04-06,30.85,2022-04-14,28.55,-0.0745542949757,8
Tradier,2022-04-22,2022-04-25,23.89,2022-04-29,24.3,0.0171619924655,4
Tradier,2022-05-09,2022-05-10,21.45,2022-05-16,21.86,0.0191142191142,6
Tradier,2022-08-22,2022-08-23,17.08,2022-08-26,19.25,0.127049180328,3
Tradier,2022-08-29,2022-08-30,15.5,2022-09-08,12.64,-0.184516129032,9
Tradier,2022-09-13,2022-09-14,12.28,2022-09-20,11.85,-0.035016286645,6
Tradier,2022-09-22,2022-09-23,10.07,2022-09-29,9.698,-0.0369414101291,6
Tradier,2022-10-07,2022-10-10,9.07,2022-10-14,8.26,-0.0893054024256,4
Tradier,2022-11-02,2022-11-03,7.782,2022-11-07,9.268,0.190953482395,4
Tradier,2022-12-15,2022-12-16,11.2,2022-12-22,10.54,-0.0589285714286,6
Tradier,2023-01-30,2023-01-31,13.67,2023-02-01,14.73,0.0775420629115,1
Tradier,2023-02-21,2023-02-22,14.11,2023-02-24,14.29,0.0127569099929,2
Tradier,2023-03-10,2023-03-13,13.61,2023-03-15,14.6,0.0727406318883,2
Tradier,2023-06-21,2023-06-22,22.28,2023-06-28,23.18,0.04039497307,6
Tradier,2023-07-20,2023-07-21,25.01,2023-07-26,25.2,0.00759696121551,5
Tradier,2023-08-09,2023-08-10,23.66,2023-08-15,22.62,-0.043956043956,5
Tradier,2023-08-16,2023-08-17,20.62,2023-08-22,22.71,0.101357904947,5
Tradier,2023-10-20,2023-10-23,16.35,2023-10-25,16.375,0.00152905198777,2
Tradier,2023-12-20,2023-12-21,29.75,2023-12-22,30.62,0.029243697479,1
Tradier,2024-01-03,2024-01-04,24.96,2024-01-09,27.5,0.101762820513,5
Tradier,2024-01-26,2024-01-29,34.23,2024-01-30,34.56,0.00964066608238,1
Tradier,2024-04-04,2024-04-05,42.7,2024-04-10,43.11,0.0096018735363,5
Tradier,2024-05-01,2024-05-02,35.98,2024-05-06,39.97,0.110894941634,4
Tradier,2024-06-24,2024-06-25,54.23,2024-07-03,58.1,0.0713627143647,8
Tradier,2024-07-17,2024-07-18,54.16,2024-07-23,50.5,-0.0675775480059,5
Tradier,2024-07-24,2024-07-25,41.51,2024-07-29,43.365,0.0446880269815,4
Tradier,2024-07-30,2024-07-31,42.3,2024-08-01,42.05,-0.00591016548463,1
Tradier,2024-08-02,2024-08-05,23.52,2024-08-09,30.71,0.305697278912,4
Tradier,2024-08-22,2024-08-23,39.16,2024-09-03,36.8,-0.0602655771195,11
Tradier,2024-09-03,2024-09-04,29.07,2024-09-11,28.89,-0.0061919504644,7
Tradier,2024-11-15,2024-11-18,26.7,2024-11-20,27.335,0.0237827715356,2
Tradier,2024-12-19,2024-12-20,25.82,2024-12-24,30.26,0.171959721146,4
Tradier,2025-03-06,2025-03-07,19.5,2025-03-10,19.34,-0.00820512820513,3
Tradier,2025-04-03,2025-04-04,10.05,2025-04-10,10.915,0.0860696517413,6
Tradier,2025-05-22,2025-05-23,15.21,2025-05-28,17.43,0.145956607495,5
Tradier,2025-06-13,2025-06-16,20.83,2025-06-17,21.61,0.0374459913586,1
Tradier,2025-10-10,2025-10-13,38.23,2025-10-16,41.45,0.0842270468219,3
Tradier,2025-12-12,2025-12-15,43.105,2025-12-22,44.45,0.0312028766964,7
Tradier,2026-03-26,2026-03-27,48.035,2026-04-01,50.04,0.0417403976267,5
Tradier,2026-06-05,2026-06-08,210.62,2026-06-12,222.22,0.0550754914063,4
Tradier,2026-07-16,2026-07-17,124.73,2026-07-22,147.095,0.179307303776,5
