entry_signal_date,entry_date,entry_index,entry_reference_open,entry_price,quantity,entry_capital,exit_signal_date,exit_date,exit_reference_open,exit_price,net_return,pnl,holding_calendar_days,holding_sessions
2024-11-15,2024-11-18,53,26.7,26.7,3745.31835206,100000,2024-11-19,2024-11-20,27.335,27.335,0.0237827715356,2378.27715356,2,2
2024-12-19,2024-12-20,76,25.82,25.82,3965.0765745,102378.277154,2024-12-23,2024-12-24,30.26,30.26,0.171959721146,17604.9399908,4,2
2025-03-06,2025-03-07,126,19.5,19.5,6152.98549458,119983.217144,2025-03-07,2025-03-10,19.34,19.34,-0.00820512820513,-984.477679133,3,1
2025-04-03,2025-04-04,146,10.05,10.05,11840.6705936,118998.739465,2025-04-09,2025-04-10,10.915,10.915,0.0860696517413,10242.1800634,6,4
2025-05-22,2025-05-23,180,15.21,15.21,8497.10187565,129240.919529,2025-05-27,2025-05-28,17.43,17.43,0.145956607495,18863.5661639,5,2
2025-06-13,2025-06-16,195,20.83,20.83,7110.15293771,148104.485693,2025-06-16,2025-06-17,21.61,21.61,0.0374459913586,5545.91929142,1,1
2025-10-10,2025-10-13,277,38.23,38.23,4019.10554496,153650.404984,2025-10-15,2025-10-16,41.45,41.45,0.0842270468219,12941.5198548,3,3
2025-12-12,2025-12-15,321,43.105,43.105,3864.79352369,166591.924839,2025-12-19,2025-12-22,44.45,44.45,0.0312028766964,5198.14728937,7,5
2026-03-26,2026-03-27,391,48.035,48.035,3576.35207928,171790.072128,2026-03-31,2026-04-01,50.04,50.04,0.0417403976267,7170.58591895,5,3
2026-06-05,2026-06-08,440,210.62,210.62,849.685015892,178960.658047,2026-06-11,2026-06-12,222.22,222.22,0.0550754914063,9856.34618434,4,4
2026-07-16,2026-07-17,467,124.73,124.73,1513.8058545,188817.004231,2026-07-21,2026-07-22,147.095,147.095,0.179307303776,33856.2679358,5,3
2026-07-29,2026-07-30,476,107.38,107.38,2073.69409729,222673.272167,2026-07-30,2026-07-31,129.9,129.9,0.209722480909,46699.591071,1,1
